"","x"
"1",2.373326
"2",0.195528
"3",29.06871
"4",8.458667
"5",31.189666
"6",9.468832
"7",6.808751
"8",1.979538
"9",3.954184
"10",11.886146
"11",6.519645
"12",5.879577
"13",0.117502
"14",7.730319
"15",4.057056
"16",0.257097
"17",7.927004
"18",2.625177
"19",9.757477
"20",0.330249
"21",4.624755
"22",1.098703
"23",4.413665
"24",0.209645
"25",0.77532
"26",110.946485
"27",8.032401
"28",55.32231
"29",151.032542
"30",13.506044
"31",0.067767
"32",58.89169
"33",20.359744
"34",0.065208
"35",14.809925
"36",2.552824
"37",10.692265
"38",0.628193
"39",1.693014
"40",26.569625
"41",32.516581
"42",0.461378
"43",0.162118
"44",0.181343
"45",0.181343
"46",1.08819
"47",0.544108
"48",0.181343
"49",0.316644
"50",0.297108
"51",0.009405
"52",0.0776
"53",0.01666
"54",0.006503
"55",0.181343
"56",0.181343
"57",11.696084
"58",9.580195
"60",0.161501
"61",51.3035
"62",61.74723
"63",32.30021
