TI3;"Seal""""";"Aherr""""";"Jherr""""";"Asprat""""";"Acod""""";"Jcod""""";"Jsprat""""";"Bmacrof""""";"Pmacrof""""";"Mesozoopl""""";"Microzoopl""""";"Baci""""";"Sprphyto""""";"Suphyto""""";"Bmeiof""""";;SUM;;;
"Acod""""";0,08;0,11;0,11;0,15;0,08;0,13;0,12;0,11;0,04;0,05;0,01;0;0,03;0,02;0,08;;1,12;;thresold:;0,11
"Aherr""""";0,18;0,08;0,08;0,09;0,13;0,13;0,13;0,11;0,12;0,11;0,04;0,01;0,05;0,05;0,07;;1,37;;;
"Asprat""""";0,16;0,05;0,05;0,07;0,1;0,1;0,05;0,03;0,03;0,08;0,02;0,01;0,01;0,02;0,02;;0,79;;;
"Baci""""";0;0;0;0;0;0;0;0;0,01;0,02;0,12;0,08;0,03;0,03;0;;0,31;;;
"Bmacrof""""";0,06;0,11;0,11;0,06;0,13;0,13;0,13;0,12;0,06;0,05;0,03;0,03;0,17;0,03;0,43;;1,65;;;
"Bmeiof""""";0;0,01;0,01;0;0,01;0,01;0,01;0,06;0,01;0;0;0;0,02;0;0,05;;0,21;;;
"Jcod""""";0,08;0,11;0,11;0,15;0,13;0,08;0,12;0,11;0,04;0,05;0,01;0;0,03;0,02;0,08;;1,12;;;
"Jherr""""";0,18;0,08;0,08;0,09;0,13;0,13;0,13;0,11;0,12;0,11;0,04;0,01;0,05;0,05;0,07;;1,37;;;
"Jsprat""""";0,06;0,11;0,11;0,07;0,12;0,12;0,08;0,11;0,05;0,09;0,02;0,01;0,04;0,03;0,08;;1,11;;;
"Mesozoopl""""";0,07;0,11;0,11;0,14;0,06;0,06;0,11;0,05;0,15;0,1;0,17;0,11;0,08;0,21;0,02;;1,53;;;
"Microzoopl""""";0,01;0,02;0,02;0,02;0,01;0,01;0,02;0,02;0,06;0,1;0,16;0,48;0,18;0,2;0,02;;1,32;;;
"Pmacrof""""";0,04;0,09;0,09;0,04;0,03;0,03;0,04;0,04;0,08;0,11;0,08;0,07;0,17;0,18;0,03;;1,11;;;
"Seal""""";0,06;0,08;0,08;0,12;0,04;0,04;0,03;0,02;0,02;0,03;0,01;0;0,01;0,01;0,01;;0,57;;;
"Sprphyto""""";0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,07;0,1;0,03;0,14;0,08;0,07;0,06;0,05;;0,72;;;
"Suphyto""""";0,01;0,02;0,02;0,02;0,01;0,01;0,02;0,01;0,11;0,09;0,15;0,1;0,06;0,08;0;;0,71;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
WI3;"Seal""""";"Aherr""""";"Jherr""""";"Asprat""""";"Acod""""";"Jcod""""";"Jsprat""""";"Bmacrof""""";"Pmacrof""""";"Mesozoopl""""";"Microzoopl""""";"Baci""""";"Sprphyto""""";"Suphyto""""";"Bmeiof""""";;SUM;;;
"Acod""""";23517,44;2403816144;3543790959;5468609714;3848538,18;21813067,81;4546071034;32492094142;5895469253;660022477,7;49471880728;0;740108934,6;1,33512E+11;263552745,3;;2,39023E+11;;thresold:;13454425444938,10
"Aherr""""";30673752,05;36698695841;56204883616;42615059246;2804452167;14588782520;62716028762;1,698E+11;2,20865E+12;7,44527E+13;1,34544E+13;7,93969E+13;2,74194E+12;5,4751E+12;3446902699;;1,78119E+14;;;
"Asprat""""";39711105,88;24351462426;38573189291;28878370,16;3645739809;18416219674;35081145776;9187259076;2,87182E+12;9,85584E+13;1,73549E+13;1,05463E+14;3,6318E+12;5,89233E+12;311309001,2;;2,33902E+14;;;
"Baci""""";0;1,13424E+13;1,67911E+13;2,63657E+13;0;0;2,17392E+13;2,93518E+13;2,38854E+13;2,11861E+14;4,72601E+15;30040313534;1014013956;6,43291E+14;0;;5,71067E+15;;;
"Bmacrof""""";135907,41;1,698E+11;2,27361E+11;16077703383;37907443166;2,45976E+11;85647935844;766070856,3;9037209755;1,49625E+13;98335577546;2,05463E+14;5,37421E+13;1,20733E+13;1,92549E+13;;3,06386E+14;;;
"Bmeiof""""";393426,72;492414671,3;243688118,1;77827250,31;43925457,56;301701997,7;672333670,9;2,75069E+12;2,43199E+11;5216607047;1,36629E+12;0;89887422,29;0;37194795,43;;4,36736E+12;;;
"Jcod""""";31224,02;12504670732;18144487442;27624329511;21813067,81;47246900,34;22794129718;2,10837E+11;33767901763;4156110252;2,72847E+11;0;5647040467;6,7463E+11;1810211986;;1,28483E+12;;;
"Jherr""""";45109271,1;56204883616;85985380651;67503081259;4134422786;21168568683;96193077959;2,27361E+11;3,26582E+12;1,10098E+14;1,99096E+13;1,17537E+14;4,0509E+12;8,213E+12;1705816827;;2,63635E+14;;;
"Jsprat""""";49090658,89;53756596082;82451209680;52621718663;4546071034;22794129718;86704203936;73412516438;3,58611E+12;1,21905E+14;2,18156E+13;1,30435E+14;4,50294E+12;8,573E+12;4034002025;;2,91198E+14;;;
"Mesozoopl""""";5972669,52;7,44527E+13;1,10098E+14;1,72477E+14;770026224;4848795294;1,42222E+14;1,49625E+13;9,9484E+13;2,15758E+14;3,33364E+15;1,48303E+15;5,19872E+13;4,29231E+15;36516249327;;9,99047E+15;;;
"Microzoopl""""";242056122,5;7,68824E+12;1,13769E+13;1,73549E+13;32981253819;1,81898E+11;1,45437E+13;56191758598;2,70442E+13;1,90494E+15;2,11748E+14;1,8904E+16;6,52031E+14;1,46145E+15;5,46516E+12;;2,32179E+16;;;
"Pmacrof""""";27231584,22;1,57761E+12;2,33273E+12;3,58977E+12;4912891044;28139918135;2,98843E+12;6455149825;3,94131E+12;7,106E+13;3,38053E+13;1,19427E+14;7,07952E+12;9,43E+13;1,21599E+12;;3,41357E+14;;;
"Seal""""";0,24;13145893,73;19332544,76;29783329,41;11758,72;15612,01;24545329,44;58246,03;16338950,53;2559715,51;181542091,8;0;3582543,73;727263667,4;1180280,16;;1019359963;;;
"Sprphyto""""";3582543,73;1,17512E+12;1,7361E+12;2,72385E+12;370054467,3;2823520233;2,25147E+12;2,30323E+13;4,24771E+12;2,22802E+13;4,89024E+14;3042041867;758418256;6,64448E+13;269662266,9;;6,12922E+14;;;
"Suphyto""""";727263667,4;2,34647E+12;3,51986E+12;4,41925E+12;66755853234;3,37315E+11;4,2865E+12;5,17427E+12;5,658E+13;1,83956E+15;1,09609E+15;1,92987E+15;6,64448E+13;2,15635E+14;0;;5,22433E+15;;;
