"TI3";""Bird"";""Spela"";""Sbenth"";""Ytail"";""HorMack"";""Sdemers"";""WareH"";""Zoopl"";""Phyto"";""Ldemers"";""PreSanil"";""PreCrab"";""Bivelve"";""Lechino"";""SusScall"";""Macrophy"";;SUM
""Bird"";"0,04";"0,07";"0,05";"0,03";"0,03";"0,02";"0,03";"0,02";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,04";;"0,41"
""Spela"";"0,24";"0,13";"0,05";"0,22";"0,23";"0,10";"0,27";"0,14";"0,13";"0,03";"0,02";"0,02";"0,04";"0,02";"0,09";"0,04";;"1,76"
""Sbenth"";"0,24";"0,06";"0,12";"0,05";"0,04";"0,12";"0,05";"0,10";"0,13";"0,15";"0,15";"0,15";"0,09";"0,17";"0,07";"0,44";;"2,13"
""Ytail"";"0,04";"0,09";"0,02";"0,08";"0,17";"0,07";"0,05";"0,03";"0,02";"0,02";"0,01";"0,01";"0,02";"0,01";"0,02";"0,01";;"0,66"
""HorMack"";"0,04";"0,10";"0,01";"0,17";"0,08";"0,03";"0,06";"0,08";"0,03";"0,01";"0,01";"0,01";"0,01";"0,00";"0,04";"0,01";;"0,68"
""Sdemers"";"0,06";"0,10";"0,09";"0,17";"0,07";"0,09";"0,04";"0,04";"0,04";"0,14";"0,13";"0,13";"0,11";"0,08";"0,02";"0,06";;"1,37"
""WareH"";"0,03";"0,08";"0,01";"0,03";"0,04";"0,01";"0,05";"0,07";"0,03";"0,00";"0,00";"0,00";"0,01";"0,00";"0,04";"0,01";;"0,43"
""Zoopl"";"0,07";"0,14";"0,08";"0,08";"0,19";"0,04";"0,26";"0,12";"0,16";"0,03";"0,03";"0,03";"0,09";"0,03";"0,28";"0,04";;"1,68"
""Phyto"";"0,05";"0,09";"0,07";"0,04";"0,05";"0,03";"0,07";"0,12";"0,09";"0,03";"0,03";"0,03";"0,08";"0,03";"0,25";"0,04";;"1,10"
""Ldemers"";"0,03";"0,02";"0,08";"0,03";"0,01";"0,10";"0,01";"0,02";"0,03";"0,07";"0,12";"0,12";"0,10";"0,07";"0,01";"0,05";;"0,89"
""PreSanil"";"0,04";"0,02";"0,10";"0,03";"0,01";"0,11";"0,01";"0,02";"0,03";"0,14";"0,09";"0,14";"0,12";"0,16";"0,01";"0,07";;"1,10"
""PreCrab"";"0,04";"0,02";"0,10";"0,03";"0,01";"0,11";"0,01";"0,02";"0,03";"0,14";"0,14";"0,09";"0,12";"0,16";"0,01";"0,07";;"1,10"
