Species               Kbu       Ktd      Kdir    Kindir         K
MorEel            0.26389   6.22157   2.37809   4.10737   6.48546
RaySha            0.16667   9.83236   2.79476   7.20427   9.99903
Doplh             0.00000  17.43266   2.53333  14.89932  17.43266
SerSco            0.33920   1.13938   0.88450   0.59409   1.47859
LizFish           0.50152   2.33472   1.61066   1.22557   2.83623
CatFish           0.21212   3.02506   1.53566   1.70152   3.23718
SnapGru           0.37879   3.72232   2.13566   1.96545   4.10111
PuffFish          0.35000   0.60869   0.61900   0.33969   0.95869
FlatFish          0.91241   0.94145   1.23566   0.61819   1.85386
Car               0.30455   1.17478   0.97809   0.50124   1.47933
Demers            1.92167   0.84677   1.92852   0.83992   2.76844
PortCrab          2.58934   0.79371   2.25428   1.12877   3.38305
Bird              0.00000   0.56734   0.34476   0.22259   0.56734
EpBenth           4.05115   0.75897   2.74402   2.06610   4.81012
Shrimp            2.71970   0.89428   2.12095   1.49304   3.61398
Spale             2.40052   0.43333   1.85877   0.97509   2.83386
Benth             5.09073   0.63333   2.75043   2.97363   5.72406
Zoopl             6.50793   0.40000   2.02619   4.88174   6.90793
Baci              8.50880   0.00000   1.48333   7.02547   8.50880
Phyto             9.49120   0.00000   1.78333   7.70786   9.49120
