TI3;"Ang""""";"Apred""""";"Ypred""""";"Ather""""";"Zoopl""""";"Amugi""""";"Benth""""";"Mollu""""";"Phyto""""";"Benthprod""""";;SUM
"Ang""""";0,08;0,12;0,12;0,12;0,12;0,12;0,12;0,14;0,12;0,13;;1,17
"Apred""""";0,12;0,08;0,12;0,12;0,12;0,12;0,12;0,14;0,12;0,13;;1,17
"Ypred""""";0,1;0,1;0,07;0,11;0,11;0,1;0,11;0,07;0,11;0,12;;1,02
"Ather""""";0,1;0,1;0,11;0,07;0,11;0,1;0,11;0,07;0,11;0,12;;1,02
"Zoopl""""";0,11;0,11;0,11;0,11;0,08;0,11;0,11;0,13;0,11;0,07;;1,03
"Amugi""""";0,12;0,12;0,12;0,12;0,12;0,08;0,12;0,14;0,12;0,13;;1,17
"Benth""""";0,1;0,1;0,11;0,11;0,11;0,1;0,07;0,07;0,11;0,12;;1,02
"Mollu""""";0,08;0,08;0,04;0,04;0,08;0,08;0,04;0,06;0,08;0,04;;0,63
"Phyto""""";0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,13;0,08;0,07;;1,03
"Benthprod""""";0,09;0,09;0,09;0,09;0,05;0,09;0,09;0,05;0,05;0,06;;0,75
;;;;;;;;;;;;
;;;;;;;;;;;;
TO3;"Ang""""";"Apred""""";"Ypred""""";"Ather""""";"Zoopl""""";"Amugi""""";"Benth""""";"Mollu""""";"Phyto""""";"Benthprod""""";;SUM
"Ang""""";0;0;0;0;0;0;0;0;0;0;;0
"Apred""""";0;0;0;0;0;0;0;0;0;0;;0
"Ypred""""";0;0;0;0;0;0;0;0;0;0;;0
"Ather""""";0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0;0;0;0;0;0;0;;0
"Amugi""""";0;0;0;0;0;0;0;0;0;0;;0
"Benth""""";0;0;0;0;0;0;0;0;0;0;;0
"Mollu""""";0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;;0
"Benthprod""""";0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;
;;;;;;;;;;;;
WI3;"Ang""""";"Apred""""";"Ypred""""";"Ather""""";"Zoopl""""";"Amugi""""";"Benth""""";"Mollu""""";"Phyto""""";"Benthprod""""";;SUM
"Ang""""";5344901764;7972441604;85107691100;83208315433;2,75299E+11;12632117688;1,74142E+11;5,81874E+11;4,27163E+11;46382400300;;1,69913E+12
"Apred""""";7972441604;9877079305;86581094554;87427285597;4,0326E+11;13743436264;1,95463E+11;5,96685E+11;4,82279E+11;58308307888;;1,9416E+12
"Ypred""""";75651280978;76960972937;4,91158E+11;6,56189E+11;7,56418E+12;94733170412;8,39572E+11;3,83088E+12;3,46687E+12;4,91725E+11;;1,75879E+13
"Ather""""";73962947052;77713142753;6,56189E+11;7,53925E+11;7,01299E+12;1,02829E+11;1,18051E+12;4,99941E+12;4,75125E+12;4,63116E+11;;2,00719E+13
"Zoopl""""";2,4471E+11;3,58453E+11;7,56418E+12;7,01299E+12;2,11174E+13;7,7439E+11;1,43954E+13;5,7656E+13;4,84588E+13;7,87019E+11;;1,58369E+14
"Amugi""""";12632117688;13743436264;1,06575E+11;1,15682E+11;8,71189E+11;16946974508;2,06492E+11;7,6554E+11;7,03066E+11;95352262508;;2,90722E+12
"Benth""""";1,54793E+11;1,73744E+11;8,39572E+11;1,18051E+12;1,43954E+13;1,83548E+11;1,13362E+12;6,03707E+12;5,50722E+12;1,66443E+12;;3,12699E+13
"Mollu""""";3,23263E+11;3,31492E+11;2,3943E+12;3,12463E+12;3,6035E+13;4,253E+11;3,77317E+12;1,89869E+13;1,77146E+13;2,10658E+12;;8,52152E+13
"Phyto""""";3,79701E+11;4,28693E+11;3,46687E+12;4,75125E+12;4,84588E+13;6,24948E+11;5,50722E+12;2,83433E+13;2,09858E+13;2,55729E+12;;1,15504E+14
"Benthprod""""";30921600200;38872205259;3,68794E+11;3,47337E+11;5,90265E+11;63568175006;1,24832E+12;2,5279E+12;1,91797E+12;27252007340;;7,1612E+12
;;;;;;;;;;;;
;;;;;;;;;;;;
WO3;"Ang""""";"Apred""""";"Ypred""""";"Ather""""";"Zoopl""""";"Amugi""""";"Benth""""";"Mollu""""";"Phyto""""";"Benthprod""""";;SUM
"Amugi""""";0;0;0;0;0;0;0;0;0;0;;0
"Ang""""";0;0;0;0;0;0;0;0;0;0;;0
"Apred""""";0;0;0;0;0;0;0;0;0;0;;0
"Ather""""";0;0;0,15;0;0,15;0;0,15;0,15;0,15;0;;0,75
"Benth""""";0;0;0,15;0,15;0,15;0;0;0,15;0,15;0;;0,75
"Benthprod""""";0;0;0;0;0;0;0;0;0;0;;0
"Mollu""""";0;0;0,15;0,15;0,2;0;0,15;0;0,2;0;;0,85
"Phyto""""";0;0;0,15;0,15;0,3;0;0,15;0,2;0;0;;0,95
"Ypred""""";0;0;0;0,15;0,15;0;0,15;0,15;0,15;0;;0,75
"Zoopl""""";0;0;0,15;0,15;0;0;0,15;0,2;0,3;0;;0,95
