TI3;"ProdPrim""""";"Copep""""";"PFV""""";"MeioBenth""""";"MacroBenth""""";"Crev""""";"Mul""""";"PetPel""""";"Syng""""";"Gob""""";"Estur""""";"Ang""""";"GPM""""";"PeauD""""";"GraPel""""";"PoiPla""""";;SUM;;;
"Ang""""";0,03;0,04;0,09;0,03;0,08;0,09;0,02;0,09;0,02;0,09;0,06;0,07;0,05;0,11;0,06;0,12;;1,03;;thresold: ;0,09
"Copep""""";0,09;0,08;0,08;0,06;0,03;0,03;0,04;0,07;0,23;0,06;0,03;0,03;0,03;0,03;0,02;0,02;;0,93;;;
"Crev""""";0,1;0,05;0,07;0,05;0,11;0,09;0,05;0,1;0,03;0,12;0,15;0,12;0,11;0,13;0,19;0,14;;1,61;;;
"Estur""""";0,02;0,02;0,07;0,01;0,06;0,06;0,02;0,03;0,01;0,07;0,04;0,03;0,03;0,03;0,04;0,03;;0,58;;;
"Gob""""";0,05;0,11;0,11;0,03;0,07;0,1;0,03;0,06;0,04;0,09;0,15;0,11;0,11;0,12;0,17;0,13;;1,47;;;
"GPM""""";0,05;0,04;0,08;0,05;0,08;0,08;0,15;0,08;0,03;0,08;0,05;0,05;0,07;0,05;0,05;0,11;;1,12;;;
"GraPel""""";0,02;0,01;0,02;0,01;0,05;0,06;0,01;0,02;0,01;0,06;0,03;0,02;0,02;0,02;0,04;0,03;;0,43;;;
"MacroBenth""""";0,11;0,05;0,07;0,13;0,08;0,11;0,08;0,11;0,05;0,07;0,14;0,12;0,11;0,12;0,18;0,13;;1,66;;;
"MeioBenth""""";0,11;0,06;0,03;0,09;0,06;0,02;0,17;0,07;0,23;0,02;0,02;0,02;0,04;0,02;0,02;0,02;;1,01;;;
"Mul""""";0,09;0,03;0,02;0,1;0,02;0,02;0,06;0,02;0,04;0,01;0,01;0,01;0,07;0,01;0,01;0,02;;0,54;;;
"PeauD""""";0,03;0,04;0,08;0,02;0,07;0,08;0,02;0,08;0,02;0,08;0,05;0,1;0,04;0,06;0,05;0,05;;0,87;;;
"PetPel""""";0,06;0,12;0,1;0,12;0,08;0,08;0,06;0,07;0,07;0,05;0,05;0,1;0,09;0,11;0,05;0,06;;1,28;;;
"PFV""""";0,1;0,13;0,07;0,05;0,05;0,06;0,05;0,1;0,06;0,09;0,13;0,1;0,09;0,11;0,05;0,05;;1,29;;;
"PoiPla""""";0,02;0,02;0,03;0,02;0,07;0,07;0,03;0,03;0,01;0,07;0,04;0,08;0,08;0,04;0,05;0,05;;0,73;;;
"ProdPrim""""";0,07;0,11;0,08;0,13;0,07;0,06;0,17;0,05;0,09;0,03;0,04;0,03;0,05;0,03;0,03;0,03;;1,06;;;
"Syng""""";0,03;0,09;0,01;0,09;0,01;0,01;0,03;0,02;0,07;0,01;0,01;0,01;0,01;0,01;0;0;;0,4;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
WI3;"ProdPrim""""";"Copep""""";"PFV""""";"MeioBenth""""";"MacroBenth""""";"Crev""""";"Mul""""";"PetPel""""";"Syng""""";"Gob""""";"Estur""""";"Ang""""";"GPM""""";"PeauD""""";"GraPel""""";"PoiPla""""";;SUM;;;
"Ang""""";5,61238E+13;8,18579E+14;2,86057E+14;4,15369E+13;2,67774E+14;7,40729E+12;4,36623E+12;2,18613E+11;1,14534E+11;3,99238E+11;2934238495;4665933880;14276130240;551665796,4;17751093,37;24362930298;;1482623892211420,00;;thresold: ;3608486052954160,00
"Copep""""";1,72549E+19;5,87583E+18;1,04072E+19;2,30917E+17;9,67972E+17;4,21052E+16;1,82418E+16;6,57714E+16;2,8398E+16;1,31021E+17;7,74819E+14;5,84699E+14;1,31188E+15;1,21355E+14;4,09135E+12;4,99694E+15;;35030146503982600000,00;;;
"Crev""""";2,14561E+17;8,42105E+16;1,15637E+17;3,06962E+15;1,04118E+16;5,637E+14;2,27627E+14;7,44444E+14;3,19982E+14;1,57135E+15;1,39118E+13;1,05818E+13;2,3271E+13;2,18057E+12;73433737915;8,97915E+13;;431457629871516000,00;;;3608486052954160,00
"Estur""""";1,54756E+14;6,19855E+14;2,96956E+14;3,12459E+13;2,03013E+14;5,56471E+12;3,29996E+12;7,03529E+11;3,22497E+11;1,26484E+12;158172741,5;1676707711;7401984884;49881402,24;963214,29;1970781719;;1316992984176000,00;;;
"Gob""""";8,82272E+16;2,35838E+17;8,43044E+16;7,93472E+15;5,1479E+16;1,41421E+15;8,00358E+14;2,58054E+14;1,04195E+14;8,53871E+14;2,84588E+12;5,13305E+11;2,95718E+13;47748923256;214287094,2;1,31477E+11;;471247110891882000,00;;;
