TI3;"Phyto""""";"Zoopl""""";"BenthSus""""";"OmnBentPre""""";"PhytoBenth""""";"BenthDep""""";"NeoInt""""";"PalLong""""";"CraCra""""";"PomMic""""";"PlaFle""""";"Ofish""""";"DicLab""""";"Bird""""";;SUM
"Phyto""""";0,05;0,06;0,09;0,07;0,04;0,03;0,02;0,02;0,02;0,02;0,03;0,03;0,02;0,04;;0,53
"Zoopl""""";0,15;0,09;0,05;0,04;0,03;0,03;0,13;0,14;0,13;0,13;0,11;0,1;0,08;0,03;;1,23
"BenthSus""""";0,18;0,04;0,09;0,12;0,19;0,09;0,03;0,03;0,03;0,02;0,09;0,08;0,03;0,19;;1,22
"OmnBentPre""""";0,19;0,05;0,16;0,11;0,22;0,17;0,04;0,05;0,04;0,04;0,11;0,1;0,1;0,22;;1,61
"PhytoBenth""""";0,04;0,01;0,1;0,08;0,06;0,11;0,01;0,01;0,01;0;0,03;0,02;0,01;0,06;;0,56
"BenthDep""""";0,05;0,02;0,07;0,1;0,18;0,09;0,02;0,03;0,02;0,02;0,09;0,08;0,03;0,18;;0,98
"NeoInt""""";0,04;0,11;0,03;0,03;0,02;0,03;0,08;0,08;0,13;0,13;0,09;0,09;0,13;0,02;;1
"PalLong""""";0,03;0,1;0,02;0,03;0,02;0,03;0,06;0,07;0,06;0,11;0,08;0,08;0,11;0,02;;0,83
"CraCra""""";0,04;0,11;0,03;0,03;0,02;0,03;0,13;0,08;0,08;0,13;0,09;0,09;0,13;0,02;;1
"PomMic""""";0,03;0,11;0,02;0,03;0,01;0,02;0,13;0,13;0,13;0,09;0,06;0,1;0,14;0,01;;1,01
"PlaFle""""";0,06;0,11;0,11;0,1;0,06;0,12;0,11;0,12;0,11;0,06;0,07;0,07;0,06;0,06;;1,23
"Ofish""""";0,07;0,12;0,11;0,1;0,06;0,12;0,13;0,13;0,13;0,13;0,08;0,08;0,08;0,06;;1,4
"DicLab""""";0,03;0,06;0,02;0,06;0,02;0,03;0,11;0,11;0,11;0,11;0,05;0,05;0,07;0,02;;0,85
"Bird""""";0,04;0,01;0,1;0,08;0,06;0,11;0,01;0,01;0,01;0;0,03;0,02;0,01;0,06;;0,56
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
TO3;"Phyto""""";"Zoopl""""";"BenthSus""""";"OmnBentPre""""";"PhytoBenth""""";"BenthDep""""";"NeoInt""""";"PalLong""""";"CraCra""""";"PomMic""""";"PlaFle""""";"Ofish""""";"DicLab""""";"Bird""""";;SUM
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
