TI3;"ToothWhale""""";"BalWhale""""";"Pinni""""";"Bird""""";"Acod""""";"Jcod""""";"Hadd""""";"Saithe""""";"RedFish""""";"GreenHal""""";"OflatFish""""";"OdemFish""""";"Herr""""";"Cape""""";"Opel""""";"Neph""""";"NorthShri""""";"Mollu""""";"Benth""""";"Ofish""""";"Zoopl""""";"Phyto""""";"BenthPro""""";;SUM
"ToothWhale""""";0,05;0,06;0,06;0,08;0,06;0,06;0,07;0,07;0,06;0,07;0,07;0,07;0,07;0,07;0,07;0,08;0,07;0,08;0,06;0,06;0,06;0,05;0,04;;1,5
"BalWhale""""";0,06;0,04;0,04;0,04;0,06;0,06;0,07;0,06;0,06;0,06;0,06;0,06;0,07;0,06;0,06;0,08;0,06;0,08;0,06;0,06;0,06;0,04;0,04;;1,34
"Pinni""""";0,06;0,04;0,05;0,08;0,06;0,06;0,07;0,06;0,06;0,06;0,06;0,06;0,07;0,06;0,07;0,08;0,06;0,08;0,06;0,06;0,06;0,05;0,04;;1,43
"Bird""""";0,03;0,02;0,03;0,03;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,05;0,04;0,05;0,02;0,01;0,02;0,03;0,04;0,03;0,02;0,02;;0,58
"Acod""""";0,05;0,06;0,05;0,04;0,04;0,06;0,07;0,06;0,06;0,06;0,06;0,06;0,07;0,06;0,06;0,03;0,06;0,03;0,05;0,06;0,05;0,04;0,03;;1,23
"Jcod""""";0,05;0,05;0,05;0,03;0,05;0,04;0,03;0,05;0,05;0,05;0,06;0,05;0,03;0,03;0,03;0,03;0,06;0,03;0,05;0,05;0,05;0,08;0,03;;1,03
"Hadd""""";0,04;0,04;0,04;0,03;0,05;0,03;0,03;0,05;0,05;0,03;0,06;0,03;0,03;0,05;0,03;0,02;0,05;0,02;0,04;0,04;0,04;0,02;0,03;;0,85
"Saithe""""";0,05;0,05;0,05;0,04;0,05;0,05;0,06;0,04;0,05;0,03;0,06;0,03;0,06;0,05;0,06;0,02;0,03;0,03;0,05;0,05;0,05;0,03;0,03;;1,01
"RedFish""""";0,05;0,05;0,05;0,03;0,06;0,06;0,06;0,06;0,04;0,06;0,06;0,06;0,03;0,06;0,06;0,03;0,06;0,03;0,05;0,05;0,05;0,03;0,03;;1,14
"GreenHal""""";0,05;0,05;0,05;0,03;0,05;0,05;0,03;0,03;0,05;0,04;0,03;0,06;0,03;0,05;0,06;0,03;0,05;0,07;0,05;0,05;0,05;0,03;0,03;;1,01
"OflatFish""""";0,04;0,05;0,04;0,03;0,05;0,05;0,06;0,05;0,05;0,03;0,03;0,03;0,03;0,05;0,03;0,02;0,05;0,02;0,05;0,05;0,04;0,03;0,03;;0,92
"OdemFish""""";0,05;0,05;0,05;0,03;0,05;0,05;0,03;0,03;0,05;0,06;0,03;0,04;0,03;0,05;0,03;0,07;0,06;0,07;0,05;0,05;0,05;0,04;0,03;;1,03
"Herr""""";0,04;0,04;0,04;0,07;0,04;0,02;0,02;0,05;0,02;0,02;0,02;0,02;0,04;0,03;0,05;0,02;0,02;0,02;0,02;0,04;0,04;0,07;0,01;;0,75
"Cape""""";0,05;0,05;0,05;0,07;0,05;0,03;0,06;0,05;0,05;0,05;0,06;0,05;0,04;0,04;0,03;0,03;0,03;0,03;0,03;0,05;0,05;0,08;0,02;;1,03
"Opel""""";0,04;0,04;0,04;0,07;0,05;0,03;0,03;0,05;0,04;0,05;0,03;0,02;0,06;0,03;0,04;0,02;0,02;0,03;0,04;0,05;0,04;0,02;0,03;;0,87
"Neph""""";0,03;0,03;0,03;0,02;0,02;0,02;0,01;0,01;0,02;0,02;0,01;0,04;0,02;0,02;0,02;0,03;0,02;0,06;0,03;0,02;0,03;0,07;0,02;;0,62
"NorthShri""""";0,04;0,05;0,04;0,02;0,05;0,06;0,06;0,03;0,05;0,05;0,05;0,05;0,03;0,03;0,03;0,03;0,04;0,03;0,05;0,03;0,04;0,08;0,03;;0,96
"Mollu""""";0,04;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,02;0,05;0,02;0,02;0,02;0,07;0,02;0,03;0,04;0,04;0,03;0,02;0,03;;0,66
"Benth""""";0,06;0,06;0,06;0,07;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,04;0,06;0,08;0,06;0,08;0,06;0,06;0,04;0,03;0,38;;1,65
