Species                 Kbu       Ktd      Kdir    Kindir         K
Sciae               0.06250   1.53093   1.15887   0.43456   1.59343
ShaRay              0.00000  11.04052   5.76944   5.27108  11.04052
Scom                0.06250   1.44817   0.92083   0.58984   1.51067
Squid               0.83457   0.33217   0.89702   0.26971   1.16674
Mamm                0.00000   1.06210   0.71944   0.34266   1.06210
Bird                0.00000   1.06210   0.71944   0.34266   1.06210
Ofish               1.60447   1.22659   2.41754   0.41353   2.83107
Caran               1.08414   0.59767   1.27587   0.40594   1.68181
Serra               0.14286   5.26273   3.15513   2.25045   5.40559
Lutja               0.29327   1.90619   1.39456   0.80491   2.19946
Haem                0.00000   7.83527   1.77894   6.05633   7.83527
ScoTrig             0.52457   1.65484   1.68311   0.49630   2.17941
Parali              0.08791   0.58236   0.48803   0.18224   0.67028
Clup                2.31244   0.14872   1.65728   0.80387   2.46116
Omollu              1.37223   0.52681   1.24892   0.65011   1.89903
OmacroCrus          1.27188   0.69138   1.53226   0.43100   1.96325
Mycto               1.00087   0.14872   0.78109   0.36850   1.14959
Crab                0.56617   0.48959   0.78867   0.26709   1.05575
RedCrab             0.06250   0.45781   0.49700   0.02331   0.52031
Shri                2.71012   0.16783   2.00964   0.86831   2.87795
Polych              1.65621   0.09091   1.14402   0.60310   1.74712
Stoma               0.31660   0.09091   0.32008   0.08743   0.40750
Zoopl               6.22020   0.07692   3.43539   2.86173   6.29712
MeioBenth           8.42309   0.00000   4.09478   4.32831   8.42309
Phyto              14.57691   0.00000   4.11264  10.46427  14.57691
