TI3;"Herr""""";"Jack""""";"Mack""""";"CatFish""""";"Snap""""";"Croak""""";"Group""""";"Sha""""";"Ofish""""";"Squid""""";"Shri""""";"EpiFau""""";"Zoopl""""";"Major""""";"InFau""""";"FlatFish""""";"Gru""""";"Phyto""""";;SUM;;;
"CatFish""""";0,07;0,04;0,07;0,05;0,06;0,04;0,06;0,07;0,07;0,07;0,06;0,06;0,06;0,04;0,07;0,08;0,04;0,04;;1,05;;thresold:;0,07
"Croak""""";0,06;0,04;0,03;0,04;0,06;0,04;0,05;0,06;0,06;0,06;0,05;0,05;0,06;0,04;0,06;0,04;0,04;0,04;;0,86;;;
"EpiFau""""";0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,06;0,08;0,08;0,08;0,09;0,1;0,06;;1,43;;;
"FlatFish""""";0,03;0,02;0,03;0,05;0,05;0,03;0,05;0,05;0,06;0,02;0,05;0,05;0,02;0,03;0,06;0,04;0,03;0,01;;0,66;;;
"Group""""";0,07;0,07;0,07;0,07;0,07;0,08;0,05;0,07;0,08;0,07;0,07;0,07;0,05;0,07;0,05;0,09;0,09;0,03;;1,22;;;
"Gru""""";0,02;0,02;0,02;0,02;0,05;0,03;0,04;0,02;0,05;0,02;0,04;0,04;0,05;0,03;0,05;0,03;0,03;0,03;;0,61;;;
"Herr""""";0,05;0,07;0,07;0,07;0,06;0,07;0,06;0,07;0,06;0,07;0,06;0,06;0,07;0,04;0,04;0,04;0,04;0,05;;1,04;;;
"InFau""""";0,04;0,06;0,06;0,06;0,06;0,06;0,04;0,04;0,07;0,04;0,06;0,06;0,04;0,06;0,05;0,08;0,08;0,02;;0,97;;;
"Jack""""";0,06;0,04;0,07;0,04;0,06;0,04;0,06;0,06;0,03;0,07;0,06;0,06;0,07;0,07;0,06;0,03;0,04;0,04;;0,95;;;
"Mack""""";0,06;0,07;0,04;0,06;0,04;0,04;0,06;0,06;0,03;0,07;0,06;0,06;0,07;0,07;0,06;0,04;0,03;0,05;;0,96;;;
"Major""""";0,04;0,07;0,07;0,04;0,06;0,04;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,06;0,04;0,04;0,04;;0,95;;;
"Ofish""""";0,06;0,04;0,04;0,07;0,07;0,07;0,06;0,06;0,05;0,04;0,06;0,06;0,04;0,06;0,07;0,09;0,09;0,02;;1,05;;;
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0,04;0;0;0;0;0,03;;0,12;;;
"Sha""""";0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,05;0,07;0,07;0,06;0,06;0,04;0,07;0,05;0,08;0,04;0,02;;1,12;;;
"Shri""""";0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,08;0,06;0,08;0,08;0,08;0,08;0,09;0,1;0,06;;1,43;;;
"Snap""""";0,07;0,07;0,05;0,07;0,05;0,08;0,07;0,07;0,08;0,07;0,07;0,07;0,04;0,07;0,08;0,09;0,09;0,02;;1,22;;;
"Squid""""";0,07;0,07;0,07;0,07;0,06;0,07;0,06;0,07;0,04;0,05;0,06;0,06;0,07;0,07;0,04;0,04;0,04;0,05;;1,05;;;
"Zoopl""""";0,06;0,07;0,07;0,06;0,03;0,07;0,04;0,03;0,03;0,07;0,06;0,06;0,07;0,06;0,04;0,03;0,08;0,39;;1,30;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Herr""""";"Jack""""";"Mack""""";"CatFish""""";"Snap""""";"Croak""""";"Group""""";"Sha""""";"Ofish""""";"Squid""""";"Shri""""";"EpiFau""""";"Zoopl""""";"Major""""";"InFau""""";"FlatFish""""";"Gru""""";"Phyto""""";;SUM;;;
