Species                 Kbu       Ktd      Kdir    Kindir         K
Phyto               8.20286   0.00000   1.70000   6.50286   8.20286
Oyst                1.14000   0.55556   1.17619   0.51937   1.69556
HerbZoopl           5.70714   0.33333   2.70952   3.33095   6.04048
Polych              1.12857   1.77778   2.33333   0.57302   2.90635
Periph              1.79714   0.00000   1.20000   0.59714   1.79714
HerbFish            0.37143   0.50000   0.84286   0.02857   0.87143
Shri                0.62857   2.11111   1.47619   1.26349   2.73968
BenthFFish          0.20000   7.33333   3.36667   4.16667   7.53333
CarnZoopl           2.38286   0.22222   1.87619   0.72889   2.60508
ZooplFish           0.37143   1.98148   1.17619   1.17672   2.35291
PiscFish            0.00000  11.00000   2.33333   8.66667  11.00000
Crab                0.17143   1.59259   0.80952   0.95450   1.76402
