Species                     Kbu       Ktd      Kdir    Kindir         K
Sha                     0.16667  18.39565   4.54114  14.02117  18.56232
Porp                    0.50000  23.10818   2.50123  21.10695  23.60818
Hal                     0.06863   5.32443   1.92176   3.47130   5.39306
TranOrc                 0.00000  32.60716   2.00000  30.60716  32.60716
Pinni                   0.50000   7.49898   2.85043   5.14855   7.99898
LingCod                 0.19639   1.69187   0.99175   0.89651   1.88826
DeepDem                 0.42802   5.00174   3.36435   2.06541   5.42976
SabFish                 0.34244   4.62172   2.00651   2.95765   4.96416
Aatooth                 0.06863   2.83568   1.24064   1.66366   2.90430
Asal                    1.07994   0.90967   1.53069   0.45893   1.98962
ResOrc                  0.00000   0.45007   0.25758   0.19249   0.45007
AviPred                 0.00000   3.91020   1.39583   2.51436   3.91020
PacCod                  0.50957   4.29000   2.30949   2.49008   4.79957
Jatooth                 0.32347   1.61290   1.15374   0.78264   1.93637
Bird                    0.20000   2.20367   1.49370   0.90997   2.40367
RockFish                0.27292   2.86785   1.47085   1.66992   3.14077
PollOne                 0.87995   1.90533   1.78789   0.99739   2.78528
Sal                     0.90695   1.43959   1.50872   0.83781   2.34653
NshDem                  1.14896   1.05628   1.59643   0.60881   2.20524
Squide                  1.51014   1.10555   1.81276   0.80293   2.61569
DeepEpiBent             1.44839   1.73660   2.60710   0.57789   3.18499
Eula                    2.21227   0.33299   1.69967   0.84560   2.54527
Otter                   0.00000   1.26465   0.92424   0.34041   1.26465
Cape                    1.87922   0.44966   1.51319   0.81569   2.32888
Aherr                   1.92973   0.44966   1.86907   0.51032   2.37939
BelWhale                0.00000   0.47973   0.33694   0.14279   0.47973
PollZero                0.91329   0.35591   0.84768   0.42152   1.26920
ShalEpiBenth            0.96850   0.62153   1.23036   0.35967   1.59003
Sandl                   2.14398   0.44966   1.74584   0.84781   2.59364
Jherr                   2.68581   0.35591   2.01577   1.02595   3.04172
Jelly                   0.35521   0.85591   1.00193   0.20919   1.21112
DeepSmInFau             0.72717   0.14256   0.51646   0.35328   0.86974
NeaOmnZoo               5.32821   0.35351   2.56405   3.11766   5.68172
OmnZoopl                7.02541   0.52018   3.76835   3.77724   7.54559
ShalSmInFau             1.89777   0.16667   1.36786   0.69658   2.06444
InveatBird              0.00000   0.28819   0.22917   0.05903   0.28819
MeioFau                 0.43902   0.00000   0.20536   0.23366   0.43902
DeepLgInFau             0.68902   0.07018   0.50799   0.25121   0.75920
ShalSmEpiBenth          5.21221   0.50000   3.13053   2.58169   5.71221
ShalLgInFau             0.43156   0.16667   0.55609   0.04214   0.59823
NeaHerbZoo              8.64248   0.16667   2.30000   6.50915   8.80915
HerbZoopl              13.13474   0.33333   4.85067   8.61740  13.46807
NeaPhyto               19.41319   0.00000   4.00000  15.41319  19.41319
OffshPhyto             17.03575   0.00000   1.50000  15.53575  17.03575
MacroalgaGrass          4.11204   0.00000   0.97619   3.13585   4.11204
