Species               Kbu       Ktd      Kdir    Kindir         K
Hake              0.14286   1.12302   0.89286   0.37302   1.26587
CutFish           0.00000   4.21429   2.39286   1.82143   4.21429
WeakFish          1.18413   0.77778   1.43571   0.52619   1.96190
Sha               0.00000   1.90079   1.25000   0.65079   1.90079
Opela             0.00000   2.88492   1.80952   1.07540   2.88492
Squid             0.92381   0.88889   1.43571   0.37698   1.81270
Mack              0.20000   0.52381   0.59286   0.13095   0.72381
JackMack          0.72381   0.19048   0.81905   0.09524   0.91429
Anch              2.29312   0.52381   2.01905   0.79788   2.81693
Shri              1.67090   0.33333   1.50952   0.49471   2.00423
Zoopl             5.68254   0.33333   3.34286   2.67302   6.01587
Phyto            11.00000   0.00000   2.50000   8.50000  11.00000
