TI3;"Cet""""";"Sard""""";"OSPela""""";"Odem""""";"OctoVul""""";"Sep""""";"Zoopl""""";"Bird""""";"Sha""""";"EpiNeph""""";"Pomad""""";"Sciae""""";"Pseudopen""""";"Spar""""";"Sco""""";"Benth""""";"Lpela""""";"Phyto""""";"Shri""""";"Lobs""""";"FlatFish""""";;SUM
"Cet""""";0,05;0,06;0,08;0,05;0,07;0,07;0,04;0,05;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;;0,75
"Sard""""";0,09;0,08;0,12;0,03;0,03;0,03;0,05;0,25;0,07;0,03;0,04;0,08;0,03;0,07;0,03;0,03;0,11;0,1;0,03;0,03;0,02;;1,33
"OSPela""""";0,09;0,09;0,07;0,02;0,02;0,02;0,04;0,23;0,06;0,02;0,03;0,03;0,03;0,02;0,02;0,04;0,11;0,03;0,01;0,01;0,02;;1,03
"Odem""""";0,1;0,04;0,04;0,07;0,1;0,1;0,07;0,02;0,08;0,1;0,1;0,09;0,05;0,09;0,11;0,07;0,04;0,04;0,08;0,06;0,13;;1,61
"OctoVul""""";0,08;0,02;0,02;0,06;0,04;0,04;0,05;0,01;0,02;0,07;0,02;0,03;0,02;0,03;0,03;0,05;0,02;0,03;0,06;0,07;0,03;;0,8
"Sep""""";0,08;0,02;0,02;0,06;0,04;0,04;0,05;0,01;0,02;0,07;0,02;0,03;0,02;0,03;0,03;0,05;0,02;0,03;0,06;0,07;0,03;;0,8
"Zoopl""""";0,13;0,11;0,12;0,1;0,12;0,12;0,08;0,07;0,08;0,11;0,12;0,11;0,17;0,11;0,12;0,1;0,14;0,14;0,1;0,11;0,15;;2,38
"Bird""""";0,02;0,05;0,07;0;0;0;0,01;0,05;0,01;0;0,01;0,01;0,01;0,01;0;0,01;0,02;0,01;0;0;0;;0,29
"Sha""""";0,03;0,08;0,09;0,06;0,03;0,03;0,04;0,05;0,06;0,08;0,09;0,08;0,15;0,08;0,09;0,06;0,05;0,03;0,04;0,03;0,04;;1,31
"EpiNeph""""";0,04;0,02;0,02;0,06;0,08;0,08;0,05;0,01;0,06;0,05;0,03;0,03;0,04;0,07;0,04;0,05;0,02;0,03;0,06;0,04;0,04;;0,92
"Pomad""""";0,02;0,02;0,03;0,05;0,02;0,02;0,04;0,02;0,06;0,03;0,04;0,03;0,03;0,02;0,03;0,05;0,09;0,02;0,05;0,02;0,03;;0,7
"Sciae""""";0,03;0,06;0,03;0,05;0,03;0,03;0,04;0,03;0,06;0,03;0,03;0,04;0,03;0,03;0,04;0,05;0,03;0,04;0,05;0,07;0,03;;0,81
"Pseudopen""""";0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,05;0,01;0,02;0,01;0,03;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;;0,34
"Spar""""";0,03;0,06;0,03;0,06;0,04;0,04;0,05;0,03;0,06;0,07;0,03;0,04;0,03;0,04;0,04;0,05;0,03;0,04;0,06;0,07;0,03;;0,92
"Sco""""";0,02;0,02;0,02;0,05;0,03;0,03;0,04;0,01;0,05;0,03;0,03;0,03;0,03;0,03;0,03;0,04;0,02;0,03;0,05;0,07;0,03;;0,67
"Benth""""";0,06;0,06;0,1;0,09;0,1;0,1;0,09;0,05;0,1;0,1;0,12;0,1;0,17;0,1;0,12;0,08;0,13;0,12;0,09;0,07;0,14;;2,1
"Lpela""""";0,02;0,06;0,08;0,02;0,01;0,01;0,04;0,05;0,02;0,01;0,08;0,02;0,02;0,02;0,01;0,04;0,04;0,02;0,02;0,01;0,02;;0,64
"Phyto""""";0,02;0,05;0,02;0,02;0,02;0,02;0,04;0,03;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,04;0,02;0,03;0,05;0,06;0,02;;0,58
"Shri""""";0,05;0,04;0,03;0,08;0,1;0,1;0,07;0,01;0,05;0,1;0,1;0,1;0,04;0,09;0,11;0,08;0,04;0,12;0,07;0,11;0,14;;1,61
"Lobs""""";0,03;0,03;0,02;0,04;0,08;0,08;0,05;0,01;0,03;0,04;0,02;0,08;0,02;0,07;0,09;0,03;0,02;0,1;0,07;0,05;0,03;;0,98
"FlatFish""""";0,01;0,01;0,01;0,04;0,02;0,02;0,03;0;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,01;0,02;0,04;0,02;0,03;;0,43
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Cet""""";"Sard""""";"OSPela""""";"Odem""""";"OctoVul""""";"Sep""""";"Zoopl""""";"Bird""""";"Sha""""";"EpiNeph""""";"Pomad""""";"Sciae""""";"Pseudopen""""";"Spar""""";"Sco""""";"Benth""""";"Lpela""""";"Phyto""""";"Shri""""";"Lobs""""";"FlatFish""""";;SUM
"Benth""""";0,02;0,1;0,05;0,29;0,02;0,02;0,4;0;0,17;0,07;0,02;0;0;0,02;0;0;0,05;0;0,29;0,14;0;;1,67
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Cet""""";0;0,02;0,02;0;0;0;0,02;0;0,02;0;0;0;0;0;0;0,02;0,02;0;0;0;0;;0,14
"EpiNeph""""";0;0;0;0,07;0;0;0,07;0;0,02;0;0;0;0;0;0;0,07;0;0;0,07;0,07;0;;0,38
"FlatFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lobs""""";0;0,05;0;0,12;0;0;0,14;0;0,07;0,07;0;0;0;0;0;0,14;0;0;0,14;0;0;;0,74
"Lpela""""";0,02;0,02;0,02;0,02;0;0;0,05;0;0,05;0;0;0;0;0;0;0,05;0;0;0,02;0;0;;0,26
"OctoVul""""";0;0,02;0,02;0,05;0;0,05;0,05;0;0,02;0;0;0;0;0,02;0;0,02;0;0;0,02;0;0;;0,29
"Odem""""";0;0,05;0,02;0;0,05;0,05;0,31;0;0,12;0,07;0;0;0;0,02;0;0,29;0,02;0;0,24;0,12;0;;1,36
"OSPela""""";0,02;0,12;0;0,02;0,02;0,02;0,12;0;0,05;0;0,02;0;0;0;0;0,05;0,02;0;0;0;0;;0,48
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Pomad""""";0;0,02;0,02;0;0;0;0,02;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;;0,1
"Pseudopen""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sard""""";0,02;0;0,12;0,05;0,02;0,02;0,17;0;0,07;0;0,02;0;0;0;0;0,1;0,02;0;0,05;0,05;0;;0,71
"Sciae""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sco""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sep""""";0;0,02;0,02;0,05;0,05;0;0,05;0;0,02;0;0;0;0;0,02;0;0,02;0;0;0,02;0;0;;0,29
"Sha""""";0,02;0,07;0,05;0,12;0,02;0,02;0,19;0;0;0,02;0;0;0;0,02;0;0,17;0,05;0;0,12;0,07;0;;0,95
"Shri""""";0;0,05;0;0,24;0,02;0,02;0,31;0;0,12;0,07;0;0;0;0,05;0;0,29;0,02;0;0;0,14;0;;1,33
"Spar""""";0;0;0;0,02;0,02;0,02;0,05;0;0,02;0;0;0;0;0;0;0,02;0;0;0,05;0;0;;0,21
"Zoopl""""";0,02;0,17;0,12;0,31;0,05;0,05;0;0;0,19;0,07;0,02;0;0;0,05;0;0,4;0,05;0;0,31;0,14;0;;1,95
