"TI3";""MarMamm"";""Tuna"";""PelaSha"";""PelaPred"";""Spela"";""Squid"";""Zoopl"";""Bird"";""BenthFish"";""FlatFish"";""PhytoEater"";""Mull"";""Crab"";""Scrus"";""Turtle"";""Cepha"";""GastroBivalv"";""Anne"";""Echino"";""BenthAlga"";""BillFish"";""BenthPred"";""DemSha"";""GroupSnap"";""Ray"";""Spar"";""BenthFeed"";""Shri"";""MeioBenth"";""Phyto"";;SUM
""MarMamm"";"0,04";"0,08";"0,04";"0,05";"0,05";"0,06";"0,03";"0,02";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,04";"0,01";"0,01";"0,01";"0,00";"0,01";"0,01";"0,00";"0,00";"0,02";;"0,54"
""Tuna"";"0,09";"0,05";"0,04";"0,03";"0,05";"0,06";"0,03";"0,02";"0,01";"0,01";"0,05";"0,01";"0,01";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,01";"0,10";"0,01";"0,01";"0,01";"0,00";"0,01";"0,01";"0,00";"0,00";"0,02";;"0,67"
""PelaSha"";"0,10";"0,10";"0,05";"0,08";"0,07";"0,08";"0,03";"0,06";"0,04";"0,04";"0,04";"0,02";"0,03";"0,02";"0,06";"0,02";"0,02";"0,02";"0,02";"0,02";"0,12";"0,06";"0,06";"0,05";"0,05";"0,04";"0,04";"0,02";"0,01";"0,02";;"1,38"
""PelaPred"";"0,09";"0,05";"0,05";"0,04";"0,06";"0,07";"0,02";"0,05";"0,03";"0,01";"0,05";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,11";"0,02";"0,01";"0,04";"0,01";"0,03";"0,01";"0,01";"0,00";"0,02";;"0,88"
""Spela"";"0,10";"0,10";"0,05";"0,08";"0,05";"0,08";"0,04";"0,06";"0,02";"0,02";"0,03";"0,02";"0,03";"0,04";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,12";"0,02";"0,01";"0,04";"0,01";"0,04";"0,02";"0,02";"0,01";"0,07";;"1,16"
""Squid"";"0,10";"0,10";"0,05";"0,08";"0,07";"0,05";"0,04";"0,06";"0,03";"0,01";"0,06";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,12";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,00";"0,07";;"1,03"
""Zoopl"";"0,10";"0,09";"0,04";"0,04";"0,06";"0,07";"0,04";"0,07";"0,05";"0,05";"0,07";"0,06";"0,05";"0,03";"0,07";"0,05";"0,05";"0,03";"0,03";"0,06";"0,04";"0,03";"0,03";"0,05";"0,03";"0,05";"0,05";"0,05";"0,03";"0,08";;"1,55"
""Bird"";"0,03";"0,03";"0,04";"0,06";"0,05";"0,06";"0,04";"0,03";"0,04";"0,04";"0,05";"0,05";"0,03";"0,04";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,03";"0,02";"0,02";"0,02";"0,01";"0,02";"0,01";"0,01";"0,01";"0,03";;"0,87"
""BenthFish"";"0,03";"0,03";"0,06";"0,07";"0,03";"0,06";"0,05";"0,07";"0,04";"0,06";"0,06";"0,06";"0,05";"0,03";"0,03";"0,06";"0,05";"0,05";"0,06";"0,03";"0,03";"0,07";"0,07";"0,06";"0,07";"0,05";"0,06";"0,05";"0,03";"0,03";;"1,52"
""FlatFish"";"0,02";"0,02";"0,05";"0,02";"0,02";"0,02";"0,04";"0,06";"0,05";"0,04";"0,06";"0,03";"0,05";"0,05";"0,03";"0,03";"0,05";"0,05";"0,05";"0,03";"0,02";"0,06";"0,06";"0,05";"0,07";"0,05";"0,03";"0,05";"0,07";"0,03";;"1,26"
