TI3;"Bird""""";"PlaF""""";"BeDepF""""";"BeSuspF""""";"PisF""""";"BentF""""";"MesoZP""""";"MacroZP""""";"Phyto""""";;SUM
"Bird""""";0,08;0,13;0,13;0,13;0,08;0,05;0,05;0,04;0,05;;0,73
"PlaF""""";0,21;0,13;0,18;0,09;0,28;0,15;0,13;0,07;0,08;;1,31
"BeDepF""""";0,21;0,18;0,13;0,09;0,28;0,15;0,08;0,07;0,15;;1,33
"BeSuspF""""";0,17;0,07;0,07;0,1;0,05;0,14;0,14;0,09;0,16;;0,99
"PisF""""";0,05;0,11;0,11;0,03;0,08;0,03;0,02;0,02;0,02;;0,49
"BentF""""";0,09;0,15;0,15;0,17;0,09;0,11;0,16;0,2;0,11;;1,23
"MesoZP""""";0,08;0,13;0,08;0,18;0,06;0,16;0,12;0,22;0,19;;1,23
"MacroZP""""";0,04;0,04;0,04;0,07;0,03;0,12;0,13;0,09;0,15;;0,71
"Phyto""""";0,06;0,06;0,12;0,16;0,05;0,09;0,15;0,2;0,1;;0,98
;;;;;;;;;;;
;;;;;;;;;;;
TO3;"Bird""""";"PlaF""""";"BeDepF""""";"BeSuspF""""";"PisF""""";"BentF""""";"MesoZP""""";"MacroZP""""";"Phyto""""";;SUM
"BeDepF""""";0;0,11;0;0,06;0;0,06;0;0;0;;0,22
"BentF""""";0;0;0,06;0;0;0;0,11;0;0,11;;0,28
"BeSuspF""""";0;0,06;0,06;0;0;0;0,06;0;0;;0,17
"Bird""""";0;0;0;0;0;0;0;0;0;;0
"MacroZP""""";0;0;0;0;0;0;0;0;0;;0
"MesoZP""""";0;0,06;0;0,06;0;0,11;0;0;0,11;;0,33
"Phyto""""";0;0;0;0;0;0,11;0,11;0;0;;0,22
"PisF""""";0;0;0;0;0;0;0;0;0;;0
"PlaF""""";0;0;0,11;0,06;0;0;0,06;0;0;;0,22
