TI3;"Zoopl""""";"Serg""""";"Penae""""";"Lcrus""""";"Jscian""""";"JMedPred""""";"JLP""""";"DemFeed""""";"Leio""""";"Engra""""";"Pela""""";"Phyto""""";"MeioBenth""""";"MacroBenth""""";"LZBFeed""""";"Ascian""""";"AMedPred""""";"Lpred""""";;SUM
"Zoopl""""";0,06;0,08;0,07;0,08;0,08;0,09;0,1;0,09;0,09;0,08;0,08;0,1;0,05;0,05;0,04;0,05;0,05;0,05;;1,29
"Serg""""";0,08;0,06;0,05;0,08;0,08;0,09;0,1;0,09;0,09;0,09;0,08;0,1;0,05;0,05;0,03;0,09;0,05;0,05;;1,3
"Penae""""";0,08;0,06;0,07;0,09;0,09;0,1;0,05;0,1;0,06;0,09;0,09;0,1;0,11;0,09;0,23;0,09;0,08;0,05;;1,64
"Lcrus""""";0,08;0,08;0,07;0,06;0,09;0,04;0,1;0,05;0,05;0,04;0,09;0,1;0,1;0,07;0,05;0,09;0,07;0,05;;1,27
"Jscian""""";0,06;0,07;0,06;0,07;0,05;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,09;0,06;0,04;0,08;0,07;0,07;;1,02
"JMedPred""""";0,06;0,06;0,05;0,03;0,03;0,04;0,03;0,03;0,03;0,08;0,03;0,03;0,03;0,05;0,03;0,03;0,06;0,07;;0,78
"JLP""""";0,05;0,05;0,02;0,05;0,03;0,03;0,04;0,03;0,03;0,03;0,03;0,03;0,02;0,05;0,02;0,03;0,05;0,06;;0,66
"DemFeed""""";0,06;0,05;0,05;0,03;0,03;0,03;0,03;0,04;0,04;0,03;0,03;0,03;0,09;0,06;0,04;0,03;0,06;0,06;;0,8
"Leio""""";0,06;0,06;0,03;0,03;0,03;0,03;0,03;0,04;0,04;0,03;0,03;0,08;0,08;0,06;0,03;0,03;0,05;0,06;;0,81
"Engra""""";0,06;0,06;0,06;0,03;0,04;0,09;0,04;0,04;0,03;0,05;0,04;0,03;0,03;0,06;0,04;0,08;0,07;0,07;;0,9
"Pela""""";0,07;0,07;0,06;0,07;0,04;0,04;0,04;0,04;0,04;0,04;0,05;0,09;0,04;0,06;0,04;0,08;0,07;0,07;;1,01
"Phyto""""";0,06;0,06;0,05;0,06;0,03;0,03;0,03;0,03;0,08;0,03;0,07;0,05;0,04;0,06;0,04;0,03;0,03;0,02;;0,79
"MeioBenth""""";0,03;0,02;0,05;0,05;0,06;0,02;0,02;0,07;0,07;0,02;0,02;0,03;0,05;0,06;0,04;0,02;0,03;0,02;;0,7
"MacroBenth""""";0,06;0,05;0,09;0,08;0,08;0,09;0,1;0,1;0,1;0,08;0,08;0,1;0,11;0,07;0,23;0,05;0,05;0,05;;1,56
"LZBFeed""""";0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,01;0,01;0,01;;0,23
"Ascian""""";0,04;0,06;0,06;0,06;0,07;0,04;0,04;0,03;0,03;0,08;0,07;0,03;0,03;0,03;0,03;0,05;0,07;0,07;;0,89
"AMedPred""""";0,05;0,05;0,07;0,07;0,08;0,09;0,1;0,09;0,09;0,09;0,08;0,04;0,05;0,05;0,04;0,09;0,06;0,09;;1,29
"Lpred""""";0,04;0,04;0,04;0,04;0,07;0,09;0,09;0,08;0,08;0,08;0,07;0,03;0,04;0,04;0,02;0,08;0,08;0,05;;1,07
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TO3;"Zoopl""""";"Serg""""";"Penae""""";"Lcrus""""";"Jscian""""";"JMedPred""""";"JLP""""";"DemFeed""""";"Leio""""";"Engra""""";"Pela""""";"Phyto""""";"MeioBenth""""";"MacroBenth""""";"LZBFeed""""";"Ascian""""";"AMedPred""""";"Lpred""""";;SUM
"Zoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Serg""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Penae""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lcrus""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jscian""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"JMedPred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"JLP""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Leio""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Engra""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Pela""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroBenth""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LZBFeed""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ascian""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"AMedPred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Lpred""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
WI3;"Zoopl""""";"Serg""""";"Penae""""";"Lcrus""""";"Jscian""""";"JMedPred""""";"JLP""""";"DemFeed""""";"Leio""""";"Engra""""";"Pela""""";"Phyto""""";"MeioBenth""""";"MacroBenth""""";"LZBFeed""""";"Ascian""""";"AMedPred""""";"Lpred""""";;SUM
"Zoopl""""";45885565475;1,19938E+11;15244984500;7246713806;20361125074;10616557606;3034255983;11627418537;23284644497;26318929541;27043107202;1,20025E+12;7777250405;3010087436;6120559296;266134956;74280963,28;7116534,19;;1,52811E+12
"Serg""""";1,19938E+11;44852126720;4495799144;1562444464;4396318236;2154036284;609644815,2;2428792797;5246656077;5378595216;6851306638;2,3731E+11;1710440691;8424300650;1279405407;83558115,61;40202010,35;4129550,77;;4,46766E+11
"Penae""""";18016799864;5313217170;949273988,7;428191404,4;651888686,1;213801784,7;55262760,58;375279131,6;590022853,7;538612401,9;735732442,9;19587658632;946586682,2;2900057818;405688990;51708685,13;47982666,43;2765075,27;;51810531037
"Lcrus""""";7246713806;1562444464;362315803,7;163696902,8;175166809,2;33565927,27;6845103,51;112197796,1;133476980,9;82956417,05;161759842,1;1568453268;423623264,6;1225639348;186774076,8;21118414,99;20778889,26;1202810,64;;13488729925
"Jscian""""";16659102333;3596987647;451307551,9;143318298,5;172098418,7;47605496,96;11512816,64;108741549,6;203957413,7;116233819,1;326824772,9;3631621686;302696033,1;1629988786;150008778;15226725,68;17164670,51;1304970,5;;27585701768
"JMedPred""""";6755991204;1370750362;115124037,9;21360135,53;37026497,63;9669314,3;2322303,92;17100036,4;53540427,98;25829533,05;109978085,6;703095793,1;37094361,61;545192488,9;12706895,71;3403803,35;3699293,95;312413,27;;9824196988
"JLP""""";1655048718;332533535,6;25505889,5;3733692,83;7675211,1;1990546,22;479177,49;3133493,21;12003460,26;5465927,99;26068990,39;143360187,1;5604128,41;127831102;1354091,11;695879,79;744127,82;66283,13;;2353294442
"DemFeed""""";7399266342;1545595416;202073378,6;71398597,49;84576760,83;17100036,4;3655742,08;43223091,03;76619459,19;45803047,01;136633680,3;1016461678;164920280,7;911151288,9;49180955,21;11562894,28;12536987,73;803300,43;;11792562937
"Leio""""";14817501043;3338781140;317704613,5;84939896,95;158633544;53540427,98;14004036,96;76619459,19;185670795,8;139216060,9;323340397;5020012665;155044064,1;1373900679;47010762,78;12858551,86;13128995,85;940008,11;;26132847143
"Engra""""";19141039666;3911705611;331453785,8;60331939,67;103318950,4;29519466,34;7287903,99;52346339,44;159104069,6;76356452,91;316540554,2;2271535462;100603606,5;1480310393;47227767,94;7955004,27;8898186,8;822070,68;;28106357231
"Pela""""";22126178620;5605614522;509353229,7;132348961,7;326824772,9;141400395,7;39103485,59;175671874,6;415723367,6;356108123,5;627905510,2;14707882629;169338577,2;1643225185;107927034,5;10697277,42;8458938,48;811406,14;;47104573911
"Phyto""""";7,63798E+11;1,51015E+11;10547200802;998106625;2824594645;703095793,1;167253551,6;1016461678;5020012665;1987593529;11439464267;45877696314;1015269625;54930535962;149705572;225768277,2;227235975,9;23327760,76;;1,05197E+12
"MeioBenth""""";4242136585;932967649,7;436886161;231067235,2;201797355,4;31795167,1;5604128,41;141360240,6;132894912,1;75452704,89;112892384,8;870231107,4;541806173;1314915367;246780634;25256716,88;26740219,42;1609110,13;;9572193852
"MacroBenth""""";3283731748;9190146164;2676976447;1337061107;2173318382;934615695,3;255662203,9;1561973638;2355258307;2220465589;2190966914;94166633078;2629830735;842529684,8;2046573568;40334070,27;19230214,05;1574632,37;;1,27927E+11
"LZBFeed""""";1112828963;232619165;62413690,78;33958923,05;33335283,99;3630541,63;451363,7;14051701,49;13431646,51;11806941,98;23983785,43;42773020,57;82260211,35;341095594,6;12217275,24;6653057,94;7105339,01;395951,48;;2035012457
"Ascian""""";193552695,3;60769538,62;31820729,31;15358847,27;13534867,27;3890060,97;927839,72;13214736,32;14695487,84;7955004,27;9508691,04;258020888,3;33675622,5;26889380,18;26612231,76;347115,34;354107,99;40652,11;;711168496,1
"AMedPred""""";74280963,28;40202010,35;40600717,74;20778889,26;20979041,74;5813176,2;1364234,33;19700980,71;20631279,2;12235006,84;10338702,58;357085105;49023735,6;17627696,21;39079364,55;486898,49;199447,98;20421,52;;730447671,6
"Lpred""""";5822618,88;3378723,36;1914282,88;984117,8;1304970,5;401674,21;99424,69;1032814,84;1208581,85;924829,51;811406,14;29992835,27;2413665,2;1180974,28;1781781,64;45733,63;16708,52;881;;53316024,2
;;;;;;;;;;;;;;;;;;;;
