TI3;"Cet""""";"SCod""""";"RedFish""""";"Cape""""";"LPelaFeed""""";"PiscSPelaFeed""""";"PlankSPelaFeed""""";"Shri""""";"Lzoopl""""";"HarpSeal""""";"LCod""""";"SPlai""""";"LPlai""""";"Flou""""";"LDemFeed""""";"SDemFeed""""";"LCrus""""";"BenthInv""""";"HoodSeal""""";"GreenHal""""";"GreySeal""""";"Skate""""";"HarbSeal""""";"Bird""""";"Echino""""";"Mollu""""";"Polych""""";"Szoopl""""";"Phyto""""";;SUM
"Cet""""";0,03;0,03;0,07;0,04;0,06;0,04;0,03;0,03;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,02;0,01;;0,65
"SCod""""";0,07;0,04;0,04;0,06;0,04;0,04;0,05;0,05;0,05;0,06;0,06;0,06;0,04;0,06;0,06;0,05;0,06;0,06;0,07;0,04;0,06;0,03;0,08;0,03;0,09;0,08;0,06;0,07;0,04;;1,62
"RedFish""""";0,06;0,01;0,03;0,04;0,02;0,02;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,06;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,05;0,02;;0,58
"Cape""""";0,07;0,04;0,08;0,04;0,03;0,06;0,03;0,03;0,05;0,04;0,04;0,02;0,02;0,02;0,02;0,04;0,02;0,02;0,08;0,07;0,05;0,02;0,08;0,06;0,02;0,02;0,02;0,06;0,02;;1,17
"LPelaFeed""""";0,06;0,02;0,02;0,02;0,03;0,02;0,03;0,02;0,03;0,01;0,01;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,02;0,04;0,02;0,06;0,01;0,01;0,01;0,04;0,01;0,01;;0,65
"PiscSPelaFeed""""";0,07;0,03;0,04;0,06;0,03;0,04;0,05;0,04;0,04;0,05;0,05;0,02;0,02;0,02;0,05;0,02;0,02;0,05;0,07;0,03;0,05;0,02;0,08;0,06;0,02;0,02;0,02;0,06;0,02;;1,13
"PlankSPelaFeed""""";0,09;0,05;0,09;0,05;0,08;0,07;0,05;0,05;0,06;0,06;0,05;0,03;0,03;0,05;0,06;0,05;0,03;0,06;0,08;0,08;0,06;0,08;0,09;0,07;0,03;0,02;0,03;0,07;0,03;;1,66
"Shri""""";0,08;0,06;0,09;0,04;0,04;0,07;0,06;0,05;0,06;0,06;0,06;0,06;0,07;0,06;0,06;0,06;0,06;0,07;0,04;0,07;0,04;0,09;0,08;0,07;0,04;0,04;0,07;0,08;0,11;;1,84
"Lzoopl""""";0,08;0,05;0,09;0,06;0,07;0,06;0,05;0,05;0,04;0,06;0,05;0,05;0,06;0,05;0,03;0,05;0,05;0,03;0,04;0,06;0,03;0,03;0,04;0,03;0,03;0,04;0,03;0,07;0,1;;1,49
"HarpSeal""""";0,02;0,04;0,02;0,04;0,02;0,05;0,04;0,04;0,04;0,03;0,04;0,05;0,06;0,04;0,05;0,04;0,05;0,06;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,02;;1,05
