"TI3";""Phyto"";""MicroZoopl"";""Copyp"";""Mysid"";""UpoAfri"";""FishLarv"";""ZooplEater"";""BenthMicroAl"";""MeioFau"";""Det"";""Graz"";""SuspFeed"";""CalliaKra"";""Sol"";""Herb"";""MacrophSub"";""Grunter"";""MacrophSal"";""Epiph"";""BenthFeed"";""FreeWat"";""AttWat"";""SedBaci"";""CarnMac"";""Pisci"";""SkipJack"";""CatFish"";""DuskyKob"";""Bird"";""Leer"";;SUM
""Phyto"";"0,07";"0,15";"0,11";"0,09";"0,06";"0,14";"0,06";"0,00";"0,00";"0,01";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,01";"0,02";"0,10";"0,06";"0,00";"0,00";"0,02";"0,03";"0,01";"0,01";"0,02";"0,01";;"1,01"
""MicroZoopl"";"0,10";"0,13";"0,09";"0,07";"0,01";"0,05";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,45";"0,03";"0,00";"0,00";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";;"1,01"
""Copyp"";"0,12";"0,16";"0,08";"0,10";"0,03";"0,15";"0,07";"0,00";"0,01";"0,01";"0,01";"0,01";"0,00";"0,00";"0,01";"0,00";"0,01";"0,00";"0,01";"0,04";"0,11";"0,13";"0,00";"0,01";"0,02";"0,03";"0,01";"0,01";"0,02";"0,02";;"1,18"
""Mysid"";"0,13";"0,17";"0,13";"0,08";"0,04";"0,15";"0,08";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,00";"0,01";"0,00";"0,01";"0,00";"0,02";"0,05";"0,11";"0,14";"0,01";"0,01";"0,06";"0,09";"0,02";"0,02";"0,02";"0,02";;"1,46"
""UpoAfri"";"0,08";"0,03";"0,04";"0,04";"0,05";"0,03";"0,05";"0,02";"0,02";"0,03";"0,01";"0,03";"0,03";"0,01";"0,03";"0,04";"0,06";"0,04";"0,02";"0,05";"0,01";"0,12";"0,02";"0,03";"0,07";"0,09";"0,08";"0,07";"0,12";"0,03";;"1,35"
""FishLarv"";"0,09";"0,05";"0,08";"0,07";"0,02";"0,05";"0,02";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,03";"0,04";"0,03";"0,00";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";;"0,60"
""ZooplEater"";"0,11";"0,05";"0,11";"0,10";"0,06";"0,06";"0,07";"0,01";"0,02";"0,03";"0,01";"0,04";"0,02";"0,00";"0,03";"0,01";"0,02";"0,01";"0,03";"0,06";"0,04";"0,14";"0,02";"0,03";"0,07";"0,10";"0,08";"0,07";"0,12";"0,11";;"1,64"
""BenthMicroAl"";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,01";"0,07";"0,08";"0,07";"0,15";"0,06";"0,10";"0,16";"0,06";"0,03";"0,03";"0,03";"0,03";"0,02";"0,00";"0,00";"0,05";"0,03";"0,02";"0,01";"0,03";"0,02";"0,02";"0,02";;"1,13"
""MeioFau"";"0,00";"0,00";"0,01";"0,01";"0,02";"0,01";"0,01";"0,08";"0,04";"0,04";"0,04";"0,03";"0,03";"0,05";"0,06";"0,04";"0,07";"0,04";"0,03";"0,04";"0,00";"0,01";"0,07";"0,07";"0,02";"0,02";"0,07";"0,02";"0,02";"0,03";;"0,98"
""Det"";"0,01";"0,00";"0,01";"0,01";"0,03";"0,01";"0,02";"0,08";"0,04";"0,05";"0,04";"0,04";"0,03";"0,05";"0,06";"0,04";"0,07";"0,04";"0,03";"0,04";"0,00";"0,01";"0,07";"0,07";"0,02";"0,02";"0,08";"0,03";"0,11";"0,03";;"1,15"
