TI3;"Atila""""";"Calli""""";"Jtila""""";"MarCar""""";"Zoopl""""";"Phyto""""";"Pena""""";"MiscBenth""""";"Ethi""""";"Clib""""";"Tymp""""";"Oyst""""";;SUM
"Atila""""";0,17;0,27;0;0,01;0;0;0,01;0,03;0;0,03;0,03;0;;0,55
"Calli""""";0,53;0,2;0;0,01;0;0;0,02;0,14;0;0,07;0,07;0;;1,06
"Jtila""""";0;0,01;0,07;0,11;0,11;0,11;0,06;0,02;0,07;0,01;0,01;0,07;;0,67
"MarCar""""";0,03;0,04;0,22;0,12;0,17;0,17;0,18;0,14;0,22;0,08;0,08;0,12;;1,57
"Zoopl""""";0;0,01;0,23;0,17;0,14;0,19;0,18;0,05;0,23;0,03;0,03;0,29;;1,54
"Phyto""""";0;0,01;0,23;0,17;0,19;0,14;0,18;0,05;0,23;0,03;0,03;0,29;;1,54
"Pena""""";0,03;0,04;0,08;0,12;0,12;0,12;0,08;0,13;0,08;0,08;0,08;0,07;;1,02
"MiscBenth""""";0,17;0,35;0,04;0,12;0,04;0,04;0,16;0,2;0,04;0,53;0,53;0,02;;2,22
"Ethi""""";0;0,01;0,07;0,11;0,11;0,11;0,06;0,02;0,07;0,01;0,01;0,07;;0,67
"Clib""""";0,03;0,03;0;0,01;0;0;0,02;0,11;0;0,07;0,07;0;;0,36
"Tymp""""";0,03;0,03;0;0,01;0;0;0,02;0,11;0;0,07;0,07;0;;0,36
"Oyst""""";0;0;0,05;0,04;0,1;0,1;0,04;0,01;0,05;0;0;0,06;;0,44
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
TO3;"Atila""""";"Calli""""";"Jtila""""";"MarCar""""";"Zoopl""""";"Phyto""""";"Pena""""";"MiscBenth""""";"Ethi""""";"Clib""""";"Tymp""""";"Oyst""""";;SUM
"Atila""""";0;0,08;0;0;0;0;0;0,08;0;0;0;0;;0,17
"Calli""""";0,08;0;0;0,04;0;0;0,04;0,13;0;0;0;0;;0,29
"Clib""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ethi""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"Jtila""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"MarCar""""";0;0,04;0;0;0,25;0,25;0,08;0,08;0;0;0;0;;0,71
"MiscBenth""""";0,08;0,13;0;0,08;0,04;0,04;0,04;0;0;0;0;0;;0,42
"Oyst""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"Pena""""";0;0,04;0;0,08;0,04;0,04;0;0,04;0;0;0;0;;0,25
"Phyto""""";0;0;0;0,25;0,29;0;0,04;0,04;0;0;0;0;;0,63
"Tymp""""";0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0;0;0;0,25;0;0,29;0,04;0,04;0;0;0;0;;0,63
