TI3;"BM""""";"MMdh""""";"Mbd""""";"Mop""""";"Phyt""""";"Zoopl""""";"Moff""""";"Momf""""";"Bakt""""";"Ndet""""";"NeFO""""";"Md""""";"Nebf""""";"Nenf""""";"Bird""""";;SUM;;;
"Bakt""""";0,01;0,01;0,02;0,02;0,06;0,1;0,11;0,06;0,06;0,04;0,02;0,02;0,02;0,02;0,01;;0,59;;thresold;0,09
"Bird""""";0,01;0,01;0,01;0,01;0;0,01;0;0,01;0;0,01;0,05;0,01;0,01;0,01;0,04;;0,20;;;
"BM""""";0,09;0,16;0,1;0,08;0,01;0,01;0,02;0,02;0,01;0;0,03;0,03;0,03;0,02;0,02;;0,63;;;
"Mbd""""";0,17;0,08;0,07;0,1;0,03;0,02;0,03;0,08;0,03;0,02;0,09;0,06;0,09;0,05;0,05;;0,98;;;
"Md""""";0,04;0,04;0,05;0,08;0,03;0,02;0,03;0,07;0,03;0,02;0,08;0,06;0,09;0,04;0,05;;0,73;;;
"MMdh""""";0,16;0,07;0,05;0,08;0,01;0,01;0,01;0,02;0,01;0,01;0,07;0,03;0,03;0,02;0,04;;0,63;;;
"Moff""""";0,03;0,02;0,03;0,07;0,18;0,12;0,09;0,06;0,18;0,06;0,03;0,04;0,08;0,04;0,01;;1,05;;;
"Momf""""";0,07;0,06;0,14;0,12;0,19;0,15;0,1;0,1;0,19;0,1;0,12;0,16;0,13;0,14;0,08;;1,86;;;
"Mop""""";0,22;0,21;0,16;0,11;0,05;0,05;0,12;0,1;0,05;0,05;0,08;0,15;0,13;0,13;0,05;;1,66;;;
"Ndet""""";0;0,01;0,01;0,01;0,03;0,08;0,02;0,02;0,03;0,06;0,02;0,01;0,02;0,09;0,02;;0,42;;;
"Nebf""""";0,07;0,06;0,13;0,11;0,06;0,05;0,11;0,1;0,06;0,06;0,11;0,15;0,09;0,13;0,07;;1,36;;;
"NeFO""""";0,08;0,18;0,14;0,08;0,05;0,11;0,05;0,11;0,05;0,07;0,12;0,16;0,12;0,14;0,43;;1,90;;;
"Nenf""""";0,04;0,04;0,05;0,08;0,04;0,05;0,04;0,08;0,04;0,22;0,09;0,06;0,09;0,08;0,05;;1,03;;;
"Phyt""""";0,01;0,01;0,02;0,02;0,06;0,1;0,11;0,06;0,06;0,04;0,02;0,02;0,02;0,02;0,01;;0,59;;;
"Zoopl""""";0,01;0,02;0,03;0,04;0,2;0,11;0,15;0,1;0,2;0,24;0,08;0,04;0,05;0,06;0,05;;1,37;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
WI3;"BM""""";"MMdh""""";"Mbd""""";"Mop""""";"Phyt""""";"Zoopl""""";"Moff""""";"Momf""""";"Bakt""""";"Ndet""""";"NeFO""""";"Md""""";"Nebf""""";"Nenf""""";"Bird""""";;SUM;;;
"Bakt""""";22481943379;81980649,31;153974243,8;372885800,8;35316620,27;626830021,9;8346063085;2091205872;8899397,47;862674,07;6084373,17;263945426,5;39439220,35;357651,05;40917,08;;34509829331,32;;thresold;2881775689,09
"Bird""""";300569,47;3,19;7287,49;14038,32;17264,91;59,51;982,11;10741,4;13639,03;2307,75;1589,47;3146,95;626,85;26,72;1,04;;372284,22;;;2881775689,09
"BM""""";1,61683E+11;3,17241E+11;5,58736E+13;2,87966E+12;64678822046;468180159,9;5736210711;9978919576;22481943379;2696,77;391681367,5;62559076971;1284385214;39540066,27;901708,4;;59399803945576,80;;;
"Mbd""""";9,31227E+13;45209008066;1,6231E+11;9,85726E+11;1322753427;541530727,8;33178898079;2,01418E+12;256623739,7;1162146,83;14000658590;1,42842E+11;1,18743E+11;25070566,03;36437,44;;96641006863649,10;;;
"Md""""";83412102628;715431724,2;1,14274E+11;8262519273;1826304474;193225445,2;2236968369;2881775689;351927235,3;451113,8;37029733,55;565496176,3;167638033,8;539414,69;12587,81;;214925003266,54;;;
"MMdh""""";3,17241E+11;295030069,1;27125404840;5011597114;426260520,4;2014933,19;89526088,44;6971051721;81980649,31;21539,57;52351684,04;536573793,1;415368114,8;192507,26;9,58;;358248012911,01;;;
"Moff""""";9560351186;149210147,4;33178898079;6396076120;97978813568;388008865,2;73772233,8;343090149,6;13910105141;102781533,3;93585660,82;2796210461;1336162533;1394626,8;4910,54;;166308465214,28;;;
"Momf""""";29936758728;20913155162;3,62552E+12;1,89023E+11;36799966574;163437414,5;617562269,4;1491054558;6273617617;38624539,81;70993317,92;6483995300;580458601,8;3682498,65;96672,64;;3917914732763,54;;;
"Mop""""";7,67908E+12;13364258971;1,57716E+12;1,61978E+11;2795499351;582101133,4;10233721792;1,68021E+11;994362135,5;884760,46;1171149809;16525038547;9894655184;4345397,43;112306,56;;9641810384252,22;;;
"Ndet""""";1797,84;14359,71;464858,73;221190,11;3878924,04;4924401,77;41112613,33;8583231,07;575116,04;1583,08;2923,71;225556,9;59721,58;6702,06;4615,5;;60077595,49;;;
"Nebf""""";2996898833;969192267,9;1,6624E+11;8657823286;301836973,4;134747035,6;1870627546;451467801,4;92024847,48;209025,51;2807754,15;293366559,2;11731382,28;234076,77;4387,97;;182022926475,51;;;
"NeFO""""";1044483647;139604490,8;22401053744;1171149809;53172767,97;15554341,61;149737057,3;63105171,49;16224995,11;11694,84;457512;74059467,11;3208861,89;47138,37;12715,78;;25131883414,13;;;
"Nenf""""";65900110,45;320845,44;25070566,03;2715873,39;3901769,34;125520,68;1394626,8;2045832,58;596085,09;16755,15;29461,48;674268,36;167197,69;330,67;133,6;;102959376,77;;;
"Phyt""""";64678822046;426260520,4;793652056,1;1048312257;71020386,74;4273933432;58787288141;12266655525;35316620,27;5818386,06;19939787,99;1369728356;129358702,9;2341061,6;51794,72;;143908499071,69;;;
"Zoopl""""";936360319,8;4029866,37;649836873,3;436575850,1;8547866863;67246602,57;465610638,3;108958276,3;1253660044;14773205,32;11665756,21;289838167,7;115497459,1;150624,82;357,08;;12902070903,79;;;
