Species               Kbu       Ktd      Kdir    Kindir         K
Forage            1.16667   1.44444   1.91667   0.69444   2.61111
Cormo             0.00000   1.37037   0.58333   0.78704   1.37037
Bass              0.00000   1.75926   0.75000   1.00926   1.75926
Eal               0.00000   1.75926   0.75000   1.00926   1.75926
ZooBenth          3.85185   1.33333   4.00000   1.18519   5.18519
Bream             0.00000   0.38889   0.16667   0.22222   0.38889
Jmull             1.88889   1.22222   2.33333   0.77778   3.11111
Mull              0.00000   0.72222   0.50000   0.22222   0.72222
Zoopl             3.30247   0.50000   1.50000   2.30247   3.80247
Phyto             5.91975   0.00000   1.33333   4.58642   5.91975
Pleust            3.08025   0.00000   1.16667   1.91358   3.08025
