Species                Kbu       Ktd      Kdir    Kindir         K
Mojar              0.28084   0.69571   0.86829   0.10827   0.97656
Snoo               0.10390   2.10153   1.50206   0.70337   2.20543
Jack               0.00000   2.31923   1.41829   0.90094   2.31923
WhMull             0.17557   0.00000   0.11111   0.06445   0.17557
PortCrab           0.58009   2.86709   2.85206   0.59512   3.44718
CatFish            0.14286   6.14423   2.85400   3.43309   6.28709
Snap               0.00000   9.71464   2.09405   7.62060   9.71464
Croak              0.60414   1.05367   1.28416   0.37365   1.65781
BayWhi             0.00000   1.58138   1.01829   0.56309   1.58138
Goby               1.11338   1.05946   1.79055   0.38229   2.17284
Anch               1.23972   0.40000   1.32067   0.31905   1.63972
Oyst               0.61279   0.20000   0.73535   0.07744   0.81279
ToFish             0.00000   1.78903   0.75758   1.03145   1.78903
Shri               1.41529   0.31000   1.35602   0.36926   1.72529
Mollu              1.49288   0.30000   1.38654   0.40634   1.79288
Shhep              0.00000   0.49571   0.43377   0.06195   0.49571
Zoopl              2.10164   0.20000   1.45357   0.84807   2.30164
MeioFau            2.58369   0.10000   1.80559   0.87810   2.68369
Crus               2.91703   0.10000   2.13892   0.87810   3.01703
Phyto              7.18464   0.00000   3.09091   4.09373   7.18464
BenthProd         11.63980   0.00000   4.62821   7.01159  11.63980
SpaFish            0.00000   0.10000   0.10000   0.00000   0.10000
