TI3;"PFLpisc""""";"PFLplank""""";"PFSpela""""";"DFSha""""";"DFPisc""""";"DFLcarn""""";"DFScarn""""";"DFSplank""""";"DFLherb""""";"Chepha""""";"Zoopl""""";"DFSherb""""";"DFOmn""""";"InvCarn""""";"InvFiltFeed""""";"InvDesp""""";"InvSurfDesp""""";"InvHerb""""";"MeioFau""""";"BenthMacroph""""";"Coral""""";"Phyto""""";"BenthMicroph""""";;SUM
"PFLpisc""""";0,08;0,14;0,16;0,13;0,07;0,07;0,06;0,09;0,14;0,09;0,04;0,04;0,02;0,02;0,03;0,03;0,03;0,02;0,02;0,03;0,01;0,02;0,01;;1,37
"PFLplank""""";0,06;0,04;0,03;0,08;0,04;0,02;0,01;0,02;0,04;0,03;0,05;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0;;0,56
"PFSpela""""";0,05;0,02;0,04;0,02;0,01;0,01;0,01;0,02;0,01;0,06;0,05;0,01;0,01;0,01;0,01;0;0,01;0;0;0,01;0,01;0,02;0;;0,42
"DFSha""""";0,08;0,13;0,04;0,07;0,06;0,06;0,02;0,03;0,13;0,07;0,02;0,03;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,03;0,01;0,01;0,01;;0,89
"DFPisc""""";0,11;0,15;0,06;0,14;0,08;0,11;0,09;0,11;0,15;0,1;0,06;0,14;0,09;0,09;0,09;0,12;0,1;0,05;0,06;0,07;0,04;0,04;0,06;;2,09
"DFLcarn""""";0,08;0,05;0,05;0,1;0,08;0,06;0,05;0,09;0,05;0,09;0,04;0,12;0,03;0,08;0,08;0,11;0,08;0,02;0,05;0,03;0,03;0,03;0,05;;1,43
"DFScarn""""";0,07;0,04;0,04;0,03;0,06;0,05;0,06;0,09;0,03;0,04;0,07;0,04;0,05;0,09;0,08;0,11;0,09;0,15;0,1;0,04;0,04;0,04;0,06;;1,46
"DFSplank""""";0,07;0,04;0,05;0,04;0,05;0,06;0,06;0,04;0,03;0,07;0,06;0,03;0,02;0,03;0,03;0,04;0,03;0,02;0,07;0,02;0,02;0,02;0,03;;0,93
"DFLherb""""";0,06;0,04;0,02;0,09;0,04;0,02;0,01;0,02;0,06;0,02;0,01;0,03;0,02;0,01;0,01;0,01;0,01;0,03;0,01;0,11;0;0;0;;0,63
"Chepha""""";0,09;0,06;0,17;0,1;0,06;0,08;0,04;0,09;0,05;0,07;0,08;0,04;0,02;0,03;0,07;0,03;0,07;0,01;0,03;0,02;0,03;0,04;0,03;;1,29
"Zoopl""""";0,05;0,12;0,16;0,04;0,04;0,04;0,07;0,09;0,03;0,08;0,08;0,12;0,08;0,04;0,08;0,02;0,03;0,04;0,03;0,04;0,16;0,19;0,02;;1,67
"DFSherb""""";0,02;0,02;0,02;0,02;0,04;0,05;0,01;0,02;0,03;0,02;0,05;0,04;0,02;0,01;0,01;0,01;0,01;0,04;0,01;0,11;0,02;0,02;0,01;;0,61
"DFOmn""""";0,02;0,02;0,02;0,02;0,05;0,02;0,04;0,03;0,04;0,02;0,07;0,05;0,07;0,09;0,03;0,03;0,08;0,18;0,08;0,15;0,13;0,05;0,03;;1,3
"InvCarn""""";0,02;0,02;0,01;0,02;0,05;0,06;0,07;0,03;0,02;0,03;0,04;0,03;0,09;0,06;0,07;0,04;0,08;0,04;0,08;0,03;0,13;0,06;0,05;;1,13
"InvFiltFeed""""";0,03;0,03;0,04;0,03;0,06;0,07;0,07;0,04;0,02;0,07;0,08;0,03;0,04;0,08;0,06;0,06;0,05;0,02;0,09;0,01;0,06;0,16;0,13;;1,32
"InvDesp""""";0,02;0,01;0,01;0,02;0,04;0,05;0,06;0,03;0,01;0,02;0,01;0,02;0,02;0,03;0,03;0,05;0,04;0,02;0,08;0,01;0,01;0,01;0,12;;0,69
"InvSurfDesp""""";0,03;0,02;0,02;0,03;0,06;0,07;0,07;0,04;0,02;0,06;0,03;0,03;0,08;0,08;0,04;0,06;0,06;0,04;0,09;0,03;0,03;0,02;0,13;;1,11
"InvHerb""""";0,01;0;0;0;0,01;0,01;0,04;0,01;0,03;0;0,01;0,03;0,07;0,02;0,01;0,01;0,01;0,06;0,01;0,12;0,02;0,01;0,01;;0,5
"MeioFau""""";0,02;0,01;0,01;0,01;0,03;0,04;0,08;0,07;0,01;0,03;0,03;0,02;0,08;0,08;0,08;0,12;0,09;0,04;0,07;0,02;0,04;0,03;0,15;;1,15
