Species                  Kbu       Ktd      Kdir    Kindir         K
Phyto               15.40231   0.00000   2.00000  13.40231  15.40231
MesoZoopl           10.87708   0.33333   4.73611   6.47431  11.21042
IntInv               0.61806   0.46667   0.94444   0.14028   1.08472
MacroZoopl           4.43241   0.46667   3.36944   1.52963   4.89907
MacroAlga            0.59769   0.00000   0.53333   0.06435   0.59769
EpiZooBenth          0.19306   0.91667   0.96111   0.14861   1.10972
Bird                 0.00000   3.20640   1.36111   1.84529   3.20640
InfZoopl             2.67801   0.13333   1.87778   0.93356   2.81134
WildSal              0.19306   0.29630   0.32222   0.16713   0.48935
HatchSal             0.19306   0.29630   0.32222   0.16713   0.48935
Herr                 0.73056   0.29630   0.81389   0.21296   1.02685
Spela                1.69931   0.57963   1.76389   0.51505   2.27894
DemFish              0.73750   6.16512   4.90278   1.99985   6.90262
TranMamm             0.00000  12.79360   3.21111   9.58248  12.79360
Otter                0.18750   0.28333   0.41667   0.05417   0.47083
Pinni                0.12500   3.34293   1.45833   2.00959   3.46793
Sal                  0.53750   0.42623   0.76944   0.19429   0.96373
ResMamm              0.12500   4.30033   2.23611   2.18922   4.42533
