Species              Kbu       Ktd      Kdir    Kindir         K
Phyto            9.26667   0.00000   2.41667   6.85000   9.26667
Shri             1.50000   0.37143   1.84286   0.02857   1.87143
Clup             0.20000   0.57143   0.74286   0.02857   0.77143
Zoopl            4.98333   0.20000   3.31667   1.86667   5.18333
Benth            2.62500   0.57143   2.99286   0.20357   3.19643
Ocrus            0.70000   0.88571   1.44286   0.14286   1.58571
Grass            2.73333   0.00000   1.61667   1.11667   2.73333
Spar             0.00000   3.20000   2.04286   1.15714   3.20000
Cichl            0.00000   1.14286   0.70000   0.44286   1.14286
Gerre            0.00000   1.00000   0.70000   0.30000   1.00000
Lutja            0.00000   0.68571   0.50000   0.18571   0.68571
Ofish            0.00000   0.48571   0.34286   0.14286   0.48571
Poeci            0.00000   0.17143   0.14286   0.02857   0.17143
Tetraod          0.00000   0.31429   0.20000   0.11429   0.31429
