TI3;"Cet""""";"Sha""""";"Cod""""";"Jcod""""";"NseaMack""""";"Wmack""""";"Hadd""""";"Jhadd""""";"Herr""""";"Sprat""""";"Sande""""";"Sole""""";"OpredFish""""";"OpreyFish""""";"Cepha""""";"Zoopl""""";"Eupha""""";"Ocrus""""";"Seal""""";"Whit""""";"Jwhit""""";"Saithe""""";"NorPout""""";"Plai""""";"Brill""""";"SalTrout""""";"OMacroBenth""""";"Bird""""";"Jsaithe""""";"Gurna""""";"Jsha""""";"Polych""""";"HalTur""""";"RaySkate""""";"JraySkate""""";"BlueTuna""""";"HorMack""""";"Stur""""";"Echino""""";"EdiCrabLobs""""";"Phyto""""";"PlankMicroFlo""""";"MeioFau""""";"BenthMicroFlo""""";;SUM
"Cet""""";0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,05;0,02;0,03;0,03;0,04;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;0,86
"Sha""""";0,04;0,02;0,03;0,03;0,04;0,04;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,02;0,03;0,02;0,02;0,03;0,03;0,02;0,03;0,02;0,02;0,02;0,03;0,02;0,02;0,04;0,04;0,03;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;;1,09
"Cod""""";0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,03;0,02;0,03;0,02;0,03;0,04;0,03;0,02;0,02;0,03;0,04;0,04;0,03;0,04;0,03;0,05;0,03;0,02;0,04;0,05;0,04;0,04;0,02;0,04;0,05;0,02;0,02;0,02;0,02;0,02;0,04;0,06;0,01;0,01;0,02;0,02;;1,39
"Jcod""""";0,04;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,02;0,02;0,04;0,06;0,04;0,04;0,04;0,02;0,03;0,03;0,04;0,04;0,03;0,02;0,04;0,05;0,02;0,02;0,04;0,04;0,04;0,04;0,02;0,04;0,04;0,05;0,06;0,02;0,04;0,02;0,02;0,02;0,01;0,01;0,02;0,01;;1,45
"NseaMack""""";0,04;0,03;0,03;0,03;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,02;0,01;0,03;0,02;0,04;0,03;0,02;0,01;0,02;0,03;0,01;0,03;0,01;0,01;0,05;0,01;0,01;0,02;0,02;0,03;0,03;0,01;0,01;0,01;0,05;0,04;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;0,97
"Wmack""""";0,04;0,03;0,03;0,03;0,02;0,02;0,02;0,03;0,03;0,04;0,03;0,02;0,02;0,03;0,02;0,04;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,01;0,01;0,05;0,01;0,02;0,02;0,02;0,04;0,03;0,01;0,01;0,01;0,05;0,04;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;1,02
"Hadd""""";0,04;0,03;0,03;0,03;0,02;0,02;0,02;0,03;0,03;0,02;0,03;0,02;0,03;0,03;0,02;0,01;0,01;0,02;0,04;0,04;0,03;0,04;0,03;0,02;0,02;0,02;0,03;0,04;0,02;0,04;0,02;0,03;0,04;0,02;0,02;0,05;0,02;0,02;0,04;0,02;0,01;0,01;0,01;0,01;;1,12
"Jhadd""""";0,04;0,04;0,03;0,03;0,04;0,03;0,04;0,02;0,02;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,02;0,03;0,02;0,03;0,03;0,04;0,03;0,02;0,02;0,02;0,03;0,04;0,04;0,04;0,04;0,03;0,02;0,02;0,02;0,02;0,04;0,02;0,03;0,02;0,01;0,01;0,01;0,01;;1,15
"Herr""""";0,04;0,04;0,03;0,02;0,04;0,04;0,04;0,02;0,03;0,04;0,04;0,02;0,03;0,02;0,03;0,05;0,04;0,03;0,04;0,04;0,03;0,04;0,02;0,02;0,02;0,06;0,02;0,04;0,04;0,04;0,04;0,02;0,02;0,05;0,05;0,06;0,04;0,01;0,01;0,01;0,08;0,02;0,01;0,02;;1,46
"Sprat""""";0,04;0,03;0,02;0,02;0,04;0,04;0,02;0,02;0,03;0,03;0,02;0,01;0,03;0,02;0,03;0,04;0,03;0,02;0,03;0,03;0,03;0,03;0,02;0,01;0,02;0,05;0,01;0,04;0,04;0,03;0,04;0,01;0,01;0,02;0,01;0,05;0,04;0,01;0,01;0,01;0,02;0,01;0,01;0,01;;1,09
