Species                    Kbu       Ktd      Kdir    Kindir         K
ScomJack               0.20536   4.43267   1.92659   2.71144   4.63803
ShaRay                 0.00000  16.94587   4.42460  12.52127  16.94587
Bird                   0.07143   5.74001   1.75714   4.05429   5.81144
SchoolFishOne          0.68818   1.13388   1.22659   0.59548   1.82206
ReefCarnBG             0.68304   3.81511   2.48770   2.01045   4.49815
Cepha                  0.33222   1.82326   1.09206   1.06342   2.15548
BigGroup               0.07143   1.68175   0.57540   1.17778   1.75318
SchoolFishTwo          1.18057   0.91236   1.47698   0.61595   2.09293
ReefOmnSM              0.68818   1.72132   1.52817   0.88133   2.40951
ReefHerbSM             1.01493   0.69733   1.06587   0.64639   1.71226
Crus                   2.03990   1.66681   2.65040   1.05631   3.70671
ReefHerbBG             1.44242   0.27160   1.20198   0.51204   1.71402
Echino                 1.46420   0.88765   1.56865   0.78321   2.35186
Turtle                 0.00000   1.05413   0.58889   0.46524   1.05413
WormMollu              2.49884   0.71605   2.06865   1.14624   3.21489
Sess                   3.72826   0.54444   2.17421   2.09850   4.27271
Zoopl                  4.67929   0.33333   2.27778   2.73484   5.01262
Decomp                 5.90606   0.00000   1.42778   4.47828   5.90606
Phyto                  5.90606   0.00000   1.42778   4.47828   5.90606
BenthProd              5.18788   0.00000   2.05278   3.13511   5.18788
