Species                   Kbu       Ktd      Kdir    Kindir         K
Cepha                 0.49621   0.80034   0.70606   0.59049   1.29655
Pisc                  0.00000  11.31324   3.72222   7.59102  11.31324
Mcarni                0.21591   5.07918   2.15063   3.14446   5.29509
InvFeedOne            0.33750   3.59927   1.92884   2.00793   3.93677
InvFeedThree          0.45909   2.02266   1.43642   1.04533   2.48175
Bird                  0.00000  10.90818   3.91667   6.99152  10.90818
InvFeedTwo            0.21591   1.57257   0.99551   0.79297   1.78848
Dpunt                 0.21591   0.98670   0.77329   0.42933   1.20261
Blen                  0.33409   1.46284   1.00947   0.78746   1.79693
HerbFish              0.21591   1.32572   0.85265   0.68898   1.54163
PlFish                0.33750   0.97157   1.00126   0.30781   1.30907
Mugil                 0.12500   0.48015   0.51174   0.09341   0.60515
PelBaci               5.41558   0.00000   1.08258   4.33301   5.41558
Proto                 6.18935   0.36667   1.37424   5.18177   6.55601
SuspFeed              3.09987   1.35919   2.78503   1.67403   4.45906
Echino                1.71722   0.72796   1.38725   1.05793   2.44518
Deca                  1.68740   2.28611   2.86185   1.11166   3.97351
Polych                1.79875   1.24144   2.01387   1.02632   3.04019
Zoopl                 6.94606   0.50833   3.02424   4.43015   7.45440
InvFeedFour           0.00000   0.77858   0.41452   0.36406   0.77858
Macropl               1.19512   0.19962   0.61098   0.78376   1.39474
Crus                  4.15478   0.70795   2.83086   2.03187   4.86274
Amph                  2.64678   0.19962   1.79753   1.04887   2.84640
Phyto                10.17081   0.00000   1.79167   8.37914  10.17081
Gastro                1.90830   0.98670   1.87650   1.01851   2.89501
MacroAlga             7.41361   0.00000   3.14412   4.26949   7.41361
