TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"BenthFeed""""";"Pisci""""";"CatFish""""";"Leer""""";"DuskyKob""""";"Bird""""";"Grunter""""";"SkipJack""""";;SUM
"Phyto""""";0,08;0,16;0,11;0,1;0,06;0,14;0,07;0;0;0,01;0,01;0,01;0,01;0;0;0;0,11;0,06;0;0,01;0,03;0,02;0,01;0,01;0,01;0,02;0,02;0,04;;1,08
"MicroZoopl""""";0,1;0,13;0,09;0,08;0,01;0,05;0,02;0;0;0;0;0;0;0;0;0;0,45;0,03;0;0;0,01;0,01;0;0;0;0;0;0,01;;1,04
"Copyp""""";0,13;0,16;0,08;0,11;0,03;0,15;0,08;0;0,01;0,01;0,02;0,01;0;0;0;0;0,11;0,14;0,01;0,01;0,05;0,02;0,01;0,02;0,01;0,02;0,01;0,05;;1,26
"Mysid""""";0,13;0,17;0,13;0,08;0,04;0,16;0,08;0,01;0,01;0,01;0,02;0,01;0,01;0;0,01;0,01;0,11;0,14;0,01;0,01;0,05;0,06;0,02;0,02;0,02;0,02;0,01;0,06;;1,41
"UpoAfri""""";0,08;0,03;0,04;0,04;0,06;0,03;0,04;0,02;0,01;0,02;0,02;0,03;0,05;0,02;0,02;0,01;0,01;0,12;0,02;0,03;0,05;0,07;0,11;0,04;0,07;0,1;0,16;0,03;;1,32
"FishLarv""""";0,09;0,05;0,09;0,08;0,02;0,06;0,03;0;0,01;0,01;0,01;0,01;0;0;0;0;0,04;0,04;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0;0,02;;0,64
"ZooplEater""""";0,11;0,05;0,11;0,1;0,05;0,06;0,09;0,01;0,01;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,04;0,15;0,02;0,03;0,06;0,08;0,03;0,09;0,07;0,1;0,04;0,41;;1,88
"BenthMicroAl""""";0;0;0;0;0,02;0,01;0,01;0,08;0,11;0,11;0,22;0,08;0,09;0,16;0,09;0,06;0;0;0,06;0,04;0,03;0,02;0,02;0,02;0,03;0,03;0,02;0;;1,33
"MeioFau""""";0;0;0,01;0,01;0,01;0,01;0,01;0,08;0,05;0,04;0,04;0,03;0,02;0,04;0,08;0,06;0;0;0,08;0,06;0,04;0,02;0,02;0,02;0,02;0,01;0,01;0;;0,78
"Det""""";0,01;0;0,01;0,01;0,01;0,01;0,01;0,08;0,04;0,05;0,04;0,04;0,03;0,03;0,02;0,01;0;0,01;0,07;0,06;0,04;0,02;0,02;0,02;0,02;0,09;0,02;0,01;;0,76
"Graz""""";0;0;0;0;0;0,01;0;0,06;0,02;0,02;0,03;0,01;0,01;0,02;0,01;0,01;0;0;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0;0;;0,31
"SuspFeed""""";0,01;0;0,01;0,01;0,03;0,01;0,02;0,08;0,04;0,05;0,04;0,05;0,04;0,05;0,03;0,02;0;0,01;0,08;0,07;0,05;0,07;0,04;0,03;0,06;0,1;0,02;0,02;;1,04
"CalliaKra""""";0,01;0;0;0,01;0,04;0;0,01;0,08;0,03;0,04;0,03;0,03;0,06;0,03;0,02;0,02;0;0,01;0,07;0,03;0,02;0,06;0,09;0,03;0,03;0,1;0,15;0,01;;1,02
"Sol""""";0;0;0;0;0,01;0;0;0,07;0,02;0,02;0,03;0,02;0,02;0,04;0,02;0,02;0;0;0,06;0,02;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0;;0,47
"Herb""""";0;0;0;0,01;0,02;0,01;0,02;0,09;0,11;0,03;0,04;0,03;0,03;0,05;0,1;0,42;0;0,01;0,08;0,04;0,03;0,06;0,02;0,09;0,07;0,02;0,03;0,01;;1,41
"Epiph""""";0;0;0;0;0;0;0;0,01;0,01;0;0;0;0;0,01;0,06;0,05;0;0;0,01;0;0;0,01;0;0,01;0,01;0;0;0;;0,19
"FreeWat""""";0,02;0,11;0,02;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0,08;0,01;0;0;0;0;0;0;0;0;0;0;;0,27
"AttWat""""";0,04;0,03;0,08;0,07;0,06;0,04;0,06;0;0;0,01;0,01;0,01;0,01;0;0;0;0,02;0,05;0;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,02;0,04;;0,64
"SedBaci""""";0;0;0,01;0,01;0,02;0,01;0,01;0,07;0,12;0,12;0,05;0,09;0,09;0,16;0,09;0,06;0;0;0,07;0,08;0,05;0,03;0,04;0,03;0,04;0,04;0,03;0;;1,31
"CarnMac""""";0,01;0;0,01;0,02;0,03;0,02;0,03;0,05;0,11;0,11;0,04;0,09;0,04;0,05;0,05;0,03;0;0,01;0,09;0,07;0,07;0,07;0,11;0,09;0,08;0,04;0,04;0,01;;1,36
"BenthFeed""""";0,06;0,04;0,1;0,1;0,1;0,14;0,09;0,07;0,13;0,13;0,22;0,11;0,06;0,06;0,06;0,03;0,02;0,06;0,1;0,11;0,08;0,09;0,12;0,11;0,09;0,06;0,05;0,05;;2,45
"Pisci""""";0,03;0,02;0,03;0,07;0,08;0,03;0,07;0,03;0,04;0,03;0,03;0,09;0,09;0,03;0,08;0,05;0,01;0,04;0,04;0,07;0,06;0,05;0,05;0,05;0,07;0,04;0,04;0,04;;1,36
"CatFish""""";0,01;0;0,01;0,01;0,07;0,01;0,02;0,02;0,02;0,02;0,02;0,03;0,08;0,02;0,02;0;0;0,02;0,02;0,06;0,04;0,03;0,04;0,03;0,06;0,03;0,04;0,01;;0,72
