TI3;"ProdPrim""""";"Szoopl""""";"Lzoopl""""";"Crab""""";"Shri""""";"DetFeed""""";"Sdem""""";"Mdem""""";"MdemCom""""";"LdemCom""""";"SbathyPela""""";"MpelaCom""""";"Sard""""";"MesoPelaPrey""""";"Mpela""""";"Lpela""""";"Tuna""""";"PelaSha""""";"Cepha""""";"BalWhale""""";"Lobs""""";"SDeepWatBott""""";"Ldem""""";"VIgDemCom""""";"MbathyPela""""";"SDemShaRay""""";"Turtle""""";"Bird""""";"ToothWhaleDolph""""";"Worm""""";"LbathyPela""""";"Obenth""""";"PredEchino""""";"LDeepWatCom""""";"VIgDem""""";"LDemShaRay""""";;SUM;;;
"BalWhale""""";0,01;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,01;;0,34;0,0094;;0,04
"Bird""""";0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;;0,46;0,0128;;
"Cepha""""";0,04;0,05;0,05;0,05;0,05;0,12;0,05;0,05;0,05;0,05;0,06;0,06;0,05;0,06;0,03;0,04;0,05;0,07;0,04;0,1;0,08;0,04;0,06;0,05;0,07;0,05;0,03;0,08;0,07;0,06;0,08;0,06;0,03;0,04;0,1;0,06;;2,09;0,0581;;
"Crab""""";0,05;0,04;0,02;0,03;0,04;0,03;0,04;0,04;0,04;0,05;0,02;0,02;0,02;0,02;0,07;0,03;0,04;0,02;0,03;0,02;0,02;0,04;0,04;0,04;0,02;0,04;0,01;0,02;0,02;0,04;0,02;0,04;0,09;0,02;0,03;0,05;;1,24;0,0344;;
"DetFeed""""";0,03;0;0;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0;0;0;0,02;0;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0;0,02;0,01;0,02;0,01;0;0,01;0;;0,27;0,0075;;
"LbathyPela""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,05;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,03;0,02;0,02;0,01;0,01;0,01;0,01;;0,47;0,0131;;
"LDeepWatCom""""";0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,02;0,01;;0,54;0,0150;;
"Ldem""""";0,02;0,02;0,03;0,04;0,04;0,02;0,04;0,02;0,04;0,02;0,04;0,02;0,04;0,02;0,02;0,01;0,02;0,02;0,03;0,02;0,02;0,02;0,03;0,04;0,03;0,04;0,02;0,02;0,05;0,04;0,02;0,03;0,02;0,06;0,02;0,04;;1,00;0,0278;;
"LdemCom""""";0,05;0,04;0,03;0,04;0,04;0,03;0,04;0,04;0,04;0,03;0,02;0,02;0,04;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,04;0,02;0,02;0,02;0,04;0,02;0,02;0,02;0,04;0,02;0,03;0,09;0,02;0,02;0,04;;1,09;0,0303;;
"LDemShaRay""""";0,02;0,02;0,02;0,04;0,04;0,02;0,02;0,03;0,03;0,04;0,04;0,03;0,04;0,02;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,02;0,04;0,04;0,05;0,04;0,01;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,03;;0,97;0,0269;;
"Lobs""""";0,01;0,01;0,02;0,01;0,01;0,01;0,03;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;;0,46;0,0128;;
"Lpela""""";0,01;0,03;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,03;0,03;0,01;0,06;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,06;0,01;0,01;0,01;0,01;0,01;;0,64;0,0178;;
"Lzoopl""""";0,06;0,05;0,05;0,03;0,03;0,02;0,05;0,04;0,05;0,05;0,05;0,05;0,05;0,06;0,08;0,03;0,04;0,03;0,04;0,1;0,08;0,05;0,05;0,04;0,06;0,04;0,37;0,08;0,07;0,03;0,02;0,03;0,02;0,03;0,03;0,03;;1,98;0,0550;;
"MbathyPela""""";0,01;0,01;0,03;0,01;0,03;0,02;0,01;0,01;0,02;0,01;0,04;0,02;0,03;0,02;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,03;0,03;0,02;0,01;0,05;0,03;0,02;0,03;0,01;0,01;0,01;0,04;;0,72;0,0200;;
