Species                      Kbu       Ktd      Kdir    Kindir         K
ProdPrim                18.46025   0.00000   3.10831  15.35194  18.46025
Szoopl                   9.35131   0.08333   2.83658   6.59806   9.43464
Lzoopl                   6.20372   0.15104   3.83308   2.52168   6.35476
Crab                     3.27537   0.51195   1.89310   1.89422   3.78731
Shri                     3.31972   0.32617   1.97121   1.67468   3.64589
DetFeed                  0.27606   0.18382   0.27473   0.18515   0.45988
Sdem                     2.45488   0.50553   2.07465   0.88576   2.96041
Mdem                     1.49329   1.39704   2.33923   0.55110   2.89033
MdemCom                  1.34919   2.07158   2.67600   0.74477   3.42077
LdemCom                  0.16023   2.03907   1.38020   0.81910   2.19930
SbathyPela               1.27840   0.78103   1.41459   0.64484   2.05943
MpelaCom                 1.02457   1.33683   1.72590   0.63549   2.36139
Sard                     2.17496   0.33041   1.76301   0.74235   2.50536
MesoPelaPrey             1.99819   0.22301   1.41221   0.80899   2.22120
Mpela                    0.26901   0.43289   0.55474   0.14716   0.70190
Lpela                    0.32834   1.49867   1.21321   0.61381   1.82702
Tuna                     0.00000  16.21350   4.56913  11.64438  16.21350
PelaSha                  0.00000   7.87110   2.20341   5.66769   7.87110
Cepha                    2.03665   2.11960   3.35901   0.79724   4.15625
BalWhale                 0.00000   0.90183   0.39269   0.50914   0.90183
Lobs                     0.62283   0.21229   0.44515   0.38997   0.83512
SDeepWatBott             0.93914   1.18100   1.39419   0.72595   2.12015
Ldem                     0.52349   1.24409   1.15768   0.60990   1.76759
VIgDemCom                0.37959   4.43735   1.97435   2.84259   4.81694
MbathyPela               0.30785   0.73275   0.74077   0.29982   1.04059
SDemShaRay               0.28095   3.97473   2.07998   2.17571   4.25569
Turtle                   0.00000   0.05481   0.04762   0.00719   0.05481
Bird                     0.00000   0.89937   0.48136   0.41801   0.89937
ToothWhaleDolph          0.00000   2.19678   1.11138   1.08540   2.19678
Worm                     5.75996   0.00000   2.38414   3.37583   5.75996
LbathyPela               0.04762   1.63135   0.78422   0.89475   1.67897
Obenth                   8.77978   0.00000   4.30154   4.47824   8.77978
PredEchino               1.34532   0.04167   0.48093   0.90606   1.38698
LDeepWatCom              0.10000   2.57396   0.94132   1.73265   2.67396
VIgDem                   0.00000   0.86260   0.36707   0.49552   0.86260
LDemShaRay               0.04762   6.94379   2.31330   4.67810   6.99141
