TI3;"Tibur""""";"Zalo""""";"AvesMar""""";"Odon""""";"Merlu""""";"Sciae""""";"Rhino""""";"Serran""""";"Ray""""";"OtroPec""""";"Haemu""""";"Pela""""";"Cepha""""";"PecPla""""";"Mycto""""";"Mojar""""";"JTotoa""""";"ATotoa""""";"CDeRo""""";"Jaib""""";"CAA""""";"Polique""""";"CCA""""";"Vaqu""""";"Esto""""";"InvBenth""""";"CCPL""""";"Zoopl""""";"Myst""""";"CAPL""""";"AvesCos""""";"Macroph""""";"Phyto""""";;SUM
"Tibur""""";0,03;0,06;0,06;0,05;0,05;0,03;0,05;0,04;0,04;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;;0,98
"Zalo""""";0,04;0,03;0,02;0,02;0,01;0,03;0,01;0,01;0,01;0,03;0,03;0,04;0,04;0,03;0,04;0,03;0,04;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,02;0;0,01;0,01;;0,64
"AvesMar""""";0,04;0,02;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,03;0,03;0,03;0,01;0,01;0,03;0,01;0,02;0,01;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,56
"Odon""""";0,05;0,03;0,02;0,03;0,05;0,03;0,04;0,02;0,04;0,03;0,04;0,04;0,04;0,02;0,04;0,03;0,05;0,02;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,02;;0,9
"Merlu""""";0,04;0,02;0,01;0,04;0,02;0,01;0,01;0,01;0,01;0,03;0,01;0,04;0,02;0,02;0,04;0,01;0,02;0,02;0,03;0,01;0,03;0,03;0,01;0,01;0,01;0,03;0,04;0,03;0,02;0,01;0,01;0,01;0,02;;0,69
"Sciae""""";0,06;0,07;0,07;0,06;0,03;0,04;0,06;0,03;0,05;0,05;0,05;0,06;0,06;0,05;0,05;0,05;0,06;0,08;0,05;0,05;0,05;0,05;0,05;0,06;0,05;0,04;0,05;0,03;0,03;0,05;0,03;0,03;0,03;;1,65
"Rhino""""";0,04;0,02;0,02;0,04;0,02;0,03;0,03;0,04;0,04;0,03;0,03;0,01;0,01;0,02;0,01;0,04;0,02;0,02;0,02;0,03;0,03;0,03;0,02;0,02;0,04;0,03;0,01;0,01;0,01;0,01;0,02;0,02;0,01;;0,79
"Serran""""";0,04;0,01;0,02;0,02;0,02;0,02;0,05;0,03;0,04;0,03;0,02;0,01;0,01;0,02;0,01;0,04;0,02;0,02;0,04;0,04;0,03;0,04;0,04;0,05;0,04;0,04;0,01;0,02;0,01;0,01;0,02;0,05;0,02;;0,87
"Ray""""";0,04;0,02;0,02;0,04;0,02;0,04;0,05;0,05;0,03;0,03;0,04;0,02;0,02;0,04;0,02;0,03;0,02;0,02;0,04;0,04;0,04;0,04;0,04;0,05;0,04;0,04;0,02;0,02;0,02;0,02;0,03;0,05;0,02;;1,06
"OtroPec""""";0,06;0,07;0,07;0,06;0,07;0,05;0,06;0,06;0,05;0,04;0,06;0,06;0,06;0,06;0,06;0,06;0,07;0,08;0,06;0,04;0,05;0,05;0,03;0,07;0,05;0,05;0,06;0,05;0,04;0,06;0,03;0,06;0,06;;1,85
