Species                 Kbu       Ktd      Kdir    Kindir         K
MarMamm             0.06667   2.51552   0.89495   1.68724   2.58219
Sha                 0.00000  24.62606   6.16793  18.45813  24.62606
Seal                0.06667   4.96714   1.53781   3.49600   5.03380
Tuna                0.06667   2.86980   1.13304   1.80343   2.93647
Snoek               0.24697   5.08343   2.64181   2.68859   5.33040
Bird                0.00000   4.37394   1.44257   2.93137   4.37394
OLineFish           0.17190   1.96208   1.00166   1.13232   2.13398
Ahake               0.57854   5.23848   2.93689   2.88013   5.81702
Janch               1.20672   0.10000   0.68333   0.62339   1.30672
Asard               1.06939   1.54048   2.24984   0.36003   2.60987
Agobi               1.88042   1.35714   2.46019   0.77737   3.23756
Ajelly              0.52702   0.90667   1.06667   0.36702   1.43369
Aanch               1.58815   1.54048   2.50741   0.62121   3.12863
OSPela              1.53072   1.62536   2.02610   1.12998   3.15608
Jhake               1.02211   1.32357   1.57812   0.76757   2.34569
MonkFish            0.06667   3.40443   1.38503   2.08607   3.47110
Jsard               1.29318   0.10000   0.68333   0.70985   1.39318
Jgobi               0.77626   0.10000   0.43333   0.44292   0.87626
Amack               0.55044   0.62285   0.87332   0.29997   1.17329
Odem                0.57663   2.35927   1.92610   1.00980   2.93590
Cepha               1.65163   0.85986   1.79320   0.71829   2.51149
MesoPela            2.30220   0.15714   1.52686   0.93249   2.45935
Jmack               1.04887   0.07333   0.75265   0.36955   1.12220
MacroBenth          2.96770   0.50000   2.57841   0.88929   3.46770
Crab                0.31978   0.18750   0.36528   0.14201   0.50728
Lobs                0.25312   0.68750   0.79861   0.14201   0.94062
Jjelly              1.25633   0.10000   0.60000   0.75633   1.35633
MacroZoopl          5.02885   0.17333   2.37361   2.82857   5.20218
MesoZoopl          10.22074   0.10000   3.83194   6.48880  10.32074
BenthProd           4.59426   0.00000   1.50000   3.09426   4.59426
Phyto              24.40574   0.00000   6.25000  18.15574  24.40574
