TI3;"Bird""""";"PisF""""";"PlaF""""";"BentF""""";"BeDepF""""";"MacroZP""""";"MesoZP""""";"PerMacrophyt""""";"AnMacrophyt""""";"BeSuspF""""";"Phyto""""";;SUM
"Bird""""";0,09;0,14;0,14;0,14;0,09;0,05;0,03;0,08;0,08;0,01;0,02;;0,88
"PisF""""";0,23;0,14;0,19;0,19;0,28;0,16;0,07;0,12;0,12;0,03;0,05;;1,58
"PlaF""""";0,19;0,15;0,12;0,05;0,07;0,17;0,16;0,04;0,04;0,08;0,09;;1,15
"BentF""""";0,23;0,19;0,07;0,22;0,33;0,04;0,02;0,54;0,54;0;0,01;;2,18
"BeDepF""""";0,06;0,11;0,04;0,13;0,08;0,02;0,01;0,08;0,08;0;0,01;;0,62
"MacroZP""""";0,07;0,13;0,17;0,03;0,05;0,12;0,19;0,01;0,01;0,14;0,22;;1,14
"MesoZP""""";0,05;0,05;0,16;0,01;0,02;0,19;0,16;0;0;0,32;0,27;;1,23
"PerMacrophyt""""";0,03;0,02;0,01;0,11;0,04;0;0;0,07;0,07;0;0;;0,34
"AnMacrophyt""""";0,03;0,02;0,01;0,11;0,04;0;0;0,07;0,07;0;0;;0,34
"BeSuspF""""";0,01;0,01;0,04;0;0;0,07;0,16;0;0;0,13;0,2;;0,61
"Phyto""""";0,02;0,03;0,07;0;0,01;0,16;0,2;0;0;0,3;0,15;;0,94
;;;;;;;;;;;;;
;;;;;;;;;;;;;
TO3;"Bird""""";"PisF""""";"PlaF""""";"BentF""""";"BeDepF""""";"MacroZP""""";"MesoZP""""";"PerMacrophyt""""";"AnMacrophyt""""";"BeSuspF""""";"Phyto""""";;SUM
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;;0
"PisF""""";0;0;0;0;0;0;0;0;0;0;0;;0
"PlaF""""";0;0;0;0;0;0;0;0;0;0;0;;0
"BentF""""";0;0;0;0;0;0;0;0;0;0;0;;0
"BeDepF""""";0;0;0;0;0;0;0;0;0;0;0;;0
"MacroZP""""";0;0;0;0;0;0;0;0;0;0;0;;0
"MesoZP""""";0;0;0;0;0;0;0;0;0;0;0;;0
"PerMacrophyt""""";0;0;0;0;0;0;0;0;0;0;0;;0
"AnMacrophyt""""";0;0;0;0;0;0;0;0;0;0;0;;0
"BeSuspF""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;
;;;;;;;;;;;;;
WI3;"Bird""""";"PisF""""";"PlaF""""";"BentF""""";"BeDepF""""";"MacroZP""""";"MesoZP""""";"PerMacrophyt""""";"AnMacrophyt""""";"BeSuspF""""";"Phyto""""";;SUM
"Bird""""";31184012;392035302,8;441464744,2;1216343225;549158684,2;158494425;282651628,5;52184265,07;51909611,04;62581675;2755022009;;5993029582
"PisF""""";653392171,4;1863499882;2906938329;4329814051;13706375538;1242331130;1788061464;1290317495;1283526350;1313056306;17289322956;;47666635672
"PlaF""""";588619658,9;2325550663;590140466;612149247,1;553916049,6;12535761700;5,39143E+11;49780857,96;49518853,44;3,03985E+11;7316092438;;8,6775E+11
"BentF""""";2027238709;4329814051;765186558,9;1834758897;57979106281;848341107,4;401578066,2;5665770970;5635951122;0;46931040;;79534676803
"BeDepF""""";366105789,4;5482550215;276958024,8;23191642512;1817765737;278988370,6;491460663;93844384,53;93350466,72;0;59540160;;32152206324
"MacroZP""""";211325899,9;993864903,9;12535761700;678672885,9;557976741,3;8252455138;1,79566E+11;53501385,6;53219799,36;1,02673E+11;97253284913;;4,02828E+11
"MesoZP""""";376868838;1430449171;5,39143E+11;321262452,9;982921326;1,79566E+11;54778039951;0;0;98113292235;4,16284E+12;;5,03755E+12
"PerMacrophyt""""";17394755,02;258063499;12445214,49;1133154194;46922192,27;13375346,4;0;38506,67;38304;0;0;;1481432012
"AnMacrophyt""""";17303203,68;256705270,1;12379713,36;1127190225;46675233,36;13304949,84;0;38304;38102,4;0;0;;1473635001
"BeSuspF""""";41721116,67;525222522,5;1,51993E+11;0;0;51336374269;49056646118;0;0;46423489211;1,18005E+12;;1,47943E+12
"Phyto""""";2755022009;10373593773;5487069329;28158624;89310240;72939963685;3,12213E+12;0;0;1,77008E+12;54247509446;;5,03813E+12
;;;;;;;;;;;;;
;;;;;;;;;;;;;
WO3;"Bird""""";"PisF""""";"PlaF""""";"BentF""""";"BeDepF""""";"MacroZP""""";"MesoZP""""";"PerMacrophyt""""";"AnMacrophyt""""";"BeSuspF""""";"Phyto""""";;SUM
"AnMacrophyt""""";0;0;0;0;0;0;0;0;0;0;0;;0
"BeDepF""""";0;0;0;0;0;0;0;0;0;0;0;;0
"BentF""""";0;0,05;0;0;0;0;0;0;0;0;0;;0,05
"BeSuspF""""";0;0,05;0,18;0;0;0,23;0,23;0;0;0;0,23;;0,91
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;;0
"MacroZP""""";0;0,05;0,18;0;0;0;0,23;0;0;0,23;0,23;;0,91
"MesoZP""""";0;0,05;0,18;0;0;0,23;0;0;0;0,23;0,23;;0,91
"PerMacrophyt""""";0;0;0;0;0;0;0;0;0;0;0;;0
"Phyto""""";0;0,05;0,18;0;0;0,23;0,23;0;0;0,23;0;;0,91
"PisF""""";0;0;0,05;0,05;0;0,05;0,05;0;0;0,05;0,05;;0,27
"PlaF""""";0;0,05;0;0;0;0,18;0,18;0;0;0,18;0,18;;0,77
