Species              Kbu       Ktd      Kdir    Kindir         K
Lgroup           0.05882   1.33604   0.38575   1.00912   1.39487
Lshark           0.00000  20.24962   5.19670  15.05292  20.24962
Scom             0.15508   5.09150   2.20894   3.03764   5.24658
Seabird          0.05882   7.62741   2.58085   5.10539   7.68624
Ceph             0.31296   2.22495   1.24227   1.29563   2.53790
Lfishc           0.78950   3.69634   2.49075   1.99508   4.48584
Sschool          1.02820   1.06192   1.47494   0.61517   2.09012
Lschool          0.49177   0.73793   0.82604   0.40367   1.22970
Sfisho           0.59678   2.68003   2.18361   1.09320   3.27681
Plongi           0.39315   0.57838   0.73477   0.23677   0.97154
Pescul           0.39315   0.87471   0.82365   0.44421   1.26786
Prown            0.91102   1.03718   1.40381   0.54439   1.94820
Crus             3.09552   1.10546   3.13522   1.06575   4.20098
Turtle           0.00000   0.75038   0.49476   0.25562   0.75038
Mende            0.39315   0.46357   0.65784   0.19888   0.85673
Echino           1.29183   0.60733   1.20027   0.69890   1.89916
Bmoll            3.33554   0.49252   2.37378   1.45429   3.82807
Fishh            1.05422   0.38141   0.86264   0.57299   1.43563
Sess             3.73620   0.37771   2.19953   1.91438   4.11392
Zoopl            5.86217   0.21111   2.81198   3.26130   6.07328
Decomp           7.53169   0.00000   1.95952   5.57217   7.53169
Phyto            7.70052   0.00000   1.92619   5.77433   7.70052
Benthau          4.76779   0.00000   1.82619   2.94160   4.76779
