TI3;"MorEel""""";"LizFish""""";"RaySha""""";"CatFish""""";"SnapGru""""";"PuffFish""""";"Doplh""""";"FlatFish""""";"Demers""""";"PortCrab""""";"EpBenth""""";"Shrimp""""";"Spale""""";"Benth""""";"SerSco""""";"Car""""";"Bird""""";"Zoopl""""";"Baci""""";"Phyto""""";;SUM
"MorEel""""";0,05;0,07;0,07;0,07;0,07;0,09;0,1;0,07;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,04;0,04;0,03;0,03;0,03;;1,17
"LizFish""""";0,06;0,04;0,06;0,08;0,06;0,04;0,04;0,07;0,06;0,06;0,05;0,06;0,06;0,05;0,08;0,03;0,04;0,03;0,03;0,03;;1,05
"RaySha""""";0,07;0,07;0,05;0,07;0,07;0,09;0,1;0,07;0,06;0,06;0,06;0,06;0,06;0,06;0,04;0,04;0,04;0,03;0,03;0,03;;1,17
"CatFish""""";0,06;0,06;0,06;0,04;0,03;0,03;0,03;0,06;0,05;0,05;0,05;0,05;0,03;0,05;0,08;0,03;0,03;0,02;0,03;0,03;;0,87
"SnapGru""""";0,07;0,07;0,07;0,04;0,05;0,09;0,1;0,07;0,06;0,06;0,06;0,06;0,07;0,06;0,04;0,08;0,04;0,04;0,03;0,04;;1,18
"PuffFish""""";0,05;0,02;0,05;0,02;0,05;0,03;0,03;0,02;0,04;0,04;0,04;0,02;0,02;0,04;0,02;0,02;0,02;0,02;0,02;0,02;;0,6
"Doplh""""";0,04;0,02;0,04;0,02;0,05;0,02;0,04;0,02;0,04;0,02;0,02;0,02;0,05;0,02;0,02;0,06;0,02;0,02;0,01;0,01;;0,54
"FlatFish""""";0,06;0,07;0,06;0,08;0,06;0,04;0,04;0,04;0,06;0,06;0,05;0,06;0,06;0,05;0,08;0,03;0,04;0,03;0,03;0,03;;1,05
"Demers""""";0,07;0,07;0,07;0,08;0,07;0,09;0,1;0,07;0,05;0,07;0,07;0,07;0,05;0,07;0,08;0,08;0,04;0,08;0,05;0,04;;1,39
"PortCrab""""";0,07;0,08;0,07;0,08;0,07;0,09;0,05;0,08;0,07;0,06;0,07;0,07;0,08;0,07;0,09;0,08;0,13;0,05;0,11;0,05;;1,53
"EpBenth""""";0,07;0,08;0,07;0,08;0,07;0,1;0,05;0,08;0,07;0,08;0,06;0,08;0,06;0,08;0,09;0,08;0,13;0,1;0,12;0,12;;1,67
"Shrimp""""";0,07;0,07;0,07;0,08;0,07;0,04;0,04;0,07;0,07;0,07;0,07;0,06;0,05;0,07;0,09;0,08;0,04;0,1;0,12;0,11;;1,42
"Spale""""";0,06;0,06;0,06;0,03;0,06;0,03;0,1;0,06;0,04;0,06;0,04;0,04;0,05;0,04;0,07;0,08;0,12;0,08;0,03;0,1;;1,21
"Benth""""";0,07;0,07;0,07;0,08;0,07;0,09;0,05;0,07;0,07;0,07;0,08;0,07;0,05;0,06;0,05;0,08;0,13;0,1;0,12;0,12;;1,57
"SerSco""""";0,03;0,06;0,03;0,06;0,02;0,02;0,02;0,06;0,05;0,05;0,04;0,05;0,05;0,02;0,04;0,02;0,03;0,02;0,02;0,02;;0,7
"Car""""";0,03;0,03;0,03;0,02;0,05;0,03;0,09;0,03;0,05;0,04;0,04;0,05;0,06;0,05;0,03;0,04;0,03;0,07;0,04;0,04;;0,83
"Bird""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,04;0,03;0,01;0,01;0,03;0,01;0,02;0,02;;0,35
"Zoopl""""";0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,02;0,05;0,05;0,05;0,05;0,02;0,06;0,03;0,05;0,1;0,1;;0,79
"Baci""""";0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,03;0,04;0,04;0,01;0,04;0,01;0,02;0,02;0,06;0,03;0,03;;0,45
"Phyto""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,04;0,04;0,01;0,02;0,02;0,06;0,03;0,03;;0,46
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
TO3;"MorEel""""";"LizFish""""";"RaySha""""";"CatFish""""";"SnapGru""""";"PuffFish""""";"Doplh""""";"FlatFish""""";"Demers""""";"PortCrab""""";"EpBenth""""";"Shrimp""""";"Spale""""";"Benth""""";"SerSco""""";"Car""""";"Bird""""";"Zoopl""""";"Baci""""";"Phyto""""";;SUM
