Species                 Kbu       Ktd      Kdir    Kindir         K
Phyto               8.47247   0.00000   1.75000   6.72247   8.47247
Zoopl               5.99643   0.33333   3.35119   2.97857   6.32976
BenthSus            1.05149   0.66667   1.51786   0.20030   1.71815
OmnBentPre          0.80119   1.41667   1.96786   0.25000   2.21786
PhytoBenth          3.52753   0.00000   1.75000   1.77753   3.52753
BenthDep            1.05149   0.33333   1.18452   0.20030   1.38482
NeoInt              1.69866   0.22222   1.38452   0.53636   1.92088
PalLong             0.79911   0.22222   0.88452   0.13681   1.02133
CraCra              0.79911   0.46667   1.08452   0.18125   1.26577
PomMic              0.32500   1.13889   1.19167   0.27222   1.46389
PlaFle              0.00000   2.49306   1.61667   0.87639   2.49306
Ofish               0.00000   3.56250   2.11667   1.44583   3.56250
DicLab              0.00000   2.59028   1.45000   1.14028   2.59028
Bird                0.00000   1.35417   0.75000   0.60417   1.35417
