Species            Kbu       Ktd      Kdir    Kindir         K
BM             4.66000   0.00000   2.20000   2.46000   4.66000
MMdh           0.97000   0.33333   0.78333   0.52000   1.30333
Mbd            1.37000   0.33333   1.09286   0.61048   1.70333
Mop            0.60000   2.62500   2.34286   0.88214   3.22500
Phyt           2.48500   0.00000   0.97619   1.50881   2.48500
Zoopl          2.55667   0.66667   2.39286   0.83048   3.22333
Moff           0.52000   1.08333   1.28333   0.32000   1.60333
Momf           0.40000   3.54167   2.36667   1.57500   3.94167
Bakt           2.48500   0.00000   0.97619   1.50881   2.48500
Ndet           0.20000   0.41667   0.45000   0.16667   0.61667
NeFO           1.60000   1.66667   2.75952   0.50714   3.26667
Md             1.37000   0.00000   0.75952   0.61048   1.37000
Nebf           0.20000   5.77083   2.28333   3.68750   5.97083
Nenf           0.00000  12.33333   3.08333   9.25000  12.33333
Bird           0.00000   0.66667   0.25000   0.41667   0.66667
