Species                  Kbu       Ktd      Kdir    Kindir         K
Lutja                0.11111   2.75340   1.79091   1.07360   2.86451
Elop                 0.00000   5.62349   2.04527   3.57822   5.62349
Carang               0.14706   2.41949   1.49097   1.07558   2.56655
Sciae                0.00000   8.16581   3.22146   4.94435   8.16581
Centrop              0.12549   4.15180   2.25577   2.02151   4.27729
Ari                  0.00000   8.21070   3.90528   4.30542   8.21070
Haemu                0.32919   1.20759   1.31173   0.22506   1.53678
PecDeFon             0.12549   0.53897   0.55290   0.11155   0.66446
Calli                0.41318   1.52174   1.47443   0.46049   1.93492
PecAgu               0.35131   1.40610   1.45736   0.30005   1.75741
PelaMen              0.68963   0.45956   0.99463   0.15456   1.14919
Gerre                0.55450   0.84458   1.16649   0.23259   1.39908
Poeci                0.45580   0.19450   0.53908   0.11123   0.65031
Gobi                 1.07883   0.40329   1.26649   0.21563   1.48212
Mugil                0.66561   0.56921   1.06649   0.16833   1.23482
Palaemo              0.63002   0.32184   0.78123   0.17063   0.95186
Panae                1.14274   0.19450   1.10068   0.23657   1.33724
Bivalv               1.25214   0.32734   1.24493   0.33455   1.57948
MicroCrus            6.29995   0.32111   3.47845   3.14261   6.62106
Zoopl                3.41864   0.27339   2.22976   1.46227   3.69203
Chan                 0.05882   0.52989   0.55339   0.03532   0.58872
Gusan                6.19860   0.05882   2.90296   3.35446   6.25743
Gastro               2.15827   0.05882   1.65296   0.56413   2.21709
Fitopl               6.40288   0.00000   1.78333   4.61955   6.40288
ProdPrimBen         16.59712   0.00000   4.73303  11.86409  16.59712
