TI3;"Totoa""""";"Vaqu""""";"LobMar""""";"Merlu""""";"Sciae""""";"Rhino""""";"CDeRo""""";"PecPla""""";"OtroPec""""";"Cazul""""";"Cefalo""""";"Haemu""""";"Major""""";"Serran""""";"Mycto""""";"Pelagic""""";"Tibur""""";"BallDent""""";"BallBar""""";"InFau""""";"Polique""""";"Zoopl""""";"Stomat""""";"Manta""""";"Ccafe""""";"Jaib""""";"Macrofit""""";"Fitopl""""";;SUM
"Totoa""""";0,03;0,06;0,05;0,05;0,04;0,04;0,04;0,04;0,04;0,04;0,06;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,02;0,02;;0,83
"Vaqu""""";0,05;0,03;0,03;0,05;0,03;0,01;0,02;0,01;0,03;0,02;0,06;0,03;0,04;0,03;0,05;0,06;0,02;0,02;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;;0,73
"LobMar""""";0,05;0,03;0,03;0,03;0,04;0,02;0,02;0,04;0,04;0,02;0,06;0,04;0,04;0,04;0,06;0,06;0,06;0,05;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,02;;0,93
"Merlu""""";0,05;0,06;0,02;0,03;0,02;0,02;0,04;0,02;0,04;0,04;0,03;0,02;0,02;0,02;0,06;0,07;0,05;0,05;0,03;0,03;0,03;0,04;0,02;0,01;0,01;0,02;0,01;0,02;;0,88
"Sciae""""";0,06;0,07;0,06;0,03;0,04;0,06;0,05;0,06;0,05;0,05;0,07;0,05;0,06;0,05;0,06;0,03;0,06;0,06;0,03;0,05;0,05;0,03;0,05;0,06;0,06;0,03;0,03;0,03;;1,4
"Rhino""""";0,05;0,02;0,03;0,02;0,04;0,03;0,03;0,05;0,04;0,05;0,02;0,04;0,05;0,05;0,02;0,02;0,05;0,05;0,02;0,04;0,04;0,02;0,05;0,05;0,03;0,05;0,03;0,02;;1
"CDeRo""""";0,05;0,02;0,02;0,05;0,04;0,03;0,03;0,04;0,04;0,03;0,02;0,04;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,04;0,05;0,05;0,03;0,05;0,03;0,06;0,05;0,05;;1,02
"PecPla""""";0,06;0,02;0,05;0,02;0,05;0,05;0,05;0,04;0,04;0,05;0,02;0,05;0,05;0,05;0,02;0,02;0,03;0,05;0,02;0,05;0,05;0,02;0,05;0,06;0,06;0,03;0,06;0,02;;1,14
"OtroPec""""";0,07;0,08;0,07;0,07;0,06;0,06;0,06;0,06;0,04;0,06;0,08;0,06;0,06;0,06;0,07;0,08;0,07;0,07;0,05;0,05;0,05;0,06;0,06;0,06;0,04;0,04;0,06;0,07;;1,71
"Cazul""""";0,05;0,03;0,02;0,05;0,04;0,05;0,03;0,05;0,04;0,04;0,02;0,05;0,05;0,05;0,02;0,02;0,02;0,02;0,02;0,05;0,05;0,05;0,06;0,06;0,04;0,06;0,06;0,05;;1,15
