TI3;"Engra""""";"Gerre""""";"Ari""""";"Brachy""""";"Penae""""";"MicroCrus""""";"Polychae""""";"MeioFau""""";"Zoopl""""";"BenthAuto""""";"Phyto""""";"Haemul""""";"Scian""""";"Lutjan""""";"Spar""""";"Mollu""""";"OmacroInv""""";"Ofish""""";"Tetraod""""";;SUM
"Engra""""";0,04;0,05;0,06;0,05;0,05;0,05;0,05;0,06;0,06;0,05;0,1;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;;0,84
"Gerre""""";0,08;0,05;0,07;0,07;0,07;0,07;0,07;0,07;0,08;0,07;0,12;0,07;0,07;0,09;0,08;0,07;0,07;0,05;0,05;;1,36
"Ari""""";0,07;0,06;0,04;0,06;0,06;0,06;0,06;0,07;0,06;0,06;0,04;0,04;0,06;0,04;0,04;0,06;0,06;0,07;0,04;;1,06
"Brachy""""";0,07;0,06;0,07;0,05;0,06;0,07;0,07;0,04;0,04;0,06;0,04;0,06;0,07;0,09;0,04;0,06;0,06;0,08;0,07;;1,16
"Penae""""";0,08;0,07;0,07;0,07;0,05;0,07;0,07;0,07;0,07;0,07;0,04;0,07;0,07;0,09;0,08;0,05;0,07;0,08;0,08;;1,33
"MicroCrus""""";0,07;0,06;0,06;0,06;0,06;0,04;0,04;0,06;0,04;0,06;0,03;0,06;0,06;0,08;0,07;0,04;0,06;0,04;0,07;;1,07
"Polychae""""";0,07;0,06;0,06;0,06;0,06;0,04;0,04;0,06;0,04;0,06;0,03;0,06;0,07;0,03;0,07;0,04;0,06;0,08;0,07;;1,06
"MeioFau""""";0,07;0,05;0,06;0,04;0,06;0,06;0,06;0,04;0,07;0,06;0,04;0,05;0,03;0,03;0,04;0,06;0,05;0,03;0,07;;0,97
"Zoopl""""";0,07;0,05;0,05;0,03;0,05;0,03;0,03;0,06;0,04;0,03;0,11;0,05;0,03;0,03;0,06;0,06;0,05;0,03;0,06;;0,94
"BenthAuto""""";0,07;0,06;0,07;0,06;0,06;0,07;0,07;0,07;0,04;0,05;0,04;0,06;0,05;0,04;0,07;0,06;0,06;0,08;0,07;;1,14
"Phyto""""";0,05;0,04;0,02;0,01;0,01;0,01;0,01;0,02;0,05;0,01;0,03;0,01;0,01;0,02;0,02;0,04;0,03;0,01;0,01;;0,42
"Haemul""""";0,04;0,06;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,04;0,05;0,07;0,09;0,08;0,07;0,07;0,08;0,08;;1,24
"Scian""""";0,03;0,05;0,06;0,06;0,06;0,06;0,06;0,03;0,03;0,04;0,03;0,06;0,04;0,04;0,07;0,06;0,05;0,07;0,07;;0,97
"Lutjan""""";0,02;0,04;0,02;0,04;0,04;0,05;0,02;0,02;0,02;0,02;0,02;0,04;0,02;0,03;0,02;0,04;0,04;0,02;0,02;;0,55
"Spar""""";0,03;0,05;0,03;0,03;0,05;0,05;0,05;0,03;0,06;0,05;0,03;0,05;0,06;0,03;0,04;0,05;0,05;0,03;0,03;;0,8
"Mollu""""";0,04;0,06;0,06;0,06;0,04;0,04;0,04;0,06;0,07;0,06;0,11;0,06;0,07;0,08;0,07;0,05;0,06;0,07;0,07;;1,2
"OmacroInv""""";0,05;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,08;0,07;0,11;0,07;0,07;0,09;0,08;0,07;0,05;0,08;0,05;;1,36
"Ofish""""";0,02;0,03;0,05;0,05;0,05;0,03;0,05;0,03;0,02;0,05;0,02;0,05;0,06;0,03;0,03;0,05;0,05;0,04;0,03;;0,71
"Tetraod""""";0,03;0,03;0,03;0,05;0,05;0,05;0,05;0,06;0,05;0,05;0,02;0,05;0,06;0,03;0,03;0,05;0,03;0,03;0,04;;0,8
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
TO3;"Engra""""";"Gerre""""";"Ari""""";"Brachy""""";"Penae""""";"MicroCrus""""";"Polychae""""";"MeioFau""""";"Zoopl""""";"BenthAuto""""";"Phyto""""";"Haemul""""";"Scian""""";"Lutjan""""";"Spar""""";"Mollu""""";"OmacroInv""""";"Ofish""""";"Tetraod""""";;SUM
"Ari""""";0;0,03;0;0,03;0,05;0;0,03;0;0;0,05;0;0,03;0,03;0;0;0,03;0,03;0;0;;0,29
"BenthAuto""""";0;0,05;0,05;0,05;0,11;0;0,03;0;0;0;0;0,08;0,03;0;0;0,08;0,05;0;0;;0,53
"Brachy""""";0;0,03;0,03;0;0,08;0,03;0,03;0;0;0,05;0;0,08;0,03;0;0;0,08;0,05;0;0;;0,47
"Engra""""";0;0,03;0;0;0;0;0;0;0,03;0;0;0;0;0;0;0,03;0,03;0;0;;0,11
"Gerre""""";0,03;0;0,03;0,03;0,18;0,03;0;0;0,03;0,05;0;0,05;0;0;0;0,11;0,21;0;0;;0,74
"Haemul""""";0;0,05;0,03;0,08;0,13;0,03;0,03;0;0;0,08;0;0;0,03;0;0;0,11;0,11;0;0;;0,66
"Lutjan""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MicroCrus""""";0;0,03;0;0,03;0,03;0;0;0;0;0;0;0,03;0;0;0;0,03;0,03;0;0;;0,16
"Mollu""""";0,03;0,11;0,03;0,08;0,13;0,03;0,03;0;0,03;0,08;0;0,11;0,03;0;0;0;0,13;0;0;;0,79
"Ofish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"OmacroInv""""";0,03;0,21;0,03;0,05;0,21;0,03;0,03;0;0,03;0,05;0;0,11;0,03;0;0;0,13;0;0;0;;0,92
"Penae""""";0;0,18;0,05;0,08;0;0,03;0,03;0;0;0,11;0;0,13;0,03;0;0;0,13;0,21;0;0;;0,97
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Polychae""""";0;0;0,03;0,03;0,03;0;0;0;0;0,03;0;0,03;0,03;0;0;0,03;0,03;0;0;;0,21
"Scian""""";0;0;0,03;0,03;0,03;0;0,03;0;0;0,03;0;0,03;0;0;0;0,03;0,03;0;0;;0,21
"Spar""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Tetraod""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0,03;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0,03;0;0;;0,11
