TI3;"Tuna""""";"BlueWhit""""";"HorMack""""";"Mack""""";"Anch""""";"Sard""""";"Squid""""";"Shri""""";"MacroZoopl""""";"Lhake""""";"Shake""""";"LdemFish""""";"BenthFish""""";"SdemFish""""";"BenthCeph""""";"BenthInv""""";"SupBenthZoopl""""";"AngFish""""";"Magr""""";"DogFish""""";"Polyhae""""";"Oinv""""";"Ray""""";"MesoZoopl""""";"MicroZoopl""""";"Phyto""""";;SUM
"Tuna""""";0,03;0,04;0,04;0,06;0,05;0,05;0,04;0,03;0,06;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,03;0,03;0,03;;0,65
"BlueWhit""""";0,09;0,04;0,06;0,07;0,07;0,07;0,06;0,05;0,08;0,06;0,06;0,05;0,03;0,05;0,03;0,03;0,05;0,07;0,03;0,05;0,02;0,03;0,02;0,07;0,04;0,04;;1,3
"HorMack""""";0,08;0,06;0,04;0,04;0,07;0,07;0,05;0,05;0,04;0,06;0,06;0,05;0,03;0,05;0,03;0,03;0,05;0,07;0,07;0,06;0,03;0,06;0,03;0,07;0,08;0,05;;1,39
"Mack""""";0,07;0,05;0,02;0,04;0,06;0,03;0,04;0,02;0,07;0,04;0,02;0,03;0,01;0,02;0,01;0,01;0,04;0,02;0,01;0,02;0,01;0,01;0,01;0,06;0,07;0,04;;0,84
"Anch""""";0,07;0,05;0,05;0,07;0,05;0,04;0,04;0,02;0,04;0,05;0,05;0,02;0,01;0,02;0,01;0,01;0,04;0,02;0,01;0,02;0,01;0,01;0,01;0,07;0,08;0,13;;0,98
"Sard""""";0,07;0,05;0,05;0,03;0,04;0,04;0,04;0,02;0,03;0,04;0,05;0,04;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,04;0,01;0,01;0,01;0,06;0,08;0,12;;0,96
"Squid""""";0,09;0,07;0,06;0,08;0,07;0,07;0,05;0,06;0,08;0,06;0,07;0,06;0,04;0,06;0,06;0,06;0,05;0,08;0,03;0,06;0,04;0,04;0,07;0,07;0,04;0,04;;1,54
"Shri""""";0,07;0,05;0,06;0,03;0,03;0,03;0,05;0,05;0,03;0,06;0,06;0,06;0,07;0,06;0,07;0,07;0,05;0,08;0,08;0,06;0,08;0,08;0,09;0,02;0,02;0,01;;1,42
"MacroZoopl""""";0,07;0,04;0,02;0,06;0,03;0,03;0,04;0,01;0,04;0,02;0,02;0,01;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,04;0,01;0,01;0,01;0,06;0,07;0,03;;0,75
"Lhake""""";0,03;0,05;0,05;0,06;0,06;0,06;0,05;0,05;0,03;0,04;0,06;0,05;0,05;0,04;0,05;0,05;0,04;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,03;;1,08
"Shake""""";0,03;0,05;0,04;0,03;0,05;0,05;0,04;0,04;0,02;0,05;0,03;0,04;0,05;0,04;0,03;0,05;0,04;0,03;0,03;0,02;0,02;0,03;0,03;0,02;0,02;0,03;;0,91
"LdemFish""""";0,03;0,05;0,05;0,06;0,03;0,06;0,05;0,06;0,03;0,06;0,06;0,04;0,06;0,06;0,07;0,06;0,05;0,08;0,07;0,04;0,07;0,07;0,04;0,03;0,02;0,02;;1,33
"BenthFish""""";0,01;0,02;0,03;0,01;0,01;0,02;0,03;0,06;0,02;0,05;0,05;0,05;0,04;0,05;0,07;0,06;0,05;0,07;0,07;0,06;0,08;0,07;0,08;0,01;0,01;0;;1,1
"SdemFish""""";0,03;0,06;0,06;0,03;0,03;0,03;0,06;0,06;0,07;0,06;0,06;0,06;0,07;0,05;0,07;0,07;0,06;0,08;0,08;0,07;0,08;0,08;0,09;0,06;0,03;0,02;;1,5
"BenthCeph""""";0,01;0,02;0,02;0,02;0,01;0,02;0,04;0,05;0,02;0,05;0,03;0,05;0,06;0,05;0,04;0,06;0,04;0,07;0,03;0,05;0,06;0,06;0,04;0,01;0,01;0;;0,91
"BenthInv""""";0,02;0,02;0,03;0,02;0,02;0,02;0,04;0,05;0,02;0,05;0,05;0,05;0,06;0,05;0,06;0,04;0,05;0,03;0,07;0,06;0,07;0,07;0,08;0,01;0,01;0,01;;1,08
"SupBenthZoopl""""";0,04;0,06;0,06;0,08;0,07;0,04;0,06;0,06;0,08;0,07;0,07;0,06;0,07;0,06;0,07;0,07;0,05;0,04;0,08;0,07;0,08;0,08;0,09;0,07;0,08;0,05;;1,7
"AngFish""""";0,02;0,04;0,03;0,01;0,01;0,01;0,03;0,04;0,01;0,02;0,02;0,04;0,04;0,03;0,05;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,01;;0,59
"Magr""""";0,01;0,01;0,03;0,01;0,01;0,01;0,02;0,04;0,01;0,02;0,02;0,04;0,05;0,04;0,03;0,05;0,03;0,02;0,03;0,05;0,06;0,03;0,03;0,01;0,01;0;;0,67
"DogFish""""";0,03;0,04;0,05;0,02;0,02;0,05;0,04;0,05;0,06;0,03;0,03;0,03;0,06;0,05;0,06;0,06;0,05;0,03;0,07;0,04;0,07;0,07;0,04;0,02;0,02;0,02;;1,09
"Polyhae""""";0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,04;0,01;0,02;0,02;0,04;0,05;0,04;0,05;0,05;0,04;0,02;0,07;0,05;0,04;0,03;0,07;0,01;0,01;0;;0,76
"Oinv""""";0,01;0,02;0,04;0,01;0,01;0,01;0,02;0,04;0,01;0,02;0,02;0,04;0,05;0,04;0,05;0,05;0,04;0,03;0,03;0,05;0,03;0,03;0,07;0,01;0,01;0;;0,75
"Ray""""";0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,04;0,01;0,02;0,02;0,02;0,05;0,04;0,02;0,05;0,03;0,02;0,02;0,02;0,06;0,05;0,03;0,01;0,01;0;;0,6
"MesoZoopl""""";0,04;0,05;0,04;0,07;0,07;0,06;0,04;0,01;0,07;0,02;0,02;0,02;0,01;0,03;0,01;0,01;0,04;0,02;0,01;0,02;0,01;0,01;0,01;0,05;0,09;0,13;;0,98
"MicroZoopl""""";0,03;0,02;0,04;0,06;0,06;0,06;0,02;0,01;0,06;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,07;0,05;0,13;;0,75
"Phyto""""";0,01;0,01;0,01;0,02;0,05;0,05;0,01;0;0,01;0,01;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0,05;0,06;0,04;;0,38
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"Tuna""""";"BlueWhit""""";"HorMack""""";"Mack""""";"Anch""""";"Sard""""";"Squid""""";"Shri""""";"MacroZoopl""""";"Lhake""""";"Shake""""";"LdemFish""""";"BenthFish""""";"SdemFish""""";"BenthCeph""""";"BenthInv""""";"SupBenthZoopl""""";"AngFish""""";"Magr""""";"DogFish""""";"Polyhae""""";"Oinv""""";"Ray""""";"MesoZoopl""""";"MicroZoopl""""";"Phyto""""";;SUM
"Anch""""";0;0,06;0,06;0,06;0;0,08;0,06;0,02;0,06;0;0;0;0;0;0;0;0,06;0;0;0;0;0;0;0,06;0,04;0,02;;0,56
"AngFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthCeph""""";0;0,02;0,04;0;0;0;0,02;0,06;0;0;0;0,06;0,06;0,06;0;0,04;0,04;0;0;0,04;0;0;0;0;0;0;;0,42
"BenthFish""""";0;0,02;0,06;0;0;0;0,06;0,13;0;0;0;0,12;0;0,13;0,06;0,1;0,12;0;0;0,06;0,04;0,02;0;0;0;0;;0,9
"BenthInv""""";0;0;0,04;0;0;0;0,04;0,12;0;0;0;0,1;0,1;0,12;0,04;0;0,12;0;0;0,06;0,04;0,02;0;0;0;0;;0,77
"BlueWhit""""";0;0;0,12;0,08;0,06;0,04;0,15;0,06;0,04;0,02;0;0,04;0,02;0,06;0,02;0;0,1;0;0;0;0;0;0;0,08;0,06;0;;0,92
"DogFish""""";0;0;0,04;0;0;0;0;0,06;0;0;0;0,06;0,06;0,06;0,04;0,06;0,06;0;0;0;0,02;0;0;0;0;0;;0,44
"HorMack""""";0;0,12;0;0,08;0,06;0,06;0,13;0,1;0,04;0,02;0;0,08;0,06;0,08;0,04;0,04;0,13;0;0;0,04;0,02;0;0;0,06;0,04;0,02;;1,19
"LdemFish""""";0;0,04;0,08;0;0;0;0,08;0,15;0;0,02;0;0;0,12;0,15;0,06;0,1;0,15;0;0;0,06;0,02;0;0;0;0;0;;1,02
"Lhake""""";0;0,02;0,02;0;0;0;0,02;0,02;0;0;0;0,02;0;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;;0,13
"Mack""""";0;0,08;0,08;0;0,06;0,06;0,08;0,02;0,04;0;0;0;0;0,02;0;0;0,08;0;0;0;0;0;0;0,06;0,06;0,02;;0,63
"MacroZoopl""""";0;0,04;0,04;0,04;0,06;0,04;0,04;0,02;0;0;0;0;0;0;0;0;0,04;0;0;0;0;0;0;0,04;0;0,02;;0,37
"Magr""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MesoZoopl""""";0;0,08;0,06;0,06;0,06;0,04;0,08;0;0,04;0;0;0;0;0,02;0;0;0,08;0;0;0;0;0;0;0;0,06;0,02;;0,58
"MicroZoopl""""";0;0,06;0,04;0,06;0,04;0,04;0,06;0;0;0;0;0;0;0,02;0;0;0,06;0;0;0;0;0;0;0,06;0;0;;0,42
"Oinv""""";0;0;0;0;0;0;0,02;0,02;0;0;0;0;0,02;0,02;0;0,02;0,02;0;0;0;0,02;0;0;0;0;0;;0,13
"Phyto""""";0;0;0,02;0,02;0,02;0,02;0;0;0,02;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0,02;0;0;;0,13
"Polyhae""""";0;0;0,02;0;0;0;0,02;0,04;0;0;0;0,02;0,04;0,04;0;0,04;0,04;0;0;0,02;0;0,02;0;0;0;0;;0,29
"Ray""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sard""""";0;0,04;0,06;0,06;0,08;0;0,04;0,02;0,04;0;0;0;0;0;0;0;0,04;0;0;0;0;0;0;0,04;0,04;0,02;;0,46
"SdemFish""""";0;0,06;0,08;0,02;0;0;0,1;0,21;0;0,02;0;0,15;0,13;0;0,06;0,12;0,23;0;0;0,06;0,04;0,02;0;0,02;0,02;0;;1,33
"Shake""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Shri""""";0;0,06;0,1;0,02;0,02;0,02;0,1;0;0,02;0,02;0;0,15;0,13;0,21;0,06;0,12;0,19;0;0;0,06;0,04;0,02;0;0;0;0;;1,33
"Squid""""";0;0,15;0,13;0,08;0,06;0,04;0;0,1;0,04;0,02;0;0,08;0,06;0,1;0,02;0,04;0,17;0;0;0;0,02;0,02;0;0,08;0,06;0;;1,25
"SupBenthZoopl""""";0;0,1;0,13;0,08;0,06;0,04;0,17;0,19;0,04;0,02;0;0,15;0,12;0,23;0,04;0,12;0;0;0;0,06;0,04;0,02;0;0,08;0,06;0,02;;1,75
