TI3;"Lpred""""";"IntMedPred""""";"Carang""""";"FlatFishSole""""";"Sciae""""";"Spela""""";"EngraClup""""";"Squid""""";"DemZooBenthFeed""""";"Leio""""";"Mullid""""";"Nemi""""";"Bali""""";"Lact""""";"ReefFish""""";"OctoSep""""";"Tuna""""";"CrabLobs""""";"Shri""""";"Scrus""""";"LzooBenthFeed""""";"MacroBenth""""";"MeioBenth""""";"Lutja""""";"Serra""""";"Zoopl""""";"Phyto""""";"MacroBenthFlo""""";;SUM;;;
"Bali""""";0,04;0,04;0,04;0,02;0,03;0,02;0,02;0,02;0,04;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,04;0,04;0,04;0,02;0,03;0,04;0,04;0,05;0,04;0,02;0,02;;0,85;;thresold:;0,05
"Carang""""";0,05;0,05;0,04;0,03;0,03;0,05;0,06;0,06;0,05;0,05;0,05;0,05;0,05;0,05;0,07;0,02;0,07;0,05;0,05;0,03;0,02;0,04;0,03;0,03;0,03;0,03;0,03;0,03;;1,18;;;
"CrabLobs""""";0,02;0,04;0,05;0,02;0,06;0,04;0,03;0,02;0,03;0,03;0,03;0,03;0,06;0,03;0,04;0,07;0,06;0,04;0,05;0,05;0,09;0,05;0,05;0,05;0,05;0,05;0,03;0,14;;1,30;;;
"DemZooBenthFeed""""";0,06;0,05;0,05;0,07;0,06;0,05;0,03;0,03;0,04;0,06;0,06;0,06;0,06;0,06;0,03;0,03;0,06;0,03;0,03;0,05;0,02;0,04;0,05;0,06;0,06;0,05;0,03;0,02;;1,30;;;
"EngraClup""""";0,04;0,04;0,04;0,02;0,06;0,02;0,03;0,05;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,06;0,02;0,04;0,04;0,02;0,03;0,02;0,02;0,04;0,04;0,05;0,02;;0,87;;;
"FlatFishSole""""";0,04;0,02;0,02;0,03;0,02;0,02;0,02;0,04;0,04;0,04;0,04;0,04;0,02;0,04;0,01;0,02;0,02;0,01;0,01;0,03;0,02;0,03;0,04;0,02;0,02;0,02;0,02;0,01;;0,71;;;
"IntMedPred""""";0,06;0,04;0,06;0,04;0,07;0,05;0,06;0,06;0,05;0,06;0,06;0,06;0,06;0,06;0,07;0,03;0,07;0,05;0,05;0,05;0,03;0,05;0,05;0,03;0,04;0,04;0,03;0,04;;1,40;;;
"Lact""""";0,04;0,04;0,04;0,06;0,02;0,04;0,02;0,02;0,04;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,04;0,02;0,04;0,04;0,05;0,05;0,04;0,05;0,02;;0,92;;;
"Leio""""";0,04;0,04;0,04;0,06;0,02;0,04;0,02;0,02;0,04;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,04;0,02;0,04;0,04;0,05;0,05;0,04;0,05;0,02;;0,92;;;
"Lpred""""";0,04;0,05;0,05;0,06;0,06;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,07;0,05;0,03;0,02;0,02;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,02;;1,13;;;
