TI3;"Phyto""""";"Shri""""";"Zoopl""""";"Mull""""";"DetBenth""""";"Jsard""""";"Sard""""";"Mack""""";"Osciae""""";"KWeakFish""""";"Squid""""";"Croak""""";"TrigFish""""";"LPelaFish""""";"ShaRay""""";"FlatFish""""";"CatFish""""";"CarnBent""""";"CutFish""""";"OPiscFish""""";"WeakFishCyno""""";"Octo""""";;SUM
"Phyto""""";0,05;0,06;0,05;0,09;0,05;0,08;0,07;0,08;0,06;0,06;0,03;0,02;0,02;0,03;0,03;0,02;0,03;0,02;0,03;0,02;0,02;0,02;;0,93
"Shri""""";0,07;0,04;0,05;0,03;0,05;0,03;0,03;0,04;0,07;0,06;0,05;0,08;0,08;0,05;0,05;0,06;0,03;0,03;0,03;0,03;0,04;0,03;;1,06
"Zoopl""""";0,08;0,06;0,05;0,04;0,06;0,09;0,08;0,09;0,03;0,04;0,07;0,03;0,04;0,07;0,04;0,03;0,12;0,06;0,08;0,07;0,07;0,03;;1,34
"Mull""""";0,05;0,02;0,02;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,02;0,04;0,03;0,01;0,02;0,04;0,01;0,01;0,01;0,02;;0,47
"DetBenth""""";0,09;0,08;0,07;0,12;0,06;0,05;0,05;0,1;0,09;0,08;0,05;0,09;0,09;0,07;0,08;0,08;0,13;0,08;0,08;0,07;0,05;0,12;;1,78
"Jsard""""";0,06;0,02;0,05;0,02;0,02;0,04;0,03;0,02;0,02;0,05;0,05;0,01;0,02;0,05;0,02;0,02;0,02;0,02;0,06;0,05;0,02;0,01;;0,67
"Sard""""";0,06;0,02;0,05;0,03;0,02;0,04;0,04;0,03;0,02;0,05;0,05;0,02;0,02;0,05;0,04;0,02;0,02;0,02;0,06;0,05;0,02;0,02;;0,76
"Mack""""";0,06;0,02;0,05;0,03;0,04;0,02;0,02;0,03;0,05;0,02;0,04;0,02;0,02;0,05;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;0,66
"Osciae""""";0,07;0,07;0,03;0,04;0,06;0,03;0,03;0,08;0,05;0,06;0,03;0,08;0,08;0,03;0,05;0,06;0,03;0,05;0,03;0,05;0,04;0,04;;1,08
"KWeakFish""""";0,07;0,06;0,04;0,03;0,05;0,08;0,08;0,03;0,06;0,05;0,06;0,07;0,03;0,03;0,05;0,03;0,03;0,05;0,07;0,03;0,03;0,03;;1,08
"Squid""""";0,04;0,07;0,07;0,04;0,04;0,09;0,09;0,08;0,04;0,07;0,05;0,04;0,09;0,07;0,06;0,07;0,04;0,06;0,08;0,07;0,09;0,04;;1,39
"Croak""""";0,02;0,06;0,02;0,02;0,04;0,02;0,02;0,02;0,06;0,05;0,02;0,04;0,03;0,02;0,04;0,06;0,03;0,05;0,02;0,02;0,06;0,03;;0,76
"TrigFish""""";0,02;0,05;0,02;0,02;0,04;0,02;0,02;0,02;0,05;0,02;0,04;0,03;0,04;0,05;0,02;0,02;0,02;0,04;0,02;0,02;0,06;0,02;;0,66
"LPelaFish""""";0,05;0,06;0,07;0,1;0,06;0,08;0,08;0,08;0,04;0,04;0,07;0,03;0,09;0,05;0,06;0,04;0,04;0,06;0,04;0,07;0,08;0,04;;1,32
"ShaRay""""";0,05;0,08;0,05;0,11;0,08;0,05;0,09;0,09;0,08;0,08;0,07;0,09;0,05;0,07;0,06;0,09;0,13;0,08;0,08;0,08;0,09;0,12;;1,77
