Species                   Kbu       Ktd      Kdir    Kindir         K
Phyto                21.00000   0.00000   3.69444  17.30556  21.00000
Shri                  2.19009   0.28395   1.50605   0.96800   2.47404
Zoopl                11.73013   0.11111   3.91111   7.93013  11.84124
Mull                  0.14706   0.28158   0.39686   0.03178   0.42864
DetBenth              6.83204   0.20370   3.58938   3.44637   7.03575
Jsard                 1.12678   0.20370   0.85556   0.47493   1.33048
Sard                  1.18560   0.20370   0.91438   0.47493   1.38930
Mack                  0.42508   0.48225   0.68105   0.22628   0.90733
Osciae                0.66814   1.26889   1.52464   0.41239   1.93703
KWeakFish             0.05882   2.16974   1.44964   0.77893   2.22856
Squid                 1.88756   0.78466   2.04686   0.62537   2.67222
Croak                 1.07868   0.33096   0.95241   0.45722   1.40964
TrigFish              0.08824   1.30776   0.86303   0.53296   1.39599
LPelaFish             0.05882   7.28247   3.42186   3.91943   7.34129
ShaRay                0.00000  21.00000   6.69637  14.30363  21.00000
FlatFish              0.56471   2.27474   1.85519   0.98425   2.83944
CatFish               0.05882   0.26306   0.28575   0.03613   0.32188
CarnBent              3.65995   0.17284   2.66160   1.17119   3.83279
CutFish               0.37206   0.90271   0.99964   0.27514   1.27477
OPiscFish             0.14706   3.90382   2.08019   1.97068   4.05088
WeakFishCyno          0.63873   0.62363   0.97827   0.28409   1.26235
Octo                  0.17353   1.26204   0.63575   0.79983   1.43557
