"TI3";""RedGroup"";""Snap"";""Sha"";""Gru"";""KingMack"";""Mojar"";""Jack"";""Shri"";""Lobs"";""Crab"";""Octo"";""Herr"";""Trout"";""Zoopl"";""Porg"";""Omollu"";""MicroCrus"";""Anne"";""BenthProd"";""Phyto"";;SUM
""RedGroup"";"0,05";"0,07";"0,07";"0,06";"0,09";"0,07";"0,07";"0,05";"0,06";"0,06";"0,06";"0,03";"0,03";"0,03";"0,02";"0,03";"0,03";"0,03";"0,02";"0,02";;"0,94"
""Snap"";"0,07";"0,04";"0,07";"0,05";"0,04";"0,07";"0,03";"0,05";"0,06";"0,03";"0,06";"0,06";"0,06";"0,06";"0,03";"0,03";"0,03";"0,03";"0,03";"0,02";;"0,93"
""Sha"";"0,08";"0,08";"0,05";"0,06";"0,09";"0,07";"0,04";"0,05";"0,06";"0,06";"0,07";"0,06";"0,07";"0,03";"0,03";"0,03";"0,03";"0,03";"0,03";"0,02";;"1,03"
""Gru"";"0,08";"0,07";"0,07";"0,05";"0,09";"0,05";"0,08";"0,06";"0,04";"0,07";"0,07";"0,04";"0,04";"0,06";"0,08";"0,06";"0,07";"0,07";"0,04";"0,04";;"1,24"
""KingMack"";"0,06";"0,03";"0,06";"0,05";"0,04";"0,06";"0,03";"0,04";"0,02";"0,02";"0,05";"0,05";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,01";;"0,64"
""Mojar"";"0,07";"0,07";"0,06";"0,04";"0,08";"0,04";"0,03";"0,05";"0,04";"0,03";"0,06";"0,03";"0,03";"0,06";"0,03";"0,05";"0,05";"0,05";"0,03";"0,03";;"0,94"
""Jack"";"0,06";"0,02";"0,03";"0,05";"0,03";"0,03";"0,04";"0,04";"0,02";"0,05";"0,05";"0,05";"0,03";"0,02";"0,03";"0,05";"0,05";"0,03";"0,02";"0,03";;"0,73"
""Shri"";"0,09";"0,09";"0,09";"0,08";"0,10";"0,09";"0,10";"0,06";"0,09";"0,08";"0,08";"0,09";"0,09";"0,08";"0,10";"0,08";"0,08";"0,09";"0,10";"0,05";;"1,73"
""Lobs"";"0,06";"0,06";"0,06";"0,03";"0,03";"0,04";"0,03";"0,05";"0,04";"0,03";"0,05";"0,03";"0,04";"0,06";"0,03";"0,05";"0,05";"0,06";"0,07";"0,04";;"0,94"
""Crab"";"0,07";"0,04";"0,06";"0,06";"0,04";"0,04";"0,08";"0,06";"0,04";"0,05";"0,06";"0,04";"0,07";"0,07";"0,04";"0,06";"0,06";"0,07";"0,08";"0,04";;"1,13"
""Octo"";"0,08";"0,08";"0,08";"0,07";"0,09";"0,08";"0,08";"0,06";"0,07";"0,07";"0,05";"0,04";"0,07";"0,04";"0,07";"0,06";"0,04";"0,04";"0,04";"0,03";;"1,24"
""Herr"";"0,03";"0,06";"0,06";"0,04";"0,08";"0,04";"0,07";"0,06";"0,04";"0,04";"0,04";"0,05";"0,07";"0,06";"0,08";"0,04";"0,06";"0,07";"0,08";"0,03";;"1,07"
""Trout"";"0,03";"0,06";"0,06";"0,03";"0,03";"0,03";"0,03";"0,05";"0,04";"0,06";"0,05";"0,06";"0,04";"0,06";"0,03";"0,05";"0,06";"0,06";"0,04";"0,04";;"0,92"
""Zoopl"";"0,03";"0,07";"0,03";"0,05";"0,03";"0,06";"0,03";"0,05";"0,07";"0,06";"0,03";"0,06";"0,07";"0,05";"0,04";"0,06";"0,04";"0,04";"0,08";"0,15";;"1,11"
""Porg"";"0,02";"0,02";"0,02";"0,05";"0,02";"0,02";"0,03";"0,04";"0,03";"0,03";"0,04";"0,06";"0,03";"0,03";"0,04";"0,05";"0,05";"0,06";"0,07";"0,03";;"0,74"
""Omollu"";"0,04";"0,04";"0,04";"0,07";"0,03";"0,07";"0,08";"0,06";"0,08";"0,07";"0,07";"0,05";"0,07";"0,08";"0,09";"0,06";"0,08";"0,08";"0,09";"0,16";;"1,41"
""MicroCrus"";"0,03";"0,03";"0,03";"0,06";"0,03";"0,06";"0,08";"0,06";"0,06";"0,06";"0,04";"0,07";"0,07";"0,05";"0,08";"0,07";"0,05";"0,07";"0,04";"0,15";;"1,21"
""Anne"";"0,03";"0,03";"0,03";"0,06";"0,03";"0,06";"0,04";"0,05";"0,07";"0,06";"0,03";"0,07";"0,07";"0,04";"0,08";"0,06";"0,07";"0,05";"0,08";"0,04";;"1,04"
""BenthProd"";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,04";"0,06";"0,05";"0,02";"0,06";"0,03";"0,06";"0,07";"0,05";"0,03";"0,06";"0,04";"0,03";;"0,75"
""Phyto"";"0,00";"0,01";"0,00";"0,01";"0,00";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,04";"0,01";"0,04";"0,04";"0,01";"0,01";"0,03";;"0,29"


"WI3";""RedGroup"";""Snap"";""Sha"";""Gru"";""KingMack"";""Mojar"";""Jack"";""Shri"";""Lobs"";""Crab"";""Octo"";""Herr"";""Trout"";""Zoopl"";""Porg"";""Omollu"";""MicroCrus"";""Anne"";""BenthProd"";""Phyto"";;SUM
""RedGroup"";"107434,31";"147900,60";"23639,42";"4010180,06";"135209,45";"6975954,72";"413147,48";"18333522,52";"7624111,45";"9336436,50";"1454841,39";"5663022,23";"35130,49";"7131341,90";"87923,20";"8167625,75";"32482435,20";"45729319,74";"64217489,52";"498887548,50";;"710964214,43"
""Snap"";"147900,60";"123162,28";"31607,96";"4704297,43";"158584,93";"10589712,67";"630747,28";"16856116,91";"9811419,59";"12142795,25";"1915095,27";"8350848,70";"53700,07";"366557278,14";"119341,08";"16590337,93";"126953054,28";"63561643,96";"46148917,72";"785819584,38";;"1471266146,45"
""Sha"";"26003,36";"34768,76";"5294,49";"818767,69";"30011,51";"1380731,48";"88079,79";"3600278,84";"1484563,63";"1822760,57";"405946,32";"1191038,44";"7459,27";"1493810,32";"17290,18";"1753209,19";"6218030,39";"8901448,03";"12373719,64";"116382226,22";;"158035438,09"
""Gru"";"5213234,07";"6115586,66";"967634,55";"133108609,69";"10449340,34";"276300270,52";"25532866,50";"762668215,56";"338000662,29";"455471080,04";"62447444,71";"237891646,89";"1175973,21";"190835894387,63";"5666551,28";"4965196861,25";"56565799371,59";"4800492716,57";"2042804980,34";"11395282000,23";;"272926479433,92"
""KingMack"";"94646,62";"111009,45";"19098,23";"5626567,87";"121617,65";"8741907,32";"389761,11";"24520125,51";"9269242,71";"11438661,11";"1249666,19";"8728520,82";"51152,48";"7662083,93";"101645,30";"13368126,40";"40198687,93";"57425308,94";"86304334,93";"966624795,71";;"1242046960,21"
""Mojar"";"6975954,72";"10589712,67";"1255210,44";"212538669,63";"12488439,03";"246796478,66";"24621263,92";"1270233322,22";"353643020,15";"440734904,06";"88820909,33";"203292284,78";"1031339,95";"171021291016,78";"4156066,38";"4271861689,21";"52625877448,30";"2709538303,04";"5135587952,96";"8489740095,65";;"247131074081,88"
""Jack"";"330517,98";"504597,83";"64058,03";"15712533,23";"445441,26";"19697011,14";"1083645,15";"78576006,15";"24407034,66";"30454918,09";"4838683,10";"20205522,46";"114021,19";"2086511924,97";"264540,40";"85194407,28";"751881931,77";"155139241,61";"301886711,69";"2062770455,41";;"5640083203,40"
""Shri"";"33000340,53";"30341010,43";"5891365,37";"1056002144,62";"63051751,32";"2286419980,00";"176796013,84";"5826615394,67";"2686672128,22";"3592860212,99";"343636777,06";"1958554175,65";"9781615,00";"607198245371,06";"43652198,62";"19431654902,23";"183476349319,08";"37041700924,03";"15294381326,09";"102908994941,97";;"983464601892,77"
""Lobs"";"7624111,45";"9811419,59";"1349603,30";"260000509,45";"13241775,29";"353643020,15";"30508793,32";"1492595626,79";"477082949,77";"617732591,16";"95744570,13";"319702997,54";"1602877,41";"136359069742,81";"6371274,26";"3921905327,18";"42511530532,77";"4805207530,49";"5527358105,11";"18454175019,59";;"215266258377,57"
