TI3;"MarMamm""""";"Cepha""""";"LBenthCarn""""";"SBenthCarn""""";"Clup""""";"Anch""""";"Shri""""";"BenthOmn""""";"Lzoopl""""";"Sha""""";"Lpela""""";"LBenthPela""""";"MBenthCarn""""";"MeioBenth""""";"RaySkate""""";"SBenthPela""""";"CrabLobs""""";"HetBenth""""";"MicroNekt""""";"Mack""""";"Tuna""""";"MicroZoopl""""";"Phyto""""";;SUM
"MarMamm""""";0,03;0,04;0,04;0,04;0,04;0,04;0,03;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;0,6
"Cepha""""";0,07;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,03;0,06;0,06;0,05;0,03;0,03;0,03;0,05;0,06;0,03;0,03;0,09;0,03;0,03;0,03;;1,03
"LBenthCarn""""";0,08;0,07;0,04;0,05;0,06;0,06;0,05;0,05;0,04;0,04;0,06;0,06;0,06;0,03;0,07;0,05;0,07;0,06;0,06;0,09;0,03;0,04;0,04;;1,27
"SBenthCarn""""";0,08;0,06;0,05;0,04;0,04;0,04;0,04;0,06;0,06;0,07;0,06;0,05;0,04;0,06;0,07;0,06;0,04;0,06;0,06;0,04;0,08;0,06;0,06;;1,27
"Clup""""";0,07;0,05;0,05;0,03;0,04;0,03;0,03;0,03;0,06;0,06;0,05;0,05;0,03;0,03;0,03;0,05;0,03;0,05;0,05;0,03;0,07;0,05;0,05;;1,03
"Anch""""";0,07;0,06;0,06;0,04;0,04;0,04;0,04;0,04;0,06;0,06;0,06;0,05;0,04;0,06;0,07;0,06;0,07;0,06;0,06;0,04;0,08;0,06;0,06;;1,27
"Shri""""";0,07;0,06;0,06;0,04;0,04;0,04;0,04;0,04;0,06;0,07;0,06;0,06;0,07;0,07;0,07;0,06;0,07;0,06;0,06;0,04;0,08;0,06;0,06;;1,35
"BenthOmn""""";0,07;0,06;0,05;0,06;0,04;0,04;0,04;0,04;0,06;0,07;0,06;0,05;0,06;0,07;0,07;0,05;0,04;0,06;0,04;0,04;0,08;0,06;0,06;;1,27
"Lzoopl""""";0,07;0,03;0,03;0,05;0,06;0,05;0,05;0,05;0,04;0,03;0,03;0,05;0,06;0,03;0,03;0,05;0,02;0,05;0,06;0,03;0,03;0,06;0,06;;0,99
"Sha""""";0,03;0,05;0,02;0,04;0,05;0,04;0,04;0,04;0,02;0,03;0,05;0,04;0,05;0,05;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;;0,76
"Lpela""""";0,03;0,06;0,06;0,05;0,06;0,05;0,05;0,05;0,03;0,07;0,04;0,06;0,06;0,03;0,03;0,05;0,06;0,03;0,06;0,09;0,03;0,03;0,03;;1,1
"LBenthPela""""";0,04;0,07;0,06;0,05;0,06;0,05;0,05;0,05;0,06;0,07;0,07;0,04;0,06;0,03;0,04;0,05;0,07;0,06;0,06;0,09;0,03;0,04;0,04;;1,25
"MBenthCarn""""";0,02;0,02;0,04;0,03;0,03;0,03;0,05;0,05;0,05;0,06;0,05;0,05;0,04;0,05;0,03;0,03;0,03;0,05;0,05;0,03;0,02;0,05;0,05;;0,91
"MeioBenth""""";0,02;0,02;0,02;0,05;0,03;0,05;0,05;0,05;0,03;0,06;0,03;0,03;0,05;0,04;0,03;0,05;0,06;0,05;0,03;0,02;0,08;0,05;0,05;;0,94
"RaySkate""""";0,02;0,02;0,04;0,04;0,02;0,04;0,04;0,04;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,04;0,06;0,04;0,04;0,02;0,02;0,02;0,02;;0,67
"SBenthPela""""";0,04;0,06;0,06;0,06;0,07;0,06;0,06;0,06;0,06;0,04;0,06;0,06;0,04;0,07;0,08;0,05;0,08;0,06;0,07;0,04;0,09;0,06;0,06;;1,4
"CrabLobs""""";0,02;0,05;0,04;0,02;0,02;0,04;0,04;0,02;0,02;0,02;0,05;0,04;0,02;0,05;0,06;0,04;0,03;0,04;0,02;0,02;0,02;0,02;0,02;;0,76
"HetBenth""""";0,03;0,03;0,05;0,05;0,05;0,05;0,05;0,05;0,06;0,03;0,03;0,05;0,06;0,06;0,07;0,05;0,07;0,04;0,04;0,03;0,04;0,06;0,06;;1,15
"MicroNekt""""";0,03;0,03;0,05;0,05;0,05;0,05;0,05;0,03;0,06;0,03;0,05;0,05;0,06;0,03;0,06;0,05;0,03;0,03;0,04;0,03;0,03;0,06;0,06;;0,99
"Mack""""";0,01;0,04;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,04;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,01;0,04;0,04;;0,46
"Tuna""""";0,02;0,02;0,01;0,04;0,04;0,03;0,03;0,04;0,02;0,02;0,02;0,01;0,01;0,04;0,02;0,03;0,02;0,02;0,02;0,01;0,03;0,02;0,02;;0,52
"MicroZoopl""""";0,03;0,03;0,03;0,05;0,05;0,05;0,05;0,05;0,06;0,03;0,03;0,03;0,06;0,06;0,03;0,05;0,03;0,05;0,06;0,08;0,03;0,04;0,06;;1,01
"Phyto""""";0,03;0,03;0,03;0,05;0,05;0,05;0,05;0,05;0,06;0,03;0,03;0,03;0,06;0,06;0,03;0,05;0,03;0,05;0,06;0,08;0,03;0,06;0,04;;1,01
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"MarMamm""""";"Cepha""""";"LBenthCarn""""";"SBenthCarn""""";"Clup""""";"Anch""""";"Shri""""";"BenthOmn""""";"Lzoopl""""";"Sha""""";"Lpela""""";"LBenthPela""""";"MBenthCarn""""";"MeioBenth""""";"RaySkate""""";"SBenthPela""""";"CrabLobs""""";"HetBenth""""";"MicroNekt""""";"Mack""""";"Tuna""""";"MicroZoopl""""";"Phyto""""";;SUM
"Anch""""";0;0,07;0,09;0,11;0,04;0;0,15;0,11;0,02;0;0,07;0,07;0;0,02;0;0,11;0,02;0,07;0,02;0;0;0;0;;0,96
"BenthOmn""""";0;0,04;0,04;0,13;0,04;0,11;0,15;0;0,02;0;0,02;0,04;0;0,02;0;0,11;0,02;0,09;0,02;0;0;0;0;;0,87
"Cepha""""";0;0;0,07;0,04;0,02;0,07;0,07;0,04;0,02;0;0,07;0,07;0;0;0;0,02;0;0,02;0;0;0;0,02;0,02;;0,54
"Clup""""";0;0,02;0,02;0,04;0;0,04;0,04;0,04;0,02;0;0;0;0;0,02;0;0,02;0;0;0;0;0;0;0;;0,28
"CrabLobs""""";0;0;0,02;0,02;0;0,02;0,02;0,02;0;0;0;0;0;0;0;0,02;0;0,02;0,02;0;0;0;0;;0,17
"HetBenth""""";0;0,02;0,04;0,07;0;0,07;0,15;0,09;0;0;0,02;0,04;0;0;0;0,13;0,02;0;0,02;0;0;0,02;0,02;;0,72
"LBenthCarn""""";0;0,07;0;0,04;0,02;0,09;0,11;0,04;0,02;0;0,07;0,11;0;0;0;0,11;0,02;0,04;0,02;0;0;0,02;0,02;;0,8
"LBenthPela""""";0;0,07;0,11;0,02;0;0,07;0,11;0,04;0;0;0,09;0;0;0;0;0,11;0;0,04;0;0;0;0,02;0,02;;0,7
"Lpela""""";0;0,07;0,07;0,02;0;0,07;0,07;0,02;0;0;0;0,09;0;0;0;0,04;0;0,02;0;0;0;0,02;0,02;;0,5
"Lzoopl""""";0;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,15
"Mack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MarMamm""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MBenthCarn""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioBenth""""";0;0;0;0,02;0,02;0,02;0,02;0,02;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;;0,13
"MicroNekt""""";0;0;0,02;0,02;0;0,02;0,02;0,02;0;0;0;0;0;0;0;0,02;0,02;0,02;0;0;0;0;0;;0,17
"MicroZoopl""""";0;0,02;0,02;0;0;0;0,02;0;0;0;0,02;0,02;0;0;0;0,02;0;0,02;0;0;0;0;0,02;;0,17
"Phyto""""";0;0,02;0,02;0;0;0;0,02;0;0;0;0,02;0,02;0;0;0;0,02;0;0,02;0;0;0;0,02;0;;0,17
"RaySkate""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SBenthCarn""""";0;0,04;0,04;0;0,04;0,11;0,13;0,13;0,02;0;0,02;0,02;0;0,02;0;0,11;0,02;0,07;0,02;0;0;0;0;;0,8
"SBenthPela""""";0;0,02;0,11;0,11;0,02;0,11;0,22;0,11;0;0;0,04;0,11;0;0,02;0;0;0,02;0,13;0,02;0;0;0,02;0,02;;1,09
"Sha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Shri""""";0;0,07;0,11;0,13;0,04;0,15;0;0,15;0,02;0;0,07;0,11;0;0,02;0;0,22;0,02;0,15;0,02;0;0;0,02;0,02;;1,33
"Tuna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
