Species                 Kbu       Ktd      Kdir    Kindir         K
Lpela               0.10000   6.71559   2.50126   4.31433   6.81559
Sha                 0.00000  12.38670   2.56793   9.81877  12.38670
Cepha               0.49589   1.91243   1.54604   0.86227   2.40832
MarMamm             0.00000   2.04987   0.97551   1.07436   2.04987
LBenthPela          0.18462   4.29864   2.26000   2.22325   4.48326
SBenthPela          0.42320   2.84622   1.99566   1.27376   3.26942
LBenthCarn          0.69398   2.12732   1.95640   0.86491   2.82131
RaySkate            0.00000   2.64511   1.16717   1.47794   2.64511
MBenthCarn          0.43863   0.93013   1.07224   0.29651   1.36876
SBenthCarn          1.10624   0.78077   1.55673   0.33027   1.88701
Tuna                0.00000   1.91832   0.86793   1.05039   1.91832
Mack                0.52562   0.16667   0.53361   0.15867   0.69228
Clup                0.99513   0.52631   1.25471   0.26673   1.52144
Anch                1.54084   0.64298   1.71582   0.46799   2.18381
CrabLobs            0.73838   0.55663   0.93771   0.35731   1.29502
Shri                1.72067   0.64298   1.84082   0.52282   2.36364
BenthOmn            1.58696   0.51570   1.63368   0.46898   2.10266
HetBenth            3.17543   0.38939   1.95632   1.60850   3.56483
MeioBenth           3.69800   0.16667   1.77573   2.08893   3.86466
MicroNekt           2.30806   0.27273   1.48325   1.09754   2.58079
Lzoopl              4.73187   0.16667   2.01264   2.88590   4.89854
MicroZoopl         10.50000   0.07692   3.23288   7.34405  10.57692
Phyto              22.00000   0.00000   4.15595  17.84405  22.00000
