Species                   Kbu       Ktd      Kdir    Kindir         K
Phyto                 4.78890   0.00000   2.16667   2.62223   4.78890
MicroZoopl            1.51147   1.16667   1.75000   0.92813   2.67813
Copyp                 1.71877   1.50000   1.83333   1.38543   3.21877
Mysid                 1.42085   2.12500   2.12500   1.42085   3.54585
UpoAfri               1.14652   0.41667   1.43452   0.12866   1.56318
FishLarv              0.16512   1.41667   0.70000   0.88178   1.58178
ZooplEater            1.24027   1.66667   2.00952   0.89741   2.90693
BenthMicroAl          5.74212   0.00000   3.14286   2.59926   5.74212
MeioFau               1.14783   0.25397   0.99802   0.40378   1.40180
Det                   1.39783   0.25397   1.24802   0.40378   1.65180
Graz                  0.16512   0.25397   0.33730   0.08178   0.41908
SuspFeed              1.67387   0.25397   1.53968   0.38816   1.92784
CalliaKra             0.42188   0.25397   0.62897   0.04688   0.67584
Sol                   0.15625   0.25397   0.37897   0.03125   0.41022
Herb                  0.82515   1.80241   2.30516   0.32240   2.62756
MacrophSub            0.15625   0.00000   0.12500   0.03125   0.15625
Grunter               0.25000   5.69471   4.25952   1.68519   5.94471
MacrophSal            0.15625   0.00000   0.12500   0.03125   0.15625
Epiph                 0.42585   0.00000   0.22619   0.19966   0.42585
BenthFeed             0.98140   7.16353   5.02302   3.12191   8.14492
FreeWat               1.25573   0.00000   0.50000   0.75573   1.25573
AttWat                3.14479   0.00000   1.33333   1.81146   3.14479
SedBaci               6.33011   0.00000   3.47619   2.85392   6.33011
CarnMac               0.69148   0.72765   1.07897   0.34015   1.41912
Pisci                 0.12500   4.13605   1.68571   2.57534   4.26105
SkipJack              0.00000   3.28615   0.97738   2.30877   3.28615
CatFish               0.00000   3.12094   1.14405   1.97689   3.12094
DuskyKob              0.00000   8.64710   2.36071   6.28639   8.64710
Bird                  0.00000   0.94907   0.57738   0.37169   0.94907
Leer                  0.00000   8.99674   1.50952   7.48721   8.99674
