"TI3";""Seal"";""Aherr"";""Jherr"";""Asprat"";""Acod"";""Jcod"";""Jsprat"";""Bmacrof"";""Pmacrof"";""Mesozoopl"";""Microzoopl"";""Baci"";""Sprphyto"";""Suphyto"";""Bmeiof"";;SUM
""Seal"";"0,06";"0,08";"0,08";"0,12";"0,04";"0,04";"0,03";"0,02";"0,02";"0,03";"0,01";"0,00";"0,01";"0,01";"0,01";;"0,57"
""Aherr"";"0,18";"0,08";"0,08";"0,09";"0,13";"0,13";"0,13";"0,11";"0,12";"0,11";"0,04";"0,01";"0,05";"0,05";"0,07";;"1,37"
""Jherr"";"0,18";"0,08";"0,08";"0,09";"0,13";"0,13";"0,13";"0,11";"0,12";"0,11";"0,04";"0,01";"0,05";"0,05";"0,07";;"1,37"
""Asprat"";"0,16";"0,05";"0,05";"0,07";"0,10";"0,10";"0,05";"0,03";"0,03";"0,08";"0,02";"0,01";"0,01";"0,02";"0,02";;"0,79"
""Acod"";"0,08";"0,11";"0,11";"0,15";"0,08";"0,13";"0,12";"0,11";"0,04";"0,05";"0,01";"0,00";"0,03";"0,02";"0,08";;"1,12"
""Jcod"";"0,08";"0,11";"0,11";"0,15";"0,13";"0,08";"0,12";"0,11";"0,04";"0,05";"0,01";"0,00";"0,03";"0,02";"0,08";;"1,12"
""Jsprat"";"0,06";"0,11";"0,11";"0,07";"0,12";"0,12";"0,08";"0,11";"0,05";"0,09";"0,02";"0,01";"0,04";"0,03";"0,08";;"1,11"
""Bmacrof"";"0,06";"0,11";"0,11";"0,06";"0,13";"0,13";"0,13";"0,12";"0,06";"0,05";"0,03";"0,03";"0,17";"0,03";"0,43";;"1,65"
""Pmacrof"";"0,04";"0,09";"0,09";"0,04";"0,03";"0,03";"0,04";"0,04";"0,08";"0,11";"0,08";"0,07";"0,17";"0,18";"0,03";;"1,11"
""Mesozoopl"";"0,07";"0,11";"0,11";"0,14";"0,06";"0,06";"0,11";"0,05";"0,15";"0,10";"0,17";"0,11";"0,08";"0,21";"0,02";;"1,53"
""Microzoopl"";"0,01";"0,02";"0,02";"0,02";"0,01";"0,01";"0,02";"0,02";"0,06";"0,10";"0,16";"0,48";"0,18";"0,20";"0,02";;"1,32"
""Baci"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,02";"0,12";"0,08";"0,03";"0,03";"0,00";;"0,31"
