"TI3";""Intpred"";""Lpred"";""Sdemzoob"";""Sdemzoop"";""Pela"";""Lcrus"";""Hetbent"";""Scrus"";""Lzoob"";""Smollworm"";""Zoopl"";""Phyto"";;SUM
""Intpred"";"0,07";"0,11";"0,09";"0,11";"0,11";"0,08";"0,08";"0,08";"0,06";"0,05";"0,06";"0,05";;"0,96"
""Lpred"";"0,10";"0,07";"0,08";"0,10";"0,10";"0,04";"0,08";"0,05";"0,10";"0,04";"0,04";"0,04";;"0,84"
""Sdemzoob"";"0,12";"0,13";"0,08";"0,13";"0,12";"0,10";"0,10";"0,10";"0,07";"0,10";"0,11";"0,07";;"1,23"
""Sdemzoop"";"0,09";"0,10";"0,08";"0,06";"0,05";"0,05";"0,05";"0,07";"0,05";"0,08";"0,08";"0,04";;"0,81"
""Pela"";"0,09";"0,10";"0,08";"0,05";"0,06";"0,05";"0,05";"0,08";"0,04";"0,04";"0,08";"0,09";;"0,82"
""Lcrus"";"0,10";"0,06";"0,09";"0,06";"0,06";"0,07";"0,10";"0,10";"0,12";"0,11";"0,10";"0,12";;"1,09"
""Hetbent"";"0,11";"0,12";"0,10";"0,07";"0,07";"0,11";"0,08";"0,10";"0,14";"0,11";"0,11";"0,12";;"1,24"
""Scrus"";"0,12";"0,08";"0,11";"0,12";"0,13";"0,12";"0,11";"0,08";"0,13";"0,12";"0,12";"0,13";;"1,38"
""Lzoob"";"0,04";"0,09";"0,04";"0,04";"0,03";"0,08";"0,08";"0,07";"0,05";"0,08";"0,04";"0,04";;"0,67"
""Smollworm"";"0,06";"0,06";"0,09";"0,11";"0,06";"0,11";"0,10";"0,10";"0,12";"0,07";"0,10";"0,12";;"1,09"
""Zoopl"";"0,06";"0,06";"0,10";"0,11";"0,11";"0,10";"0,09";"0,10";"0,06";"0,10";"0,07";"0,12";;"1,08"
""Phyto"";"0,04";"0,04";"0,05";"0,04";"0,09";"0,09";"0,08";"0,08";"0,05";"0,09";"0,09";"0,06";;"0,80"


"WI3";""Intpred"";""Lpred"";""Sdemzoob"";""Sdemzoop"";""Pela"";""Lcrus"";""Hetbent"";""Scrus"";""Lzoob"";""Smollworm"";""Zoopl"";""Phyto"";;SUM
""Intpred"";"25804530,60";"9921564,50";"2141050013,31";"19954764,21";"80301262,24";"141673090,37";"323317315,28";"444815489,38";"44881224,11";"595892337,14";"3814666351,95";"4332462650,07";;"11974740593,18"
""Lpred"";"8504198,15";"2519814,09";"390366686,38";"10729034,41";"50199339,28";"26070691,09";"92047738,90";"227764141,59";"8173352,12";"272676131,56";"1365231764,42";"2965609665,51";;"5419892557,51"
""Sdemzoob"";"2752778588,54";"585550029,56";"4806564399,79";"1893840924,23";"9183398659,35";"678818890,10";"13350584300,16";"49976298554,68";"83277698,43";"49488575119,54";"260140641273,74";"521777573294,00";;"914717901732,13"
""Sdemzoop"";"17104083,61";"10729034,41";"1262560616,15";"13283470,07";"969900868,87";"128781328,10";"2310518767,79";"4484830209,33";"25135751,89";"5338813809,63";"188073675355,30";"2801117898,14";;"205436451193,30"
""Pela"";"68829653,35";"50199339,28";"6122265772,90";"969900868,87";"8353590333,84";"617079245,35";"12776241421,77";"34775389951,49";"116712280,00";"41558259007,79";"835599459716,90";"306943049519,84";;"1247950977111,39"
""Lcrus"";"161912103,28";"34760921,46";"603394568,98";"171708437,47";"822772327,14";"58897532,21";"1011206894,08";"3978769514,93";"11700004,80";"4202001663,63";"18596565083,36";"50055123213,52";;"79708812264,86"
""Hetbent"";"415693691,07";"138071608,36";"13350584300,16";"3465778151,69";"19164362132,65";"1137607755,84";"20438122716,58";"76288601221,20";"253885816,53";"90519356350,25";"805146391222,33";"1098853006427,43";;"2129171461394,08"
""Scrus"";"635450699,11";"379606902,65";"55529220616,31";"7474717015,54";"57958983252,48";"4973461893,66";"84765112468,00";"239195682607,37";"1087264737,52";"286588528885,65";"5157490090879,74";"2358623346075,75";;"8254701466033,80"
""Lzoob"";"32058017,22";"6811126,77";"46265388,02";"20946459,91";"97260233,33";"7312503,00";"141047675,85";"543632368,76";"741006,02";"527923785,02";"2077787054,35";"5720207619,59";;"9221993237,83"
""Smollworm"";"681019813,88";"363568175,42";"43989844550,70";"7118418412,85";"55411012010,39";"4202001663,63";"80461650089,11";"229270823108,52";"844678056,03";"273542474173,02";"4941060728307,48";"2248757382728,08";;"7885703601089,10"
""Zoopl"";"4359618687,95";"1820309019,23";"231236125576,66";"250764900473,74";"1114132612955,87";"18596565083,36";"715685681086,51";"4125992072703,79";"3324459286,96";"4941060728307,48";"523514893683,15";"80822710428693,00";;"92753198395557,70"
""Phyto"";"3713539414,35";"2965609665,51";"347851715529,33";"2801117898,14";"306943049519,84";"37541342410,14";"732568670951,62";"1415174007645,45";"6864249143,51";"1686568037046,06";"60617032821519,70";"516276882941,54";;"65676301043685,20"

