TI3;"Lion""""";"HorMack""""";"CarFish""""";"ChHakeA""""";"Bcong""""";"ChHakeJ""""";"PilJ""""";"PilA""""";"AnchJ""""";"AnchA""""";"Psperch""""";"Eupha""""";"RatFish""""";"CPrownJ""""";"Yprown""""";"CPrownA""""";"Skate""""";"BigEye""""";"Copep""""";"Phyto""""";;SUM
"Lion""""";0,09;0,17;0,23;0,09;0,1;0,09;0,12;0,12;0,12;0,12;0,06;0,07;0,03;0,03;0,03;0,03;0,02;0,02;0,07;0,07;;1,69
"HorMack""""";0,06;0,04;0,05;0,05;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,07;0,01;0,01;0,01;0,01;0;0;0,02;0,02;;0,5
"CarFish""""";0,05;0,03;0,04;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,07;0;0;0;0;0;0;0,01;0,01;;0,35
"ChHakeA""""";0,12;0,19;0,08;0,09;0,13;0,1;0,13;0,13;0,13;0,13;0,07;0,11;0,18;0,13;0,15;0,08;0,08;0,08;0,07;0,07;;2,25
"Bcong""""";0,07;0,03;0,03;0,07;0,06;0,06;0,03;0,03;0,03;0,03;0,03;0,02;0,06;0,11;0,14;0,12;0,08;0,08;0,01;0,01;;1,09
"ChHakeJ""""";0,11;0,07;0,08;0,09;0,12;0,09;0,13;0,13;0,13;0,13;0,24;0,12;0,07;0,11;0,06;0,12;0,06;0,06;0,07;0,07;;2,06
"PilJ""""";0,07;0,03;0,03;0,06;0,02;0,06;0,05;0,05;0,05;0,05;0,03;0,04;0,02;0,02;0,01;0,01;0,01;0,01;0,1;0,1;;0,8
"PilA""""";0,07;0,03;0,03;0,06;0,02;0,06;0,05;0,05;0,05;0,05;0,03;0,04;0,02;0,02;0,01;0,01;0,01;0,01;0,1;0,1;;0,8
"AnchJ""""";0,07;0,03;0,03;0,06;0,02;0,06;0,05;0,05;0,05;0,05;0,03;0,04;0,02;0,02;0,01;0,01;0,01;0,01;0,1;0,1;;0,8
"AnchA""""";0,07;0,03;0,03;0,06;0,02;0,06;0,05;0,05;0,05;0,05;0,03;0,04;0,02;0,02;0,01;0,01;0,01;0,01;0,1;0,1;;0,8
"Psperch""""";0,01;0,02;0,03;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,04;0,07;0,01;0,01;0;0,01;0;0;0,01;0,01;;0,34
"Eupha""""";0,06;0,17;0,23;0,07;0,02;0,08;0,05;0,05;0,05;0,05;0,23;0,1;0,02;0,02;0,01;0,01;0,01;0,01;0,1;0,1;;1,44
"RatFish""""";0,01;0,01;0;0,04;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,09;0,03;0,1;0,04;0,04;0;0;;0,55
"CPrownJ""""";0,02;0,02;0,01;0,07;0,11;0,06;0,02;0,02;0,02;0,02;0,02;0,02;0,18;0,08;0,08;0,09;0,19;0,19;0,01;0,01;;1,24
"Yprown""""";0,01;0,02;0,01;0,05;0,09;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,05;0,06;0,08;0,06;0,17;0,17;0;0;;0,85
"CPrownA""""";0,02;0,01;0,01;0,03;0,1;0,06;0,01;0,01;0,01;0,01;0,02;0,01;0,17;0,07;0,07;0,09;0,19;0,19;0;0;;1,09
