Species               Kbu       Ktd      Kdir    Kindir         K
HorMack           0.33333   0.48000   0.70000   0.11333   0.81333
Ytail             0.00000   3.30000   1.70000   1.60000   3.30000
Spela             2.30667   0.40000   2.40000   0.30667   2.70667
Bird              0.00000   0.68000   0.36667   0.31333   0.68000
WareH             0.00000   0.48000   0.36667   0.11333   0.48000
Sdemers           0.53333   2.08000   1.68333   0.93000   2.61333
Ldemers           0.00000   3.34000   1.45000   1.89000   3.34000
PreSanil          1.34222   0.68000   1.35000   0.67222   2.02222
PreCrab           0.75667   1.10000   1.26667   0.59000   1.85667
Lechino           0.00000   1.80000   0.95000   0.85000   1.80000
Bivelve           2.51333   0.40000   1.85000   1.06333   2.91333
Sbenth            3.01333   1.40000   3.35000   1.06333   4.41333
Macrophy          1.33778   0.00000   0.33333   1.00444   1.33778
Zoopl             6.41444   0.20000   3.03333   3.58111   6.61444
SusScall          0.00000   0.40000   0.36667   0.03333   0.40000
Phyto            12.66222   0.00000   2.83333   9.82889  12.66222
