TI3;"Ang""""";"Apred""""";"Ypred""""";"Ather""""";"Zoopl""""";"Amugi""""";"Benth""""";"Mollu""""";"Phyto""""";"Benthprod""""";;SUM;;;
"Amugi""""";0,12;0,12;0,12;0,12;0,12;0,08;0,12;0,14;0,12;0,13;;1,17;;thresold:;0,12
"Ang""""";0,08;0,12;0,12;0,12;0,12;0,12;0,12;0,14;0,12;0,13;;1,17;;;
"Apred""""";0,12;0,08;0,12;0,12;0,12;0,12;0,12;0,14;0,12;0,13;;1,17;;;
"Ather""""";0,1;0,1;0,11;0,07;0,11;0,1;0,11;0,07;0,11;0,12;;1,02;;;
"Benth""""";0,1;0,1;0,11;0,11;0,11;0,1;0,07;0,07;0,11;0,12;;1,02;;;
"Benthprod""""";0,09;0,09;0,09;0,09;0,05;0,09;0,09;0,05;0,05;0,06;;0,75;;;
"Mollu""""";0,08;0,08;0,04;0,04;0,08;0,08;0,04;0,06;0,08;0,04;;0,63;;;
"Phyto""""";0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,13;0,08;0,07;;1,03;;;
"Ypred""""";0,1;0,1;0,07;0,11;0,11;0,1;0,11;0,07;0,11;0,12;;1,02;;;
"Zoopl""""";0,11;0,11;0,11;0,11;0,08;0,11;0,11;0,13;0,11;0,07;;1,03;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
WI3;"Ang""""";"Apred""""";"Ypred""""";"Ather""""";"Zoopl""""";"Amugi""""";"Benth""""";"Mollu""""";"Phyto""""";"Benthprod""""";;SUM;;;
"Amugi""""";12632117688;13743436264;1,06575E+11;1,15682E+11;8,71189E+11;16946974508;2,06492E+11;7,6554E+11;7,03066E+11;95352262508;;2907218912911,60;;thresold:;3210192325752,83
"Ang""""";5344901764;7972441604;85107691100;83208315433;2,75299E+11;12632117688;1,74142E+11;5,81874E+11;4,27163E+11;46382400300;;1699125361147,07;;;3210192325752,83
"Apred""""";7972441604;9877079305;86581094554;87427285597;4,0326E+11;13743436264;1,95463E+11;5,96685E+11;4,82279E+11;58308307888;;1941596216100,82;;;
"Ather""""";73962947052;77713142753;6,56189E+11;7,53925E+11;7,01299E+12;1,02829E+11;1,18051E+12;4,99941E+12;4,75125E+12;4,63116E+11;;20071901202100,50;;;
"Benth""""";1,54793E+11;1,73744E+11;8,39572E+11;1,18051E+12;1,43954E+13;1,83548E+11;1,13362E+12;6,03707E+12;5,50722E+12;1,66443E+12;;31269868066739,70;;;
"Benthprod""""";30921600200;38872205259;3,68794E+11;3,47337E+11;5,90265E+11;63568175006;1,24832E+12;2,5279E+12;1,91797E+12;27252007340;;7161196714797,04;;;
"Mollu""""";3,23263E+11;3,31492E+11;2,3943E+12;3,12463E+12;3,6035E+13;4,253E+11;3,77317E+12;1,89869E+13;1,77146E+13;2,10658E+12;;85215151181407,50;;;
"Phyto""""";3,79701E+11;4,28693E+11;3,46687E+12;4,75125E+12;4,84588E+13;6,24948E+11;5,50722E+12;2,83433E+13;2,09858E+13;2,55729E+12;;115503897394341,00;;;
"Ypred""""";75651280978;76960972937;4,91158E+11;6,56189E+11;7,56418E+12;94733170412;8,39572E+11;3,83088E+12;3,46687E+12;4,91725E+11;;17587919303113,20;;;
"Zoopl""""";2,4471E+11;3,58453E+11;7,56418E+12;7,01299E+12;2,11174E+13;7,7439E+11;1,43954E+13;5,7656E+13;4,84588E+13;7,87019E+11;;158369279085918,00;;;
