TI3;"ProdPrim""""";"Copep""""";"PFV""""";"MeioBenth""""";"MacroBenth""""";"Crev""""";"Mul""""";"PetPel""""";"Syng""""";"Gob""""";"Estur""""";"Ang""""";"GPM""""";"PeauD""""";"GraPel""""";"PoiPla""""";;SUM
"ProdPrim""""";0,07;0,11;0,08;0,13;0,07;0,06;0,17;0,05;0,09;0,03;0,04;0,03;0,05;0,03;0,03;0,03;;1,06
"Copep""""";0,09;0,08;0,08;0,06;0,03;0,03;0,04;0,07;0,23;0,06;0,03;0,03;0,03;0,03;0,02;0,02;;0,93
"PFV""""";0,1;0,13;0,07;0,05;0,05;0,06;0,05;0,1;0,06;0,09;0,13;0,1;0,09;0,11;0,05;0,05;;1,29
"MeioBenth""""";0,11;0,06;0,03;0,09;0,06;0,02;0,17;0,07;0,23;0,02;0,02;0,02;0,04;0,02;0,02;0,02;;1,01
"MacroBenth""""";0,11;0,05;0,07;0,13;0,08;0,11;0,08;0,11;0,05;0,07;0,14;0,12;0,11;0,12;0,18;0,13;;1,66
"Crev""""";0,1;0,05;0,07;0,05;0,11;0,09;0,05;0,1;0,03;0,12;0,15;0,12;0,11;0,13;0,19;0,14;;1,61
"Mul""""";0,09;0,03;0,02;0,1;0,02;0,02;0,06;0,02;0,04;0,01;0,01;0,01;0,07;0,01;0,01;0,02;;0,54
"PetPel""""";0,06;0,12;0,1;0,12;0,08;0,08;0,06;0,07;0,07;0,05;0,05;0,1;0,09;0,11;0,05;0,06;;1,28
"Syng""""";0,03;0,09;0,01;0,09;0,01;0,01;0,03;0,02;0,07;0,01;0,01;0,01;0,01;0,01;0;0;;0,4
"Gob""""";0,05;0,11;0,11;0,03;0,07;0,1;0,03;0,06;0,04;0,09;0,15;0,11;0,11;0,12;0,17;0,13;;1,47
"Estur""""";0,02;0,02;0,07;0,01;0,06;0,06;0,02;0,03;0,01;0,07;0,04;0,03;0,03;0,03;0,04;0,03;;0,58
"Ang""""";0,03;0,04;0,09;0,03;0,08;0,09;0,02;0,09;0,02;0,09;0,06;0,07;0,05;0,11;0,06;0,12;;1,03
"GPM""""";0,05;0,04;0,08;0,05;0,08;0,08;0,15;0,08;0,03;0,08;0,05;0,05;0,07;0,05;0,05;0,11;;1,12
"PeauD""""";0,03;0,04;0,08;0,02;0,07;0,08;0,02;0,08;0,02;0,08;0,05;0,1;0,04;0,06;0,05;0,05;;0,87
"GraPel""""";0,02;0,01;0,02;0,01;0,05;0,06;0,01;0,02;0,01;0,06;0,03;0,02;0,02;0,02;0,04;0,03;;0,43
"PoiPla""""";0,02;0,02;0,03;0,02;0,07;0,07;0,03;0,03;0,01;0,07;0,04;0,08;0,08;0,04;0,05;0,05;;0,73
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
TO3;"ProdPrim""""";"Copep""""";"PFV""""";"MeioBenth""""";"MacroBenth""""";"Crev""""";"Mul""""";"PetPel""""";"Syng""""";"Gob""""";"Estur""""";"Ang""""";"GPM""""";"PeauD""""";"GraPel""""";"PoiPla""""";;SUM
"Ang""""";0;0;0,03;0;0,06;0,06;0;0,03;0;0,06;0;0;0,03;0;0;0;;0,28
"Copep""""";0;0;0,03;0,06;0,03;0,03;0;0;0;0;0;0;0;0;0;0;;0,16
"Crev""""";0;0,03;0,22;0,03;0,25;0;0;0,09;0;0,19;0;0,06;0,03;0,03;0;0;;0,94
"Estur""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Gob""""";0,03;0;0,16;0;0,22;0,19;0;0,16;0,03;0;0;0,06;0,03;0,03;0;0;;0,91
"GPM""""";0,03;0;0;0,03;0,03;0,03;0;0;0;0,03;0;0,03;0;0;0;0;;0,19
"GraPel""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MacroBenth""""";0,03;0,03;0,19;0,06;0;0,25;0,03;0,13;0,03;0,22;0;0,06;0,03;0,03;0;0;;1,09
"MeioBenth""""";0,06;0,06;0,03;0;0,06;0,03;0,03;0,03;0,03;0;0;0;0,03;0;0;0;;0,38
"Mul""""";0,03;0;0;0,03;0,03;0;0;0,03;0,03;0;0;0;0;0;0;0;;0,16
"PeauD""""";0;0;0,03;0;0,03;0,03;0;0,03;0;0,03;0;0;0;0;0;0;;0,16
"PetPel""""";0,06;0;0,13;0,03;0,13;0,09;0,03;0;0,06;0,16;0;0,03;0;0,03;0;0;;0,75
"PFV""""";0,03;0,03;0;0,03;0,19;0,22;0;0,13;0,03;0,16;0;0,03;0;0,03;0;0;;0,88
"PoiPla""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"ProdPrim""""";0;0;0,03;0,06;0,03;0;0,03;0,06;0,06;0,03;0;0;0,03;0;0;0;;0,34
"Syng""""";0,06;0;0,03;0,03;0,03;0;0,03;0,06;0;0,03;0;0;0;0;0;0;;0,28
