TI3;"BM""""";"MMdh""""";"Mbd""""";"Mop""""";"Phyt""""";"Zoopl""""";"Moff""""";"Momf""""";"Bakt""""";"Ndet""""";"NeFO""""";"Md""""";"Nebf""""";"Nenf""""";"Bird""""";;SUM
"BM""""";0,09;0,16;0,1;0,08;0,01;0,01;0,02;0,02;0,01;0;0,03;0,03;0,03;0,02;0,02;;0,63
"MMdh""""";0,16;0,07;0,05;0,08;0,01;0,01;0,01;0,02;0,01;0,01;0,07;0,03;0,03;0,02;0,04;;0,63
"Mbd""""";0,17;0,08;0,07;0,1;0,03;0,02;0,03;0,08;0,03;0,02;0,09;0,06;0,09;0,05;0,05;;0,98
"Mop""""";0,22;0,21;0,16;0,11;0,05;0,05;0,12;0,1;0,05;0,05;0,08;0,15;0,13;0,13;0,05;;1,66
"Phyt""""";0,01;0,01;0,02;0,02;0,06;0,1;0,11;0,06;0,06;0,04;0,02;0,02;0,02;0,02;0,01;;0,59
"Zoopl""""";0,01;0,02;0,03;0,04;0,2;0,11;0,15;0,1;0,2;0,24;0,08;0,04;0,05;0,06;0,05;;1,37
"Moff""""";0,03;0,02;0,03;0,07;0,18;0,12;0,09;0,06;0,18;0,06;0,03;0,04;0,08;0,04;0,01;;1,05
"Momf""""";0,07;0,06;0,14;0,12;0,19;0,15;0,1;0,1;0,19;0,1;0,12;0,16;0,13;0,14;0,08;;1,86
"Bakt""""";0,01;0,01;0,02;0,02;0,06;0,1;0,11;0,06;0,06;0,04;0,02;0,02;0,02;0,02;0,01;;0,59
"Ndet""""";0;0,01;0,01;0,01;0,03;0,08;0,02;0,02;0,03;0,06;0,02;0,01;0,02;0,09;0,02;;0,42
"NeFO""""";0,08;0,18;0,14;0,08;0,05;0,11;0,05;0,11;0,05;0,07;0,12;0,16;0,12;0,14;0,43;;1,9
"Md""""";0,04;0,04;0,05;0,08;0,03;0,02;0,03;0,07;0,03;0,02;0,08;0,06;0,09;0,04;0,05;;0,73
"Nebf""""";0,07;0,06;0,13;0,11;0,06;0,05;0,11;0,1;0,06;0,06;0,11;0,15;0,09;0,13;0,07;;1,36
"Nenf""""";0,04;0,04;0,05;0,08;0,04;0,05;0,04;0,08;0,04;0,22;0,09;0,06;0,09;0,08;0,05;;1,03
"Bird""""";0,01;0,01;0,01;0,01;0;0,01;0;0,01;0;0,01;0,05;0,01;0,01;0,01;0,04;;0,2
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
TO3;"BM""""";"MMdh""""";"Mbd""""";"Mop""""";"Phyt""""";"Zoopl""""";"Moff""""";"Momf""""";"Bakt""""";"Ndet""""";"NeFO""""";"Md""""";"Nebf""""";"Nenf""""";"Bird""""";;SUM
"Bakt""""";0;0;0;0,03;0,07;0,07;0,07;0,07;0;0;0,03;0;0,03;0;0;;0,37
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BM""""";0;0;0;0,07;0;0;0;0,03;0;0;0,07;0;0,03;0;0;;0,2
"Mbd""""";0;0,03;0;0,1;0;0;0;0,07;0;0;0,03;0;0,03;0,03;0;;0,3
"Md""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MMdh""""";0;0;0,03;0,03;0;0;0;0;0;0;0;0;0;0;0;;0,07
"Moff""""";0;0;0;0,03;0,07;0,13;0;0,13;0,07;0;0,03;0;0,03;0;0;;0,5
"Momf""""";0,03;0;0,07;0,23;0,07;0,2;0,13;0;0,07;0;0,23;0;0,23;0,07;0;;1,33
"Mop""""";0,07;0,03;0,1;0;0,03;0,07;0,03;0,23;0,03;0;0,2;0;0,2;0,03;0;;1,03
"Ndet""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Nebf""""";0,03;0;0,03;0,2;0,03;0,07;0,03;0,23;0,03;0;0,17;0;0;0;0;;0,83
"NeFO""""";0,07;0;0,03;0,2;0,03;0,07;0,03;0,23;0,03;0;0;0;0,17;0,03;0;;0,9
"Nenf""""";0;0;0,03;0,03;0;0,03;0;0,07;0;0;0,03;0;0;0;0;;0,2
"Phyt""""";0;0;0;0,03;0;0,07;0,07;0,07;0,07;0;0,03;0;0,03;0;0;;0,37
"Zoopl""""";0;0;0;0,07;0,07;0;0,13;0,2;0,07;0;0,07;0;0,07;0,03;0;;0,7
