Species                    Kbu       Ktd      Kdir    Kindir         K
Phyto                  9.40697   0.00000   1.83333   7.57363   9.40697
Zoopl                  8.56055   0.41667   5.17619   3.80103   8.97722
RedCrab                0.61376   0.36806   0.64286   0.33896   0.98181
Infau                  7.95944   0.53472   4.37063   4.12352   8.49416
Sard                   0.66667   0.36806   0.94444   0.09028   1.03472
PrimBenthProd          9.59303   0.00000   1.80952   7.78351   9.59303
Shri                   1.52646   0.42448   1.42811   0.52282   1.95093
ParFish                0.11111   0.42448   0.47970   0.05589   0.53559
TrigFish               0.11111   1.34896   0.88803   0.57204   1.46007
Ofish                  2.00000   3.17222   3.96303   1.20919   5.17222
Mojar                  0.20000   0.89740   0.61026   0.48714   1.09740
Robin                  0.11111   2.18258   1.42970   0.86399   2.29369
CatFish                0.11111   0.89740   0.52137   0.48714   1.00851
Haem                   0.00000   2.79479   1.41026   1.38454   2.79479
Crab                   0.42857   0.66076   0.62811   0.46122   1.08934
BlueWhale              0.00000   0.11806   0.08333   0.03472   0.11806
BryWhale               0.00000   0.11806   0.08333   0.03472   0.11806
Snap                   0.11111   0.92448   0.51303   0.52256   1.03559
Polych                 2.96120   0.11806   2.00311   1.07614   3.07925
Group                  0.11111   1.09560   0.64637   0.56035   1.20671
Lion                   0.00000  13.96910   6.53526   7.43384  13.96910
