TI3;"Mamm""""";"Squid""""";"Caran""""";"Ofish""""";"Clup""""";"Zoopl""""";"Bird""""";"Sciae""""";"ShaRay""""";"Omollu""""";"Mycto""""";"OmacroCrus""""";"Shri""""";"Phyto""""";"Scom""""";"ScoTrig""""";"Lutja""""";"RedCrab""""";"Crab""""";"Stoma""""";"Serra""""";"Haem""""";"Parali""""";"Polych""""";"MeioBenth""""";;SUM
"Mamm""""";0,04;0,07;0,05;0,04;0,06;0,04;0,04;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0;;0,52
"Squid""""";0,1;0,05;0,03;0,05;0,07;0,05;0,1;0,02;0,04;0,01;0,01;0,01;0,04;0,02;0,02;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,02;0,01;0,01;;0,77
"Caran""""";0,11;0,05;0,05;0,06;0,08;0,06;0,11;0,03;0,05;0,06;0,03;0,03;0,03;0,06;0,03;0,05;0,06;0,03;0,03;0,03;0,05;0,03;0,02;0,02;0,02;;1,16
"Ofish""""";0,13;0,11;0,08;0,06;0,09;0,07;0,13;0,08;0,06;0,04;0,03;0,04;0,08;0,07;0,04;0,07;0,07;0,04;0,04;0,03;0,07;0,09;0,14;0,1;0,04;;1,79
"Clup""""";0,12;0,1;0,07;0,06;0,06;0,06;0,12;0,07;0,05;0,03;0,04;0,02;0,02;0,05;0,08;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,01;0,01;;1,1
"Zoopl""""";0,13;0,11;0,09;0,07;0,1;0,06;0,13;0,09;0,07;0,08;0,1;0,04;0,04;0,08;0,1;0,04;0,07;0,1;0,03;0,03;0,06;0,09;0,03;0,04;0,03;;1,78
"Bird""""";0,04;0,07;0,05;0,04;0,06;0,04;0,04;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0;;0,52
"Sciae""""";0,03;0,03;0,03;0,04;0,06;0,05;0,03;0,04;0,05;0,07;0,08;0,06;0,05;0,06;0,04;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;;0,91
"ShaRay""""";0,05;0,09;0,07;0,06;0,08;0,07;0,05;0,09;0,06;0,08;0,1;0,08;0,07;0,05;0,11;0,08;0,07;0,1;0,09;0,16;0,04;0,04;0,03;0,04;0,05;;1,81
"Omollu""""";0,02;0,02;0,05;0,02;0,03;0,05;0,02;0,07;0,05;0,04;0,08;0,06;0,02;0,06;0,03;0,02;0,02;0,03;0,03;0,03;0,05;0,03;0,02;0,03;0,05;;0,91
