TI3;"Sciae""""";"Carang""""";"Centrop""""";"Haemu""""";"PecDeFon""""";"Calli""""";"PecAgu""""";"PelaMen""""";"Gerre""""";"Gobi""""";"Mugil""""";"Palaemo""""";"Panae""""";"MicroCrus""""";"Gusan""""";"Gastro""""";"Elop""""";"Lutja""""";"Poeci""""";"Bivalv""""";"ProdPrimBen""""";"Ari""""";"Zoopl""""";"Chan""""";"Fitopl""""";;SUM;;;
"Ari""""";0,04;0,04;0,06;0,06;0,08;0,06;0,06;0,06;0,06;0,06;0,06;0,07;0,06;0,05;0,06;0,06;0,04;0,04;0,04;0,07;0,06;0,04;0,04;0,09;0,04;;1,37;;thresold:;0,05
"Bivalv""""";0,02;0,05;0,02;0,04;0,07;0,04;0,02;0,03;0,04;0,02;0,05;0,02;0,02;0,02;0,02;0,02;0,02;0,05;0,02;0,04;0,02;0,04;0,05;0,03;0,09;;0,85;;;
"Calli""""";0,05;0,06;0,05;0,03;0,03;0,04;0,03;0,06;0,06;0,03;0,06;0,06;0,06;0,05;0,05;0,05;0,03;0,06;0,03;0,06;0,05;0,05;0,03;0,03;0,03;;1,15;;;
"Carang""""";0,05;0,04;0,05;0,02;0,03;0,05;0,05;0,06;0,05;0,05;0,05;0,03;0,05;0,04;0,02;0,02;0,02;0,03;0,02;0,06;0,04;0,03;0,03;0,02;0,03;;0,92;;;
"Centrop""""";0,06;0,06;0,04;0,03;0,03;0,06;0,04;0,06;0,06;0,06;0,06;0,07;0,06;0,05;0,05;0,05;0,03;0,03;0,08;0,03;0,06;0,05;0,06;0,03;0,03;;1,24;;;
"Chan""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,02;0,03;0,03;0,04;0,03;0,09;;0,51;;;
"Elop""""";0,02;0,02;0,02;0,05;0,02;0,02;0,04;0,02;0,02;0,04;0,04;0,02;0,04;0,03;0,04;0,04;0,03;0,05;0,02;0,02;0,02;0,02;0,02;0,02;0,01;;0,68;;;
"Fitopl""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,05;0,01;0,01;0,05;0,07;0,04;;0,45;;;
"Gastro""""";0,05;0,03;0,05;0,05;0,08;0,05;0,05;0,03;0,05;0,06;0,05;0,03;0,03;0,03;0,03;0,04;0,07;0,05;0,03;0,03;0,05;0,05;0,03;0,08;0,03;;1,12;;;
"Gerre""""";0,05;0,06;0,05;0,03;0,03;0,05;0,03;0,03;0,04;0,05;0,03;0,03;0,06;0,04;0,05;0,05;0,03;0,05;0,03;0,06;0,05;0,05;0,05;0,03;0,03;;1,07;;;
"Gobi""""";0,05;0,05;0,05;0,03;0,08;0,03;0,05;0,03;0,05;0,04;0,03;0,03;0,03;0,05;0,05;0,06;0,07;0,05;0,03;0,03;0,05;0,05;0,05;0,03;0,02;;1,09;;;
"Gusan""""";0,06;0,04;0,06;0,07;0,08;0,06;0,06;0,03;0,06;0,06;0,06;0,07;0,06;0,06;0,05;0,04;0,08;0,06;0,09;0,04;0,06;0,06;0,04;0,08;0,03;;1,45;;;
"Haemu""""";0,05;0,02;0,03;0,04;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,06;0,05;0,04;0,05;0,05;0,07;0,06;0,08;0,06;0,05;0,04;0,05;0,03;0,03;;1,04;;;
"Lutja""""";0,03;0,03;0,03;0,06;0,03;0,05;0,03;0,05;0,05;0,05;0,05;0,02;0,05;0,04;0,05;0,05;0,07;0,04;0,07;0,06;0,03;0,03;0,03;0,02;0,03;;1,03;;;
"MicroCrus""""";0,07;0,07;0,07;0,07;0,08;0,06;0,07;0,08;0,07;0,07;0,07;0,08;0,07;0,05;0,06;0,04;0,08;0,07;0,09;0,05;0,06;0,06;0,07;0,05;0,11;;1,71;;;
"Mugil""""";0,05;0,05;0,05;0,03;0,03;0,05;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,04;0,04;0,05;0,06;0,05;0,03;0,06;0,04;0,04;0,05;0,03;0,03;;1,01;;;
