TI3;"Parg""""";"Herr""""";"Gobie""""";"Crab""""";"Shri""""";"MicroBenth""""";"Roba""""";"IchthyoPl""""";"Jack""""";"CatFish""""";"Zoopl""""";"NeeFish""""";"Ofish""""";"Mojar""""";"Mull""""";"DrumCroak""""";"Ray""""";"FlatFish""""";"Phyto""""";;SUM
"Parg""""";0,04;0,08;0,07;0,06;0,06;0,05;0,04;0,02;0,02;0,02;0,02;0,03;0,04;0,03;0,03;0,04;0,04;0,03;0,01;;0,74
"Herr""""";0,1;0,06;0,06;0,03;0,03;0,03;0,09;0,07;0,03;0,03;0,07;0,09;0,13;0,03;0,04;0,02;0,02;0,03;0,05;;0,98
"Gobie""""";0,1;0,07;0,06;0,03;0,03;0,06;0,09;0,07;0,03;0,03;0,08;0,09;0,14;0,04;0,05;0,03;0,03;0,03;0,05;;1,12
"Crab""""";0,12;0,04;0,05;0,08;0,08;0,09;0,1;0,05;0,11;0,11;0,05;0,09;0,05;0,11;0,06;0,18;0,18;0,12;0,03;;1,69
"Shri""""";0,12;0,04;0,05;0,08;0,08;0,09;0,1;0,05;0,11;0,11;0,05;0,09;0,05;0,11;0,06;0,18;0,18;0,12;0,03;;1,69
"MicroBenth""""";0,14;0,07;0,11;0,12;0,12;0,1;0,12;0,06;0,12;0,12;0,06;0,09;0,14;0,12;0,23;0,2;0,2;0,13;0,04;;2,28
"Roba""""";0,04;0,09;0,08;0,06;0,06;0,06;0,05;0,07;0,03;0,03;0,03;0,04;0,04;0,03;0,03;0,04;0,04;0,03;0,03;;0,89
"IchthyoPl""""";0,04;0,11;0,1;0,04;0,04;0,04;0,1;0,09;0,11;0,11;0,13;0,04;0,05;0,1;0,02;0,03;0,03;0,12;0,25;;1,54
"Jack""""";0,03;0,03;0,03;0,07;0,07;0,06;0,03;0,07;0,05;0,1;0,08;0,02;0,02;0,04;0,02;0,04;0,04;0,04;0,05;;0,88
"CatFish""""";0,03;0,03;0,03;0,07;0,07;0,06;0,03;0,07;0,1;0,05;0,08;0,02;0,02;0,04;0,02;0,04;0,04;0,04;0,05;;0,88
"Zoopl""""";0,04;0,1;0,09;0,04;0,04;0,03;0,05;0,11;0,11;0,11;0,08;0,04;0,04;0,1;0,02;0,02;0,02;0,11;0,25;;1,38
"NeeFish""""";0,05;0,1;0,09;0,06;0,06;0,05;0,04;0,03;0,03;0,03;0,03;0,08;0,14;0,09;0,22;0,04;0,04;0,03;0,02;;1,22
"Ofish""""";0,03;0,09;0,08;0,02;0,02;0,04;0,03;0,02;0,01;0,01;0,02;0,08;0,05;0,02;0,05;0,01;0,01;0,01;0,01;;0,63
"Mojar""""";0,03;0,03;0,03;0,07;0,07;0,06;0,03;0,07;0,04;0,04;0,07;0,08;0,03;0,04;0,04;0,04;0,04;0,04;0,04;;0,89
"Mull""""";0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,06;0,02;0,01;0,04;0,01;0,01;0,01;0;;0,31
"DrumCroak""""";0,02;0,01;0,01;0,05;0,05;0,05;0,02;0,01;0,02;0,02;0,01;0,02;0,01;0,02;0,02;0,03;0,03;0,02;0;;0,42
"Ray""""";0,02;0,01;0,01;0,05;0,05;0,05;0,02;0,01;0,02;0,02;0,01;0,02;0,01;0,02;0,02;0,03;0,03;0,02;0;;0,42
"FlatFish""""";0,03;0,02;0,02;0,06;0,06;0,05;0,03;0,07;0,04;0,04;0,07;0,02;0,02;0,03;0,02;0,03;0,03;0,04;0,04;;0,72
"Phyto""""";0;0,02;0,01;0,01;0,01;0,01;0,01;0,06;0,02;0,02;0,06;0,01;0,01;0,01;0;0;0;0,02;0,04;;0,3
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
TO3;"Parg""""";"Herr""""";"Gobie""""";"Crab""""";"Shri""""";"MicroBenth""""";"Roba""""";"IchthyoPl""""";"Jack""""";"CatFish""""";"Zoopl""""";"NeeFish""""";"Ofish""""";"Mojar""""";"Mull""""";"DrumCroak""""";"Ray""""";"FlatFish""""";"Phyto""""";;SUM
"CatFish""""";0;0,05;0,05;0,03;0,03;0,03;0;0,08;0,05;0;0,08;0;0;0,03;0;0;0;0,03;0;;0,45
"Crab""""";0;0,08;0,08;0;0,32;0,32;0;0,13;0,03;0,03;0,11;0,05;0,03;0,03;0;0;0;0;0;;1,18
"DrumCroak""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"FlatFish""""";0;0,03;0,03;0;0;0;0;0,03;0,03;0,03;0,03;0;0;0,03;0;0;0;0;0;;0,18
"Gobie""""";0;0,16;0;0,08;0,08;0,11;0;0,08;0,05;0,05;0,05;0,05;0,03;0,05;0;0;0;0,03;0;;0,82
"Herr""""";0;0;0,16;0,08;0,08;0,11;0;0,08;0,05;0,05;0,05;0,05;0,03;0,05;0;0;0;0,03;0;;0,82
"IchthyoPl""""";0,05;0,08;0,08;0,13;0,13;0,16;0,05;0;0,08;0,08;0,24;0,08;0,05;0,03;0;0;0;0,03;0;;1,26
"Jack""""";0;0,05;0,05;0,03;0,03;0,03;0;0,08;0;0,05;0,08;0;0;0,03;0;0;0;0,03;0;;0,45
"MicroBenth""""";0,03;0,11;0,11;0,32;0,32;0;0,03;0,16;0,03;0,03;0,13;0,13;0,05;0,03;0;0;0;0;0;;1,45
"Mojar""""";0;0,05;0,05;0,03;0,03;0,03;0;0,03;0,03;0,03;0,03;0,03;0,03;0;0;0;0;0,03;0;;0,37
"Mull""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"NeeFish""""";0,05;0,05;0,05;0,05;0,05;0,13;0,05;0,08;0;0;0,08;0;0,08;0,03;0;0;0;0;0;;0,71
"Ofish""""";0,05;0,03;0,03;0,03;0,03;0,05;0,05;0,05;0;0;0,05;0,08;0;0,03;0;0;0;0;0;;0,47
"Parg""""";0;0;0;0;0;0,03;0,05;0,05;0;0;0,05;0,05;0,05;0;0;0;0;0;0;;0,29
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Ray""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Roba""""";0,05;0;0;0;0;0,03;0;0,05;0;0;0,05;0,05;0,05;0;0;0;0;0;0;;0,29
"Shri""""";0;0,08;0,08;0,32;0;0,32;0;0,13;0,03;0,03;0,11;0,05;0,03;0,03;0;0;0;0;0;;1,18
"Zoopl""""";0,05;0,05;0,05;0,11;0,11;0,13;0,05;0,24;0,08;0,08;0;0,08;0,05;0,03;0;0;0;0,03;0;;1,13
