TI3;"Seamm""""";"CarnFish""""";"DemFish""""";"OmnFish""""";"MicroNekt""""";"MacroBenth""""";"Bird""""";"MeioBenth""""";"MacroZoopl""""";"MesoZoopl""""";"Phyto""""";"BenthProd""""";"Baci""""";"MicroZoopl""""";"Sphyto""""";;SUM
"Seamm""""";0,07;0,12;0,1;0,09;0,09;0,09;0,07;0,04;0,04;0,03;0,04;0,06;0,01;0,01;0,01;;0,88
"CarnFish""""";0,14;0,09;0,12;0,11;0,11;0,1;0,16;0,04;0,05;0,04;0,05;0,06;0,01;0,01;0,01;;1,08
"DemFish""""";0,15;0,14;0,09;0,12;0,12;0,11;0,16;0,11;0,05;0,05;0,06;0,07;0,04;0,02;0,01;;1,3
"OmnFish""""";0,13;0,13;0,12;0,09;0,09;0,06;0,16;0,05;0,15;0,09;0,12;0,04;0,02;0,03;0,04;;1,29
"MicroNekt""""";0,13;0,13;0,12;0,09;0,09;0,06;0,16;0,05;0,15;0,09;0,12;0,04;0,02;0,03;0,04;;1,29
"MacroBenth""""";0,13;0,12;0,11;0,06;0,06;0,11;0,06;0,13;0,05;0,09;0,11;0,43;0,05;0,04;0,04;;1,59
"Bird""""";0,06;0,11;0,09;0,09;0,09;0,03;0,07;0,02;0,04;0,02;0,03;0,01;0;0;0,01;;0,68
"MeioBenth""""";0,04;0,03;0,08;0,04;0,04;0,1;0,03;0,08;0,04;0,09;0,1;0,07;0,24;0,08;0,06;;1,1
"MacroZoopl""""";0,03;0,03;0,03;0,08;0,08;0,03;0,04;0,03;0,07;0,08;0,1;0,01;0,02;0,03;0,04;;0,71
"MesoZoopl""""";0,05;0,05;0,05;0,11;0,11;0,1;0,05;0,14;0,16;0,11;0,14;0,07;0,13;0,24;0,29;;1,79
"Phyto""""";0,05;0,05;0,05;0,1;0,1;0,1;0,05;0,12;0,15;0,1;0,08;0,06;0,05;0,04;0,05;;1,14
"BenthProd""""";0,01;0,01;0,01;0,01;0,01;0,06;0;0,01;0;0,01;0,01;0,05;0;0;0;;0,2
"Baci""""";0;0;0,01;0,01;0,01;0,02;0;0,09;0,01;0,03;0,02;0,01;0,09;0,17;0,07;;0,53
"MicroZoopl""""";0;0;0,01;0,01;0,01;0,02;0;0,05;0,02;0,09;0,02;0,01;0,25;0,14;0,26;;0,89
"Sphyto""""";0;0;0;0,01;0,01;0,01;0;0,02;0,02;0,07;0,02;0,01;0,07;0,17;0,09;;0,51
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
TO3;"Seamm""""";"CarnFish""""";"DemFish""""";"OmnFish""""";"MicroNekt""""";"MacroBenth""""";"Bird""""";"MeioBenth""""";"MacroZoopl""""";"MesoZoopl""""";"Phyto""""";"BenthProd""""";"Baci""""";"MicroZoopl""""";"Sphyto""""";;SUM
"Baci""""";0;0;0;0;0;0;0;0;0;0,03;0;0;0;0,03;0,03;;0,1
"BenthProd""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0,03;0;0,03;0,03;0,03;0,03;0;0;0;0;0;0;0;0;0;;0,17
"CarnFish""""";0,03;0;0,13;0,1;0,1;0,07;0;0;0;0,07;0;0;0;0;0;;0,5
"DemFish""""";0,03;0,13;0;0,1;0,1;0,13;0,03;0;0;0,13;0,03;0;0;0;0;;0,7
"MacroBenth""""";0,07;0,07;0,13;0,13;0,13;0;0,03;0;0;0,1;0,03;0;0;0;0;;0,7
"MacroZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MeioBenth""""";0;0;0;0;0;0;0;0;0;0,03;0;0;0;0,03;0;;0,07
"MesoZoopl""""";0;0,07;0,13;0,07;0,07;0,1;0;0,03;0;0;0,1;0;0,03;0,1;0,03;;0,73
"MicroNekt""""";0,07;0,1;0,1;0,2;0;0,13;0,03;0;0;0,07;0,03;0;0;0;0;;0,73
"MicroZoopl""""";0;0;0;0;0;0;0;0,03;0;0,1;0;0;0,03;0;0,03;;0,2
"OmnFish""""";0,07;0,1;0,1;0;0,2;0,13;0,03;0;0;0,07;0,03;0;0;0;0;;0,73
"Phyto""""";0;0;0,03;0,03;0,03;0,03;0;0;0;0,1;0;0;0;0;0;;0,23
"Seamm""""";0;0,03;0,03;0,07;0,07;0,07;0,03;0;0;0;0;0;0;0;0;;0,3
"Sphyto""""";0;0;0;0;0;0;0;0;0;0,03;0;0;0,03;0,03;0;;0,1
