"TI3";""BalWhale"";""ToothWhale"";""Apoll"";""Jpoll"";""PacCod"";""Shri"";""PacHerr"";""Cepha"";""ForFish"";""Lzoopl"";""Copep"";""WalrBSeal"";""Seal"";""StLion"";""Phal"";""ArrTooFlo"";""SFlatFish"";""MacroUri"";""KingCrab"";""PacSal"";""SpeWhale"";""GreenTur"";""TanCrab"";""SnowCrab"";""EpiFau"";""InFAu"";""BenthAmph"";""Jelly"";""SculRockFish"";""Bird"";""Skate"";""Zoar"";""Phyto"";;SUM
""BalWhale"";"0,03";"0,04";"0,04";"0,03";"0,03";"0,03";"0,04";"0,03";"0,03";"0,03";"0,04";"0,01";"0,02";"0,02";"0,02";"0,02";"0,02";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,02";"0,01";"0,02";"0,02";;"0,71"
""ToothWhale"";"0,06";"0,04";"0,05";"0,05";"0,04";"0,03";"0,05";"0,04";"0,04";"0,03";"0,02";"0,05";"0,06";"0,05";"0,05";"0,07";"0,04";"0,05";"0,06";"0,05";"0,03";"0,02";"0,02";"0,02";"0,02";"0,02";"0,03";"0,02";"0,02";"0,02";"0,02";"0,02";"0,01";;"1,21"
""Apoll"";"0,06";"0,05";"0,04";"0,05";"0,04";"0,04";"0,03";"0,05";"0,05";"0,05";"0,05";"0,05";"0,06";"0,05";"0,05";"0,07";"0,03";"0,03";"0,02";"0,03";"0,04";"0,06";"0,03";"0,02";"0,02";"0,02";"0,02";"0,03";"0,04";"0,03";"0,06";"0,05";"0,03";;"1,36"
""Jpoll"";"0,06";"0,05";"0,05";"0,04";"0,04";"0,03";"0,03";"0,05";"0,03";"0,05";"0,06";"0,05";"0,07";"0,05";"0,05";"0,07";"0,04";"0,02";"0,02";"0,03";"0,03";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,09";"0,04";"0,07";"0,05";"0,05";"0,05";;"1,42"
""PacCod"";"0,07";"0,06";"0,05";"0,05";"0,04";"0,05";"0,06";"0,05";"0,05";"0,05";"0,03";"0,07";"0,06";"0,06";"0,06";"0,03";"0,06";"0,03";"0,08";"0,03";"0,02";"0,03";"0,08";"0,08";"0,07";"0,07";"0,06";"0,02";"0,06";"0,03";"0,07";"0,06";"0,02";;"1,71"
""Shri"";"0,06";"0,03";"0,05";"0,03";"0,05";"0,04";"0,05";"0,03";"0,03";"0,03";"0,05";"0,06";"0,02";"0,03";"0,06";"0,06";"0,05";"0,06";"0,07";"0,05";"0,04";"0,07";"0,07";"0,07";"0,04";"0,06";"0,06";"0,02";"0,05";"0,02";"0,07";"0,06";"0,02";;"1,56"
""PacHerr"";"0,06";"0,04";"0,02";"0,02";"0,03";"0,03";"0,03";"0,02";"0,04";"0,04";"0,05";"0,02";"0,05";"0,04";"0,02";"0,02";"0,02";"0,02";"0,02";"0,03";"0,01";"0,01";"0,02";"0,02";"0,04";"0,02";"0,04";"0,03";"0,04";"0,06";"0,02";"0,02";"0,03";;"0,97"
""Cepha"";"0,07";"0,06";"0,06";"0,06";"0,04";"0,03";"0,04";"0,05";"0,06";"0,05";"0,06";"0,03";"0,07";"0,06";"0,06";"0,09";"0,05";"0,07";"0,03";"0,07";"0,13";"0,08";"0,03";"0,03";"0,03";"0,03";"0,05";"0,04";"0,05";"0,07";"0,06";"0,06";"0,03";;"1,76"
""ForFish"";"0,07";"0,05";"0,05";"0,03";"0,04";"0,03";"0,06";"0,05";"0,04";"0,05";"0,06";"0,02";"0,07";"0,05";"0,05";"0,03";"0,05";"0,06";"0,03";"0,06";"0,04";"0,07";"0,03";"0,03";"0,03";"0,03";"0,05";"0,03";"0,05";"0,07";"0,06";"0,06";"0,03";;"1,52"
""Lzoopl"";"0,07";"0,03";"0,05";"0,05";"0,04";"0,03";"0,06";"0,05";"0,05";"0,05";"0,07";"0,05";"0,07";"0,03";"0,02";"0,07";"0,04";"0,05";"0,02";"0,06";"0,03";"0,03";"0,02";"0,02";"0,02";"0,02";"0,02";"0,12";"0,04";"0,08";"0,02";"0,05";"0,17";;"1,61"
