TI3;"Phyto""""";"MesoZoopl""""";"IntInv""""";"MacroZoopl""""";"MacroAlga""""";"EpiZooBenth""""";"Bird""""";"InfZoopl""""";"WildSal""""";"HatchSal""""";"Herr""""";"Spela""""";"DemFish""""";"TranMamm""""";"Otter""""";"Pinni""""";"Sal""""";"ResMamm""""";;SUM
"Phyto""""";0,05;0,05;0,09;0,05;0,01;0,01;0,02;0,01;0,03;0,03;0,02;0,02;0,02;0,02;0,01;0,02;0,01;0,01;;0,47
"MesoZoopl""""";0,19;0,09;0,14;0,1;0,07;0,15;0,07;0,13;0,18;0,18;0,11;0,09;0,1;0,1;0,06;0,06;0,05;0,06;;1,94
"IntInv""""";0,15;0,06;0,07;0,03;0,04;0,03;0,1;0,02;0,03;0,03;0,03;0,03;0,05;0,03;0,01;0,08;0,02;0,02;;0,85
"MacroZoopl""""";0,17;0,1;0,08;0,09;0,05;0,05;0,12;0,05;0,18;0,18;0,12;0,1;0,09;0,11;0,05;0,07;0,13;0,11;;1,86
"MacroAlga""""";0,01;0,01;0,02;0,01;0,08;0,11;0,09;0,02;0,01;0,01;0;0,01;0,02;0;0,01;0,01;0;0;;0,42
"EpiZooBenth""""";0,02;0,06;0,02;0,02;0,22;0,08;0,05;0,1;0,03;0,03;0,02;0,02;0,05;0,01;0,04;0,01;0,01;0,01;;0,8
"Bird""""";0,04;0,03;0,1;0,06;0,22;0,06;0,07;0,03;0,03;0,03;0,02;0,06;0,06;0,02;0,01;0,03;0,03;0,02;;0,92
"InfZoopl""""";0,02;0,06;0,02;0,02;0,05;0,13;0,03;0,08;0,03;0,03;0,02;0,06;0,06;0,02;0,22;0,02;0,02;0,04;;0,94
"WildSal""""";0,03;0,05;0,02;0,05;0,01;0,02;0,02;0,02;0,03;0,03;0,02;0,02;0,04;0,02;0,01;0,01;0,01;0,02;;0,43
"HatchSal""""";0,03;0,05;0,02;0,05;0,01;0,02;0,02;0,02;0,03;0,03;0,02;0,02;0,04;0,02;0,01;0,01;0,01;0,02;;0,43
"Herr""""";0,03;0,06;0,04;0,07;0,01;0,02;0,03;0,03;0,04;0,04;0,05;0,04;0,06;0,09;0,04;0,09;0,05;0,09;;0,88
"Spela""""";0,05;0,07;0,05;0,08;0,05;0,05;0,11;0,11;0,05;0,05;0,06;0,07;0,08;0,1;0,07;0,11;0,13;0,11;;1,43
"DemFish""""";0,09;0,12;0,14;0,11;0,1;0,16;0,14;0,14;0,19;0,19;0,13;0,11;0,09;0,12;0,08;0,13;0,08;0,12;;2,24
"TranMamm""""";0,04;0,07;0,04;0,08;0,02;0,03;0,04;0,04;0,05;0,05;0,11;0,09;0,07;0,07;0,05;0,12;0,13;0,11;;1,2
"Otter""""";0;0,01;0;0,01;0,01;0,02;0,01;0,09;0,01;0,01;0,01;0,02;0,01;0,01;0,06;0,01;0,01;0,06;;0,36
"Pinni""""";0,04;0,03;0,1;0,04;0,02;0,02;0,04;0,02;0,03;0,03;0,09;0,08;0,06;0,09;0,02;0,06;0,11;0,05;;0,92
"Sal""""";0,02;0,02;0,02;0,06;0,01;0,01;0,03;0,02;0,02;0,02;0,04;0,07;0,03;0,08;0,04;0,09;0,06;0,09;;0,74
"ResMamm""""";0,02;0,04;0,02;0,07;0,01;0,03;0,03;0,06;0,04;0,04;0,1;0,08;0,06;0,09;0,22;0,05;0,12;0,08;;1,17
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
TO3;"Phyto""""";"MesoZoopl""""";"IntInv""""";"MacroZoopl""""";"MacroAlga""""";"EpiZooBenth""""";"Bird""""";"InfZoopl""""";"WildSal""""";"HatchSal""""";"Herr""""";"Spela""""";"DemFish""""";"TranMamm""""";"Otter""""";"Pinni""""";"Sal""""";"ResMamm""""";;SUM
"Bird""""";0,03;0,03;0;0;0;0,03;0;0;0;0;0;0;0,06;0;0;0,03;0;0;;0,17
